phase,time_s,throttle,speed_mps,acceleration_mps2
speed_0.00,1788167675.228599,0.0,0.0,0.0
speed_0.00,1788167675.248601,0.0,0.0,0.0
speed_0.00,1788167675.2686498,0.0,0.0,0.0
speed_0.00,1788167675.2888904,0.0,0.0,0.0
speed_0.00,1788167675.30864,0.0,0.0,0.0
speed_0.00,1788167675.3285944,0.0,0.0,0.0
speed_0.00,1788167675.3485627,0.0,0.0,0.0
speed_0.00,1788167675.368669,0.0,0.0,0.0
speed_0.00,1788167675.3887546,0.0,0.0,0.0
speed_0.00,1788167675.4085546,0.0,0.0,0.0
speed_0.00,1788167675.428564,0.0,0.0,0.0
speed_0.00,1788167675.4487202,0.0,0.0,0.0
speed_0.00,1788167675.468667,0.0,0.0,0.0
speed_0.00,1788167675.4886055,0.0,0.0,0.0
speed_0.00,1788167675.5085583,0.0,0.0,0.0
speed_0.00,1788167675.528811,0.0,0.0,0.0
speed_0.00,1788167675.5485973,0.0,0.0,0.0
speed_0.00,1788167675.6167252,0.0,0.0,0.0
speed_0.00,1788167675.6286092,0.0,0.0,0.0
speed_0.00,1788167675.6487222,0.0,0.0,0.0
speed_0.00,1788167675.803648,0.0,0.0,0.0
speed_0.00,1788167675.8085504,0.0,0.0,0.0
speed_0.00,1788167675.8285618,0.0,0.0,0.0
speed_0.00,1788167675.8485496,0.0,0.0,0.0
speed_0.00,1788167675.8843422,0.0,0.0,0.0
speed_0.00,1788167675.8885098,0.0,0.0,0.0
speed_0.00,1788167675.908642,0.0,0.0,0.0
speed_0.00,1788167675.9286618,0.0,0.0,0.0
speed_0.00,1788167675.948636,0.0,0.0,0.0
speed_0.00,1788167675.968921,0.0,0.0,0.0
speed_0.00,1788167675.9887788,0.0,0.0,0.0
speed_0.00,1788167676.0085788,0.0,0.0,0.0
speed_0.00,1788167676.0287561,0.0,0.0,0.0
speed_0.00,1788167676.0487208,0.0,0.0,0.0
speed_0.00,1788167676.0688598,0.0,0.0,0.0
speed_0.00,1788167676.088638,0.0,0.0,0.0
speed_0.00,1788167676.1086228,0.0,0.0,0.0
speed_0.00,1788167676.128668,0.0,0.0,0.0
speed_0.00,1788167676.1485386,0.0,0.0,0.0
speed_0.00,1788167676.1686242,0.0,0.0,0.0
speed_0.00,1788167676.1886332,0.0,0.0,0.0
speed_0.00,1788167676.208618,0.0,0.0,0.0
speed_0.00,1788167676.228736,0.0,0.0,0.0
speed_0.00,1788167676.2486472,0.0,0.0,0.0
speed_0.00,1788167676.2690704,0.0,0.0,0.0
speed_0.00,1788167676.288726,0.0,0.0,0.0
speed_0.00,1788167676.3085332,0.0,0.0,0.0
speed_0.00,1788167676.3286235,0.0,0.0,0.0
speed_0.00,1788167676.3487234,0.0,0.0,0.0
speed_0.00,1788167676.368774,0.0,0.0,0.0
speed_0.00,1788167676.3887792,0.0,0.0,0.0
speed_0.00,1788167676.4085968,0.0,0.0,0.0
speed_0.00,1788167676.4286318,0.0,0.0,0.0
speed_0.00,1788167676.4486408,0.0,0.0,0.0
speed_0.00,1788167676.4686327,0.0,0.0,0.0
speed_0.00,1788167676.4886472,0.0,0.0,0.0
speed_0.00,1788167676.5087657,0.0,0.0,0.0
speed_0.00,1788167676.528794,0.0,0.0,0.0
speed_0.00,1788167676.5486233,0.0,0.0,0.0
speed_0.00,1788167676.5687358,0.0,0.0,0.0
speed_0.00,1788167676.5887568,0.0,0.0,0.0
speed_0.00,1788167676.6087623,0.0,0.0,0.0
speed_0.00,1788167676.6286964,0.0,0.0,0.0
speed_0.00,1788167676.648775,0.0,0.0,0.0
speed_0.00,1788167676.6685932,0.0,0.0,0.0
speed_0.00,1788167676.6887047,0.0,0.0,0.0
speed_0.00,1788167676.7087166,0.0,0.0,0.0
speed_0.00,1788167676.7287688,0.0,0.0,0.0
speed_0.00,1788167676.7486415,0.0,0.0,0.0
speed_0.00,1788167676.768638,0.0,0.0,0.0
speed_0.00,1788167676.7886224,0.0,0.0,0.0
speed_0.00,1788167676.8086736,0.0,0.0,0.0
speed_0.00,1788167676.82869,0.0,0.0,0.0
speed_0.00,1788167676.848824,0.0,0.0,0.0
speed_0.00,1788167676.8686333,0.0,0.0,0.0
speed_0.00,1788167676.8886933,0.0,0.0,0.0
speed_0.00,1788167676.909043,0.0,0.0,0.0
speed_0.00,1788167676.92864,0.0,0.0,0.0
speed_0.00,1788167676.9485557,0.0,0.0,0.0
speed_0.00,1788167676.9687684,0.0,0.0,0.0
speed_0.00,1788167676.9887452,0.0,0.0,0.0
speed_0.00,1788167677.0087306,0.0,0.0,0.0
speed_0.00,1788167677.028965,0.0,0.0,0.0
speed_0.00,1788167677.0490324,0.0,0.0,0.0
speed_0.00,1788167677.0686667,0.0,0.0,0.0
speed_0.00,1788167677.088675,0.0,0.0,0.0
speed_0.00,1788167677.1085827,0.0,0.0,0.0
speed_0.00,1788167677.1287465,0.0,0.0,0.0
speed_0.00,1788167677.1487246,0.0,0.0,0.0
speed_0.00,1788167677.1686952,0.0,0.0,0.0
speed_0.00,1788167677.18862,0.0,0.0,0.0
speed_0.00,1788167677.2085838,0.0,0.0,0.0
speed_0.00,1788167677.228627,0.0,0.0,0.0
speed_0.00,1788167677.2486086,0.0,0.0,0.0
speed_0.00,1788167677.2686243,0.0,0.0,0.0
speed_0.00,1788167677.2886877,0.0,0.0,0.0
speed_0.00,1788167677.3085759,0.0,0.0,0.0
speed_0.00,1788167677.3286252,0.0,0.0,0.0
speed_0.00,1788167677.348597,0.0,0.0,0.0
speed_0.00,1788167677.3687603,0.0,0.0,0.0
speed_0.00,1788167677.3886557,0.0,0.0,0.0
speed_0.00,1788167677.408544,0.0,0.0,0.0
speed_0.00,1788167677.4287112,0.0,0.0,0.0
speed_0.00,1788167677.4486654,0.0,0.0,0.0
speed_0.00,1788167677.4686613,0.0,0.0,0.0
speed_0.00,1788167677.488626,0.0,0.0,0.0
speed_0.00,1788167677.508592,0.0,0.0,0.0
speed_0.00,1788167677.5286508,0.0,0.0,0.0
speed_0.00,1788167677.5486434,0.0,0.0,0.0
speed_0.00,1788167677.5691912,0.0,0.0,0.0
speed_0.00,1788167677.5886686,0.0,0.0,0.0
speed_0.00,1788167677.6085143,0.0,0.0,0.0
speed_0.00,1788167677.6286507,0.0,0.0,0.0
speed_0.00,1788167677.6486504,0.0,0.0,0.0
speed_0.00,1788167677.66898,0.0,0.0,0.0
speed_0.00,1788167677.6892443,0.0,0.0,0.0
speed_0.00,1788167677.7087567,0.0,0.0,0.0
speed_0.00,1788167677.7287152,0.0,0.0,0.0
speed_0.00,1788167677.7486181,0.0,0.0,0.0
speed_0.00,1788167677.7692811,0.0,0.0,0.0
speed_0.00,1788167677.7888017,0.0,0.0,0.0
speed_0.00,1788167677.8088403,0.0,0.0,0.0
speed_0.00,1788167677.828659,0.0,0.0,0.0
speed_0.00,1788167677.8486364,0.0,0.0,0.0
speed_0.00,1788167677.8686028,0.0,0.0,0.0
speed_0.00,1788167677.8886654,0.0,0.0,0.0
speed_0.00,1788167677.9089997,0.0,0.0,0.0
speed_0.00,1788167677.9293127,0.0,0.0,0.0
speed_0.00,1788167677.9491508,0.0,0.0,0.0
speed_0.00,1788167677.9691343,0.0,0.0,0.0
speed_0.00,1788167677.988706,0.0,0.0,0.0
speed_0.00,1788167678.0086977,0.0,0.0,0.0
speed_0.00,1788167678.0285313,0.0,0.0,0.0
speed_0.00,1788167678.0486848,0.0,0.0,0.0
speed_0.00,1788167678.068652,0.0,0.0,0.0
speed_0.00,1788167678.0886297,0.0,0.0,0.0
speed_0.00,1788167678.10862,0.0,0.0,0.0
speed_0.00,1788167678.1286771,0.0,0.0,0.0
speed_0.00,1788167678.1486347,0.0,0.0,0.0
speed_0.00,1788167678.1687448,0.0,0.0,0.0
speed_0.00,1788167678.1887612,0.0,0.0,0.0
speed_0.00,1788167678.2087305,0.0,0.0,0.0
speed_0.00,1788167678.228757,0.0,0.0,0.0
speed_0.00,1788167678.2488456,0.0,0.0,0.0
speed_0.00,1788167678.2686226,0.0,0.0,0.0
speed_0.00,1788167678.2885597,0.0,0.0,0.0
speed_0.00,1788167678.3086774,0.0,0.0,0.0
speed_0.00,1788167678.3287592,0.0,0.0,0.0
speed_0.00,1788167678.3486512,0.0,0.0,0.0
speed_0.00,1788167678.3686163,0.0,0.0,0.0
speed_0.00,1788167678.3885932,0.0,0.0,0.0
speed_0.00,1788167678.4086583,0.0,0.0,0.0
speed_0.00,1788167678.4286473,0.0,0.0,0.0
speed_0.00,1788167678.4486744,0.0,0.0,0.0
speed_0.00,1788167678.4686942,0.0,0.0,0.0
speed_0.00,1788167678.4886017,0.0,0.0,0.0
speed_0.00,1788167678.5085828,0.0,0.0,0.0
speed_0.00,1788167678.5288262,0.0,0.0,0.0
speed_0.00,1788167678.5490427,0.0,0.0,0.0
speed_0.00,1788167678.568912,0.0,0.0,0.0
speed_0.00,1788167678.5886238,0.0,0.0,0.0
speed_0.00,1788167678.6086237,0.0,0.0,0.0
speed_0.00,1788167678.6287549,0.0,0.0,0.0
speed_0.00,1788167678.6485794,0.0,0.0,0.0
speed_0.00,1788167678.6685865,0.0,0.0,0.0
speed_0.00,1788167678.6885846,0.0,0.0,0.0
speed_0.00,1788167678.7089717,0.0,0.0,0.0
speed_0.00,1788167678.7287025,0.0,0.0,0.0
speed_0.00,1788167678.7486148,0.0,0.0,0.0
speed_0.00,1788167678.7687814,0.0,0.0,0.0
speed_0.00,1788167678.7888486,0.0,0.0,0.0
speed_0.00,1788167678.8089738,0.0,0.0,0.0
speed_0.00,1788167678.8291395,0.0,0.0,0.0
speed_0.00,1788167678.8492556,0.0,0.0,0.0
speed_0.00,1788167678.8686392,0.0,0.0,0.0
speed_0.00,1788167678.8886228,0.0,0.0,0.0
speed_0.00,1788167678.9086158,0.0,0.0,0.0
speed_0.00,1788167678.9286425,0.0,0.0,0.0
speed_0.00,1788167678.948643,0.0,0.0,0.0
speed_0.00,1788167678.9687417,0.0,0.0,0.0
speed_0.00,1788167678.9886415,0.0,0.0,0.0
speed_0.00,1788167679.0085106,0.0,0.0,0.0
speed_0.00,1788167679.0286374,0.0,0.0,0.0
speed_0.00,1788167679.0487337,0.0,0.0,0.0
speed_0.00,1788167679.0688517,0.0,0.0,0.0
speed_0.00,1788167679.0886786,0.0,0.0,0.0
speed_0.00,1788167679.1085157,0.0,0.0,0.0
speed_0.00,1788167679.1286576,0.0,0.0,0.0
speed_0.00,1788167679.148706,0.0,0.0,0.0
speed_0.00,1788167679.1686988,0.0,0.0,0.0
speed_0.00,1788167679.188738,0.0,0.0,0.0
speed_0.00,1788167679.2085152,0.0,0.0,0.0
speed_4.00,1788167680.508639,0.0,0.0002,nan
speed_4.00,1788167680.528521,0.0,0.0001,nan
speed_4.00,1788167680.548726,0.0,0.0001,nan
speed_4.00,1788167680.5687692,0.0,0.0001,nan
speed_4.00,1788167680.589102,0.0,0.0001,-0.0012428082942699847
speed_4.00,1788167680.608675,0.0,0.0001,0.0
speed_4.00,1788167680.6287844,0.4259999990463257,0.0792,0.9880295256842839
speed_4.00,1788167680.6486354,0.4259999990463257,0.0792,0.7917180441474765
speed_4.00,1788167680.6686368,0.4259999990463257,0.0792,0.7920488126529395
speed_4.00,1788167680.6891422,0.4259999990463257,0.0792,0.9830089314497014
speed_4.00,1788167680.7086778,0.4259999990463257,0.0792,0.7909781242698634
speed_4.00,1788167680.728508,0.4269999861717224,0.608,5.302657739121287
speed_4.00,1788167680.7486136,0.4269999861717224,0.608,5.289152583470652
speed_4.00,1788167680.7686741,0.4269999861717224,0.608,5.286026390712772
speed_4.00,1788167680.7886603,0.4269999861717224,0.608,5.313608367811906
speed_4.00,1788167680.8086474,0.4269999861717224,0.608,0.0
speed_4.00,1788167680.8285317,0.39899998903274536,1.1228,5.146777820894811
speed_4.00,1788167680.8486316,0.39899998903274536,1.1228,5.147072268811412
speed_4.00,1788167680.8686821,0.39899998903274536,1.1228,6.433242260067455
speed_4.00,1788167680.888682,0.39899998903274536,1.1228,6.432226552553107
speed_4.00,1788167680.9086757,0.39899998903274536,1.1228,0.0
speed_4.00,1788167680.9285364,0.3709999918937683,1.6237,5.008765940159732
speed_4.00,1788167680.9486718,0.3709999918937683,1.6237,5.006987322658061
speed_4.00,1788167680.9686713,0.3709999918937683,1.6237,5.009542243046364
speed_4.00,1788167680.9887726,0.3709999918937683,1.6237,6.253670546002243
speed_4.00,1788167681.0091488,0.3709999918937683,1.6237,0.0
speed_4.00,1788167681.0314949,0.34299999475479126,2.1111,5.884836045309959
speed_4.00,1788167681.048733,0.34299999475479126,2.1111,6.087806748599626
speed_4.00,1788167681.068686,0.34299999475479126,2.1111,4.87328428098748
speed_4.00,1788167681.0887036,0.31200000643730164,2.5338,9.107283874400261
speed_4.00,1788167681.1086879,0.31200000643730164,2.5338,9.143146107397177
speed_4.00,1788167681.1287606,0.31200000643730164,2.5338,5.281929037716735
speed_4.00,1788167681.148745,0.31200000643730164,2.5338,5.279852708819743
speed_4.00,1788167681.1686223,0.31200000643730164,2.5338,4.229696563866561
speed_4.00,1788167681.1886313,0.31200000643730164,2.8222,2.8860876860712885
speed_4.00,1788167681.2087128,0.31200000643730164,2.8222,2.883280950576235
speed_4.00,1788167681.2286189,0.31200000643730164,2.8222,2.8880928898184512
speed_4.00,1788167681.248766,0.31200000643730164,2.8222,3.5985365735823938
speed_4.00,1788167681.2686546,0.31200000643730164,2.8222,0.0
speed_4.00,1788167681.2886357,0.2639999985694885,3.2773,4.550798190960044
speed_4.00,1788167681.3086905,0.2639999985694885,3.2773,5.683656896484983
speed_4.00,1788167681.3285651,0.2639999985694885,3.2773,4.553447001824881
speed_4.00,1788167681.3486283,0.2639999985694885,3.2773,4.5572736745349784
speed_4.00,1788167681.3686817,0.2639999985694885,3.2773,0.0
speed_4.00,1788167681.3886967,0.23399999737739563,3.7157,5.47958063474089
speed_4.00,1788167681.4088404,0.23399999737739563,3.7157,5.4612068155830595
speed_4.00,1788167681.4287105,0.23399999737739563,3.7157,5.474376575594915
