record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.576684890,,3855
coefficient,c1,,6.748874624,,3855
coefficient,c2,,-0.071704232,,3855
coefficient,c3,,-0.218760670,,3855
operating_point,,0.000000,0.085449,0.148173,3855
operating_point,,2.000000,0.114095,0.158445,3855
operating_point,,4.000000,0.147008,0.170247,3855
operating_point,,6.000000,0.185219,0.183948,3855
operating_point,,8.000000,0.230119,0.200048,3855
operating_point,,10.000000,0.283633,0.219237,3855
operating_point,,12.000000,0.348502,0.242498,3855
operating_point,,14.000000,0.428770,0.271280,3855
operating_point,,16.000000,0.530659,0.307815,3855
operating_point,,18.000000,0.664262,0.355722,3855
operating_point,,20.000000,0.847117,0.421290,3855
operating_point,,23.000000,1.000000,0.582283,3855
