throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.0,0.0,-0.010005329109485291,2.459791472303558,99
0.0,0.5,-5.657413564883909,2.35083715027755,20
0.0,1.0,-5.83095280069081,2.9956110648032332,25
0.0,1.5,-3.4928198480107167,3.1631808819130103,22
0.0,2.0,-7.65940378982968,0.7492297919334299,5
0.0,2.5,-6.892598045027144,2.2168999932880977,10
0.0,3.0,-6.706542687260067,1.9098521736021257,15
0.0,3.5,-8.016924448679388,2.007985411947422,15
0.0,4.0,-0.9756662149523806,2.0212884241650753,13
0.0,4.5,-6.700039370682965,2.925102687200578,10
0.0,5.0,-6.873571220094222,1.9973642416880402,9
0.0,5.5,-8.46893710879717,4.032657088605392,10
0.0,6.5,-7.29967772515465,0.01060074762656632,7
0.0,7.0,-0.4460800261981575,3.895676352220966,12
0.0,7.5,2.0569867262383457,2.0569867262383457,2
0.0,8.0,2.9247396893357718,0.23332081655204123,5
0.0,35.5,0.0,0.0,71
0.05,0.0,0.34708935457793805,0.3825110966735404,29
0.05,0.5,5.936342544872945,1.4520083825753012,20
0.05,1.0,-0.0005276846757325333,1.7160148425430182,216
0.05,35.5,0.0,0.0002462869356903224,71
0.1,1.0,0.14395998454149178,0.3956053126179096,28
0.1,1.5,4.955823083230356,1.8529477472314693,14
0.1,2.0,0.0,1.9017363723135043,201
0.1,35.5,0.0,0.00037231967597174844,69
0.15,2.0,0.0,0.0,12
0.15,2.5,0.8774836604211511,1.8160533772901648,18
0.15,3.0,5.280218545231426,2.3096863715238944,25
0.15,3.5,0.0,1.0048864935238582,227
0.15,35.5,0.0,0.0,71
0.2,3.5,0.0,0.3710723370586986,35
0.2,4.0,6.197429653204405,2.5327828306884954,19
0.2,4.5,0.0,1.1101471683184283,227
0.2,35.5,0.0,4.085284919855142e-08,69
0.3,4.5,0.0,0.2769233372965567,40
0.3,5.0,4.021827181722208,1.7007667551296666,19
0.3,5.5,3.9618337548396974,1.8439890260158964,19
0.3,6.0,4.545486134896052,2.383310485727033,18
0.3,6.5,6.220113816195995,2.3006327507526985,15
0.3,7.0,0.07113222553934789,1.9206606338200811,170
0.3,35.5,0.0,0.00028996242610673963,70
0.4,7.0,0.0,0.25581785886873254,35
0.4,7.5,3.440160401940037,1.4715003019631447,19
0.4,8.0,4.364632440747825,1.748146487747674,18
0.4,8.5,6.490298750777448,2.411232669008723,18
0.4,9.0,3.0177618493717833,2.356762841618799,46
0.4,9.5,0.10698645854175312,0.442726886533639,142
0.4,35.5,0.0,0.0,70
0.5,9.5,0.17093679091603015,0.21667209657730102,32
0.5,10.0,3.7811202001582442,0.4629557792322784,18
0.5,10.5,5.067732629711016,2.349288591445534,26
0.5,11.0,4.592025393722491,1.781392278045806,33
0.5,11.5,0.17834542195805086,0.8765078869881645,172
0.5,35.5,0.0,0.0,71
0.6,11.5,0.003999827978032612,0.004427712089354255,18
0.6,12.0,0.6626447242520246,1.8136993557871721,33
0.6,12.5,4.8015843851063265,1.9655189975072236,17
0.6,13.0,4.813006842612884,2.703820463498101,16
0.6,13.5,2.137100787528262,1.8863339046311847,53
0.6,14.0,0.2390979936384483,0.6291065191267451,144
0.6,35.5,0.0,0.0,69
0.8,14.0,0.30235341175489894,0.647549480256826,45
0.8,14.5,1.4071154059647577,0.6190212242115528,79
0.8,15.0,1.2734938195114487,0.6779114831181073,74
0.8,15.5,1.619584776117839,0.8102984262472188,56
0.8,16.0,2.7435121256475514,1.2049190740965006,26
0.8,35.5,0.0,0.0,69
1.0,16.5,2.3242071848561485,1.6705025888846534,23
1.0,17.0,0.6716535594892953,1.0093119004700741,119
1.0,17.5,0.5602463777269677,0.27799852292210664,138
1.0,35.5,0.0,8.167671142795125e-08,71
