model,regime,bin,samples,absolute_error_median_mps,absolute_error_p95_mps,relative_error_median_pct,relative_error_p95_pct
leave_one_recording_out,accelerating,1-3_mps,726,0.07283952931723359,0.9529417309527328,3.6806283074751933,36.703154433258305
leave_one_recording_out,accelerating,3-5_mps,940,0.06201118182062593,1.20992231573666,1.534169519257222,30.760282935768526
leave_one_recording_out,accelerating,5-10_mps,2304,0.07997627668095175,0.9298700201697399,1.0455406012306399,13.410785807726215
leave_one_recording_out,accelerating,10-15_mps,2254,0.04804445856582884,0.8448483874832724,0.3933339828472241,7.200481495313747
leave_one_recording_out,accelerating,15-20_mps,1141,0.08921798816233917,0.6676828321468875,0.5306770916364193,3.8849035419855444
leave_one_recording_out,accelerating,20-23_mps,215,0.4719442326557406,1.8669578450979607,2.2524020828950944,8.650514902725742
leave_one_recording_out,steady,1-3_mps,725,0.3153955229060401,0.7342466037579476,14.236577291641817,29.56503434181177
leave_one_recording_out,steady,3-5_mps,568,1.0392603176273196,1.1086560376859238,28.015428014538486,29.841301213161984
leave_one_recording_out,steady,5-10_mps,970,0.506132897188845,1.425926091580655,7.47735549195603,25.450268926651272
leave_one_recording_out,steady,10-15_mps,377,0.9087524134558649,2.2910798605510094,7.6233647598534,19.138201027058066
leave_one_recording_out,steady,15-20_mps,1524,0.11101047403518649,0.6135768470263582,0.6324211776923091,3.631202911950582
leave_one_recording_out,steady,20-23_mps,259,1.8546154680792277,3.1667672569281073,8.134242692265508,13.839858649686898
leave_one_recording_out,decelerating,1-3_mps,76,0.691944608607272,1.6786739145650458,33.712008498917804,121.85399634264671
leave_one_recording_out,decelerating,3-5_mps,185,0.47306205936904355,2.8546047275101807,11.08249489138674,70.1609761211338
leave_one_recording_out,decelerating,5-10_mps,559,0.8544438608409397,2.4030904352391906,11.474836009605434,36.38073877986815
leave_one_recording_out,decelerating,10-15_mps,340,0.47658570487877494,1.958282801838992,3.974521046319187,18.34904136353947
leave_one_recording_out,decelerating,15-20_mps,82,0.40513728343563393,1.741069843235092,2.4626476508128854,10.41326830212684
leave_one_recording_out,decelerating,20-23_mps,16,0.963423357841755,2.7559255906707447,4.241567182029174,12.094910614498842
leave_one_recording_out,frozen,1-3_mps,427,0.045826650588180584,0.20904335299730029,2.0043552155811124,15.16200060311832
leave_one_recording_out,frozen,3-5_mps,424,0.02533739613432595,0.11654266330018011,0.6516741912543424,2.9592601135272143
leave_one_recording_out,frozen,5-10_mps,589,0.02787214791075776,0.1411649695804688,0.38449678090670325,1.9337993337124326
leave_one_recording_out,frozen,10-15_mps,307,0.060121301060059196,0.41354010302454064,0.485953567885068,3.3770647654808976
leave_one_recording_out,frozen,15-20_mps,118,0.14267633949049952,0.987460722402534,0.805363719699805,5.0636972217956355
leave_one_recording_out,frozen,20-23_mps,26,1.400761021439548,2.088198833901104,6.741289966411333,9.738508985585284
leave_one_recording_out,all,1-3_mps,1954,0.1324617370478558,0.7348584013870814,7.049924287915287,36.03064696487056
leave_one_recording_out,all,3-5_mps,2117,0.08172046932309662,1.304502167577081,1.9653030820357358,31.62777612257527
leave_one_recording_out,all,5-10_mps,4422,0.12624831234036993,1.430399584406242,1.729654916802753,23.442773154012734
leave_one_recording_out,all,10-15_mps,3278,0.09354674228810733,1.411103456660317,0.7649769996177325,12.281301693427848
leave_one_recording_out,all,15-20_mps,2865,0.10362219268717254,0.7262949234232753,0.6189061221475465,4.101281181846037
leave_one_recording_out,all,20-23_mps,516,0.6358596877808793,3.1654922569281068,3.053783720155107,13.83505737752796
