record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,0.189879461,,19285
coefficient,c1,,6.185059211,,19285
coefficient,c2,,-0.219125097,,19285
coefficient,c3,,-0.068011341,,19285
operating_point,,0.000000,0.000000,0.161680,19285
operating_point,,2.000000,0.041060,0.165316,19285
operating_point,,4.000000,0.116120,0.169118,19285
operating_point,,6.000000,0.194716,0.173100,19285
operating_point,,8.000000,0.277102,0.177275,19285
operating_point,,10.000000,0.363559,0.181655,19285
operating_point,,12.000000,0.454397,0.186257,19285
operating_point,,14.000000,0.549957,0.191099,19285
operating_point,,16.000000,0.650618,0.196199,19285
operating_point,,18.000000,0.756799,0.201578,19285
operating_point,,20.000000,0.868967,0.207261,19285
operating_point,,23.000000,1.000000,0.216413,19285
