record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,12.428399991,,,,
fit,speed_gain_per_s,0.189333670,,,,
fit,max_deceleration_p95_mps2,176.665070814,,,,
fit,fit_rmse_mps2,5.017390621,,,,
fit,samples,3095.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.377050000,10.874767017,438
speed_bin,,,2.000000000,2.938850000,10.881851475,598
speed_bin,,,4.000000000,4.961800000,12.343813522,507
speed_bin,,,6.000000000,6.931500000,13.792732789,398
speed_bin,,,8.000000000,8.937300000,14.761245852,337
speed_bin,,,10.000000000,10.975000000,15.102032557,261
speed_bin,,,12.000000000,12.981500000,15.930894647,215
speed_bin,,,14.000000000,14.900900000,17.824322253,149
speed_bin,,,16.000000000,16.901300000,21.296373548,103
speed_bin,,,18.000000000,18.938300000,17.080124918,63
speed_bin,,,20.000000000,20.743000000,23.709011466,25
speed_bin,,,22.000000000,22.720400000,2.676451157,1
