speed_mps,observed_full_throttle_acceleration_mps2,monotonic_acceleration_limit_mps2,samples
0.000000,3.513693,4.575616,9
2.000000,5.137810,4.575616,17
4.000000,3.936634,3.936634,16
6.000000,3.320137,3.320137,21
8.000000,2.987835,2.987835,25
10.000000,2.676191,2.676191,31
12.000000,1.996697,1.996697,40
14.000000,1.440417,1.440417,50
16.000000,0.928183,0.928183,83
18.000000,0.364301,0.524607,194
20.000000,0.404302,0.524607,109
22.000000,1.864384,0.524607,33
23.000000,0.016957,0.016957,124
