bag_time,time,x,y,yaw,vx,vy,wz
1788876257.3797398,1788876257.3238337,0.8,3.1598,-1.5707963267948966,0.0091,0.0,0.0
1788876257.4453466,1788876257.3983867,0.8,3.1594,-1.5707963267948966,0.0069,0.0,0.0
1788876257.4941323,1788876257.447879,0.8,3.1591,-1.5707963267948966,0.0055,0.0,0.0
1788876257.5432148,1788876257.4976776,0.8,3.1529,-1.5693797710464579,0.2054,0.0076,0.0481
1788876257.5942018,1788876257.547409,0.8,3.1419,-1.5644235377296773,0.225,0.0242,0.1563
1788876257.6441257,1788876257.597644,0.8002,3.1308,-1.5536694654643401,0.2184,0.0417,0.265
1788876257.6945202,1788876257.6486137,0.8005,3.12,-1.5375365277412907,0.2075,0.0561,0.3496
1788876257.744356,1788876257.6977603,0.801,3.1099,-1.5204201767458427,0.2063,0.0562,0.3488
1788876257.7944887,1788876257.7475045,0.8017,3.0996,-1.503019893390881,0.2057,0.0561,0.3487
1788876257.8433409,1788876257.7977445,0.8026,3.0894,-1.4856106639161797,0.2053,0.0561,0.3486
1788876257.8943064,1788876257.8475904,0.8036,3.0792,-1.4680537469545658,0.205,0.056,0.3486
1788876257.9454684,1788876257.897583,0.8049,3.0691,-1.4506285288450878,0.2048,0.056,0.3486
1788876257.9956741,1788876257.9476583,0.8063,3.0589,-1.433335552870799,0.2046,0.056,0.3486
1788876258.0441515,1788876257.9979787,0.8078,3.0488,-1.4158918851357474,0.2044,0.056,0.3486
1788876258.0941803,1788876258.0475724,0.8096,3.0387,-1.3988643869423585,0.2056,0.0544,0.3386
1788876258.1442425,1788876258.0974379,0.8116,3.0284,-1.384243436057351,0.211,0.047,0.2925
1788876258.1942625,1788876258.1475804,0.8137,3.0176,-1.3713109831860641,0.2149,0.0408,0.2535
1788876258.2451928,1788876258.1977353,0.8163,3.0057,-1.3590962116983598,0.2624,0.0417,0.2605
1788876258.2942247,1788876258.247381,0.8194,2.992,-1.346849037155674,0.2911,0.04,0.2491
1788876258.3435318,1788876258.2977395,0.823,2.9769,-1.3356055034854193,0.3181,0.0369,0.2299
1788876258.3954258,1788876258.3479905,0.8272,2.9602,-1.3254833715314804,0.3449,0.0327,0.2039
1788876258.4456074,1788876258.3977597,0.8316,2.943,-1.3170824538294057,0.3711,0.0275,0.1715
