time_s,collision_count
1788870438.0708807,0
1788870438.1469193,0
1788870438.21291,0
1788870438.277756,0
1788870438.3363314,0
1788870438.4037983,0
1788870438.465628,0
1788870438.530879,0
1788870438.6068382,0
1788870438.688755,0
1788870438.8449838,0
1788870438.932544,0
1788870439.0028665,0
1788870439.0790358,0
1788870439.1376889,0
1788870439.2134204,0
1788870439.276846,0
1788870439.3496723,0
1788870439.405966,0
1788870439.475344,0
1788870439.5296483,0
1788870439.5992036,0
1788870439.6543715,0
1788870439.7250962,0
1788870439.7771728,0
1788870439.8512495,0
1788870439.9061124,0
1788870439.9767885,0
1788870440.0307953,0
1788870440.1009762,0
1788870440.1550827,0
1788870440.2266798,0
1788870440.2820833,0
1788870440.3478072,0
1788870440.4003723,0
1788870440.4761355,0
1788870440.5288875,0
1788870440.6003063,0
1788870440.6748848,0
1788870440.7287047,0
1788870440.7996647,0
1788870440.8518755,0
1788870440.9239964,0
1788870440.9761648,0
1788870441.0497494,0
1788870441.104459,0
1788870441.1737986,0
1788870441.2259636,0
1788870441.3008678,0
1788870441.3524132,0
1788870441.4248033,0
1788870441.4787314,0
1788870441.5519724,0
1788870441.605832,0
1788870441.6750932,0
1788870441.7293332,0
1788870441.800163,0
1788870441.8518121,0
1788870441.9240234,0
1788870441.9774568,0
1788870442.048759,0
1788870442.0999377,0
1788870442.1727533,0
1788870442.2253723,0
1788870442.3003166,0
1788870442.3540208,0
1788870442.4251764,0
1788870442.4805973,0
1788870442.5514972,0
1788870442.6051104,0
1788870442.6752992,0
1788870442.7279453,0
1788870442.7993252,0
1788870442.8528013,0
1788870442.9241788,0
1788870442.977521,0
1788870443.0500424,0
1788870443.1037292,0
1788870443.1758864,0
1788870443.2279308,0
1788870443.2988317,0
1788870443.3506334,0
1788870443.424767,0
1788870443.4783206,0
1788870443.551101,0
1788870443.604625,0
1788870443.6755338,0
1788870443.7295275,0
1788870443.8001108,0
1788870443.8553588,0
1788870443.9248645,0
1788870443.977542,0
1788870444.0500822,0
1788870444.1052601,0
1788870444.1757576,0
1788870444.229601,0
1788870444.299878,0
1788870444.3546417,0
1788870444.4234853,0
1788870444.4744484,0
1788870444.5493913,0
1788870444.6055884,0
1788870444.6751716,0
1788870444.7306147,0
1788870444.80246,0
1788870444.8602543,0
1788870444.9253535,0
1788870444.9779902,0
1788870445.0552492,0
1788870445.12917,0
1788870445.203707,0
1788870445.2787561,0
1788870445.3537598,0
1788870445.4139264,0
1788870445.4776907,0
1788870445.5547624,0
1788870445.6122558,0
1788870445.6778069,0
1788870445.734223,0
1788870445.802363,0
1788870445.8688288,0
1788870445.9312925,0
1788870446.0144634,0
1788870446.0781622,0
1788870446.1367521,0
1788870446.2051635,0
1788870446.2779677,0
1788870446.3536973,0
1788870446.4111173,0
1788870446.479926,0
1788870446.5511427,0
1788870446.6050663,0
1788870446.67585,0
1788870446.7292435,0
1788870446.8020823,0
1788870446.8555486,0
1788870446.9274278,0
1788870446.9819443,0
1788870447.0499988,0
1788870447.1019032,0
1788870447.1746633,0
1788870447.2339852,0
1788870447.3196127,0
1788870447.3815758,0
1788870447.4526756,0
1788870447.5064178,0
1788870447.5756636,0
1788870447.629931,0
1788870447.7011797,0
1788870447.754284,0
1788870447.823545,0
1788870447.8769197,0
1788870447.9492912,0
1788870448.00106,0
1788870448.0749505,0
1788870448.126755,0
1788870448.2017753,0
1788870448.2566564,0
1788870448.3294578,0
1788870448.387407,0
1788870448.4542875,0
1788870448.5283754,0
1788870448.601684,0
1788870448.6784506,0
1788870448.7332706,0
1788870448.8023167,0
1788870448.8781905,0
1788870448.9341767,0
1788870449.0004246,0
1788870449.053265,0
1788870449.1243155,0
1788870449.1767256,0
1788870449.2499166,0
1788870449.3020935,0
1788870449.375064,0
1788870449.4270837,0
1788870449.5074222,0
1788870449.5806196,0
1788870449.6577296,0
1788870449.7326314,0
1788870449.806917,0
1788870449.8831937,0
1788870449.95909,0
1788870450.0362089,0
1788870450.1056473,0
1788870450.1813464,0
1788870450.2604103,0
1788870450.334207,0
1788870450.4066756,0
1788870450.5123982,0
1788870450.6092496,0
1788870450.6839564,0
1788870450.759331,0
1788870450.8331816,0
1788870450.9031923,0
1788870450.9779985,0
1788870451.0356996,0
1788870451.105005,0
1788870451.177663,0
1788870451.2514157,0
1788870451.3039114,0
1788870451.3758583,0
1788870451.4490461,0
1788870451.5011613,0
1788870451.5752878,0
1788870451.6258116,0
1788870451.6976674,0
1788870451.7499425,0
1788870451.8241901,0
1788870451.8775158,0
1788870451.9480789,0
1788870451.9994593,0
1788870452.0749369,0
1788870452.1492565,0
1788870452.2009573,0
1788870452.2739086,0
1788870452.3259997,0
1788870452.3983314,0
1788870452.4516683,0
1788870452.523969,0
1788870452.5775046,0
1788870452.6504004,0
1788870452.7067366,0
1788870452.7811487,0
1788870452.853523,0
1788870452.930492,0
1788870452.9870393,0
1788870453.0550725,0
1788870453.1320243,0
1788870453.204384,0
1788870453.2784495,0
1788870453.3528407,0
1788870453.4295306,0
1788870453.4832857,0
1788870453.5522501,0
1788870453.6071055,0
1788870453.6786726,0
1788870453.7552147,0
1788870453.8143954,0
1788870453.8762321,0
1788870453.9509463,0
1788870454.0079217,0
1788870454.075021,0
1788870454.1279216,0
1788870454.203337,0
1788870454.256179,0
1788870454.3257601,0
1788870454.3835924,0
1788870454.4519906,0
1788870454.5263348,0
1788870454.5846896,0
1788870454.657272,0
1788870454.7311215,0
1788870454.8060765,0
1788870454.87917,0
1788870454.9569836,0
1788870455.0291653,0
1788870455.1055584,0
1788870455.1784852,0
1788870455.2525058,0
1788870455.3068948,0
1788870455.379253,0
1788870455.4332952,0
1788870455.503484,0
1788870455.5758796,0
1788870455.6275802,0
1788870455.7007341,0
1788870455.7528667,0
1788870455.8253973,0
1788870455.8795564,0
1788870455.9511023,0
1788870456.0077367,0
1788870456.0766196,0
1788870456.1309888,0
1788870456.2014258,0
1788870456.2779741,0
1788870456.3340006,0
1788870456.403302,0
1788870456.4609418,0
1788870456.529738,0
1788870456.604956,0
1788870456.6625092,0
1788870456.7280915,0
1788870456.8027105,0
1788870456.876266,0
1788870456.931397,0
1788870457.0033813,0
1788870457.0570343,0
1788870457.1294432,0
1788870457.1878488,0
1788870457.2517827,0
1788870457.3262808,0
1788870457.3795016,0
1788870457.4510605,0
1788870457.504935,0
1788870457.5754638,0
1788870457.6283422,0
1788870457.6995435,0
1788870457.752766,0
1788870457.8250368,0
1788870457.8779159,0
1788870457.9508367,0
1788870458.0053713,0
1788870458.0739558,0
1788870458.1293373,0
1788870458.198929,0
1788870458.2515464,0
1788870458.3232632,0
1788870458.3769624,0
1788870458.4509804,0
1788870458.5031796,0
1788870458.5755842,0
1788870458.632138,0
1788870458.7012267,0
1788870458.755724,0
1788870458.8253686,0
1788870458.8991864,0
1788870458.9523802,0
1788870459.0253892,0
1788870459.0790658,0
1788870459.15173,0
1788870459.2261872,0
1788870459.2796726,0
1788870459.3515682,0
1788870459.4241607,0
1788870459.479959,0
1788870459.5504632,0
1788870459.603146,0
1788870459.674757,0
1788870459.7277973,0
1788870459.7994761,0
1788870459.8521316,0
1788870459.9250827,0
1788870459.9776907,0
1788870460.0487947,0
1788870460.1021245,0
1788870460.1747365,0
1788870460.2259464,0
1788870460.2987542,0
1788870460.3540466,0
1788870460.4256735,0
1788870460.4788735,0
1788870460.5493228,0
1788870460.6023014,0
1788870460.6744225,0
1788870460.726779,0
1788870460.7992678,0
1788870460.8527365,0
1788870460.9236662,0
1788870460.9775064,0
1788870461.049524,0
1788870461.1049242,0
1788870461.1745179,0
1788870461.2269907,0
1788870461.3006122,0
