time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,wz_radps
1788870439.9761524,0.8708,2.5074,-1.4713320220691946,0.4788,-0.0043,-0.0266
1788870440.0429223,0.8739,2.4765,-1.473226335918212,0.4767,-0.005,-0.0309
1788870440.1010206,0.8767,2.4476,-1.475378588191906,0.4765,-0.0057,-0.0353
1788870440.1672192,0.8795,2.4172,-1.4775461137505375,0.4765,-0.0058,-0.036
1788870440.226702,0.8821,2.3887,-1.4805254495758686,0.4764,-0.0078,-0.0485
1788870440.2925265,0.8849,2.3579,-1.4837751824911831,0.4764,-0.0078,-0.0485
1788870440.3478475,0.8872,2.3308,-1.487034576237595,0.4764,-0.0095,-0.0588
1788870440.4169652,0.8898,2.2985,-1.4908528930230833,0.4764,-0.0088,-0.0544
1788870440.4761918,0.892,2.27,-1.4941129214963376,0.4764,-0.0089,-0.0551
1788870440.542528,0.8943,2.2391,-1.4968397789342405,0.4765,-0.0069,-0.0426
1788870440.6170878,0.8969,2.2034,-1.4995649892504712,0.4765,-0.006,-0.0375
1788870440.6749256,0.8988,2.1763,-1.5045122603257934,0.4531,-0.0138,-0.0854
1788870440.7421656,0.9006,2.1466,-1.5110901754849866,0.4508,-0.0162,-0.1004
1788870440.7997987,0.9021,2.12,-1.516596848392439,0.4508,-0.0151,-0.0934
1788870440.8671758,0.9036,2.0903,-1.5221083084554456,0.451,-0.0136,-0.0843
1788870440.9240062,0.9048,2.0641,-1.5262544507104545,0.4512,-0.0114,-0.0704
1788870440.9923747,0.9061,2.0328,-1.5298447583938937,0.4749,-0.0091,-0.0564
1788870441.0497715,0.9072,2.0047,-1.5315038500099794,0.4765,-0.0045,-0.0279
1788870441.117181,0.9085,1.9722,-1.5326147083842558,0.5,-0.0023,-0.0147
1788870441.1738622,0.9096,1.9431,-1.5326146251311135,0.5016,-0.0001,-0.0008
1788870441.2425804,0.9109,1.9095,-1.532059645842791,0.5017,0.0016,0.01
1788870441.3009396,0.912,1.8794,-1.5317811464375226,0.5017,0.0003,0.0015
1788870441.3670835,0.9133,1.8468,-1.5323413703613102,0.5017,-0.0007,-0.0046
1788870441.4248786,0.9144,1.8172,-1.5323413703613102,0.5017,-0.0004,-0.0023
1788870441.4927802,0.9157,1.7841,-1.532896350404893,0.5017,-0.0011,-0.007
1788870441.552012,0.9169,1.753,-1.5334558356050993,0.5016,-0.0017,-0.0108
1788870441.6171966,0.918,1.7214,-1.5345666247882241,0.5016,-0.0026,-0.0162
1788870441.6751387,0.9191,1.6918,-1.535678074605013,0.5016,-0.0032,-0.0201
1788870441.7420855,0.9202,1.6598,-1.5387467159364752,0.4781,-0.0081,-0.0502
1788870441.8001955,0.921,1.6317,-1.5420944830472703,0.4764,-0.0092,-0.0566
1788870441.867367,0.9218,1.6002,-1.5448806434643183,0.4764,-0.0066,-0.0412
1788870441.9240906,0.9225,1.5726,-1.547678571867569,0.4764,-0.0076,-0.047
1788870441.9921358,0.9232,1.5406,-1.5490727974638483,0.4765,-0.0033,-0.0206
1788870442.0487838,0.9238,1.5121,-1.5496239404984895,0.4993,-0.0015,-0.0092
1788870442.1173077,0.9245,1.4796,-1.551032674796762,0.4781,-0.0035,-0.0214
1788870442.172769,0.925,1.4516,-1.552144860921647,0.4993,-0.0031,-0.0193
1788870442.2420685,0.9256,1.4175,-1.553546797714416,0.5015,-0.0031,-0.0193
1788870442.3001764,0.9261,1.3874,-1.5532662907527168,0.5017,0.0004,0.0023
1788870442.3671129,0.9267,1.3548,-1.5543884120856817,0.5017,-0.0026,-0.0162
1788870442.425177,0.9271,1.3252,-1.5552304298197333,0.5017,-0.0027,-0.017
1788870442.492034,0.9276,1.2931,-1.5566432846773333,0.4783,-0.0032,-0.0199
1788870442.5515106,0.928,1.264,-1.5577673647710806,0.4766,-0.0032,-0.0198
1788870442.6173592,0.9284,1.2325,-1.5588833932534158,0.4997,-0.0029,-0.0177
1788870442.6753693,0.9287,1.2029,-1.5588790769073875,0.5015,0.0003,0.0015
1788870442.7421615,0.9291,1.1698,-1.5600102770240813,0.5017,-0.0025,-0.0155
1788870442.799361,0.9294,1.1402,-1.560853208542007,0.5017,-0.0026,-0.0162
1788870442.8672621,0.9297,1.1081,-1.562271362686826,0.4783,-0.0032,-0.0199
1788870442.9242373,0.9299,1.08,-1.5633974768754504,0.4766,-0.0032,-0.0198
1788870442.9917295,0.9301,1.0474,-1.5645166872679546,0.4999,-0.003,-0.0185
1788870443.050118,0.9303,1.0178,-1.5645123449472331,0.5015,-0.0001,-0.0008
1788870443.117021,0.9305,0.9847,-1.5642312227363502,0.5017,0.0013,0.0077
1788870443.1759064,0.9307,0.9546,-1.5633854393650723,0.5017,0.0023,0.0139
1788870443.242047,0.931,0.922,-1.562544342329074,0.5016,0.0021,0.0131
1788870443.2988973,0.9313,0.8929,-1.5622614132946764,0.5016,0.0005,0.0031
1788870443.367139,0.9315,0.8592,-1.5625431796929823,0.5016,-0.001,-0.0062
1788870443.4248066,0.9318,0.8296,-1.5631068335163107,0.5016,-0.0015,-0.0093
1788870443.4921172,0.932,0.7965,-1.5642355501307978,0.5016,-0.0024,-0.0147
1788870443.5511708,0.9322,0.7659,-1.5653630609478517,0.5016,-0.0031,-0.0193
1788870443.6172314,0.9323,0.7348,-1.5667838561269443,0.4784,-0.0035,-0.0214
1788870443.6754456,0.9324,0.7062,-1.5679131806391713,0.4766,-0.0034,-0.0213
1788870443.7420795,0.9325,0.6752,-1.569322236752066,0.4765,-0.0032,-0.0198
1788870443.8001683,0.9325,0.6456,-1.570161747151473,0.4994,-0.0026,-0.0162
1788870443.8673005,0.9325,0.6131,-1.571010541460732,0.5015,-0.0019,-0.0116
1788870443.9249227,0.9325,0.5834,-1.5721428274096676,0.5017,-0.0031,-0.0193
1788870443.992367,0.9324,0.5503,-1.5735586927843992,0.5017,-0.0032,-0.0201
1788870444.050132,0.9323,0.5221,-1.574701013198276,0.4827,-0.0031,-0.0186
1788870444.1172307,0.9321,0.4889,-1.5758271698845028,0.5004,-0.0031,-0.0193
1788870444.1755586,0.932,0.4588,-1.5766783594086884,0.5015,-0.0024,-0.0147
1788870444.2422037,0.9318,0.4257,-1.5775299070010396,0.5016,-0.0019,-0.0116
1788870444.2999213,0.9315,0.3961,-1.5780967833272603,0.5016,-0.0011,-0.007
1788870444.3670943,0.9313,0.3635,-1.57838182873112,0.5016,-0.0009,-0.0054
1788870444.423529,0.9311,0.3349,-1.5792340933286588,0.5016,-0.0025,-0.0155
1788870444.4921193,0.9308,0.3007,-1.5806539262359989,0.5016,-0.0032,-0.0201
1788870444.5494604,0.9305,0.2716,-1.581224098839635,0.5016,-0.0021,-0.0132
1788870444.6177268,0.9301,0.238,-1.5820775524518516,0.5016,-0.0016,-0.0101
1788870444.6752088,0.9297,0.2079,-1.5829313620442267,0.5016,-0.0026,-0.0162
1788870444.7421663,0.9293,0.1753,-1.5840703279956097,0.5016,-0.0029,-0.0178
1788870444.8025396,0.9289,0.1442,-1.5852099253897207,0.5016,-0.0031,-0.0193
1788870444.8672829,0.9284,0.1126,-1.5866353088542706,0.5016,-0.003,-0.0186
1788870444.9254038,0.9279,0.0824,-1.5874910112330753,0.5016,-0.0026,-0.0162
1788870444.9923403,0.9273,0.0498,-1.588347067408232,0.5016,-0.0021,-0.0132
1788870445.0680802,0.9266,0.0122,-1.5892034770262022,0.5016,-0.0016,-0.0101
1788870445.143012,0.9259,-0.0254,-1.589774653962032,0.5016,-0.0012,-0.0077
1788870445.2177968,0.9252,-0.0631,-1.5900630329308358,0.5016,-0.001,-0.0062
1788870445.2925475,0.9245,-0.1007,-1.5906316537104697,0.5016,-0.0011,-0.007
1788870445.353004,0.9239,-0.1318,-1.5912031827256603,0.5016,-0.0019,-0.0125
1788870445.4171615,0.9232,-0.1634,-1.5920607697547162,0.5016,-0.0021,-0.0131
1788870445.4931843,0.9224,-0.201,-1.5932079719125958,0.5016,-0.0025,-0.0155
1788870445.5548286,0.9216,-0.2332,-1.5943493878240846,0.5016,-0.0028,-0.0175
1788870445.6175246,0.9209,-0.2638,-1.5954946330347677,0.5016,-0.0029,-0.0178
1788870445.677896,0.9201,-0.2949,-1.5963576371508457,0.5016,-0.0026,-0.0156
1788870445.7420473,0.9193,-0.3265,-1.5974997787851246,0.5016,-0.0025,-0.0155
1788870445.8023024,0.9185,-0.3551,-1.5986557233547114,0.4788,-0.0033,-0.0205
1788870445.86903,0.9178,-0.3781,-1.5995164763695378,0.4768,-0.0033,-0.0206
1788870445.9423366,0.9168,-0.4136,-1.600942936595279,0.5002,-0.0029,-0.0177
1788870446.0182424,0.9154,-0.4577,-1.60238386027896,0.5016,-0.0015,-0.0069
1788870446.0782413,0.9142,-0.4933,-1.6029587429867596,0.5017,-0.0006,-0.0033
1788870446.1424482,0.9132,-0.5244,-1.6029587429867596,0.5017,-0.0001,-0.0008
1788870446.2178853,0.912,-0.5621,-1.6029541213911858,0.5016,0.0005,0.0031
1788870446.2927444,0.9108,-0.5997,-1.6026667026411663,0.5016,0.0005,0.0031
1788870446.3530443,0.9098,-0.6308,-1.6026667026411663,0.5016,-0.0001,-0.0008
1788870446.4174938,0.9088,-0.6624,-1.6032415787206926,0.5016,-0.0014,-0.0085
1788870446.492091,0.9076,-0.7,-1.6043917935396264,0.5016,-0.0026,-0.0162
1788870446.5511937,0.9066,-0.7291,-1.6055565678128136,0.4787,-0.0033,-0.0207
1788870446.617227,0.9054,-0.7612,-1.6066992383734056,0.4999,-0.003,-0.0185
1788870446.67594,0.9044,-0.7903,-1.6081440822465454,0.4786,-0.0036,-0.0221
1788870446.7421618,0.9032,-0.8213,-1.6095854283006508,0.4766,-0.0033,-0.0206
1788870446.8021204,0.902,-0.8514,-1.6107303749108937,0.4995,-0.003,-0.0185
1788870446.8674095,0.9007,-0.8834,-1.6115960947923296,0.5015,-0.0025,-0.0155
1788870446.9275331,0.8994,-0.9145,-1.6121794043132482,0.5017,-0.0017,-0.0108
1788870446.992288,0.8981,-0.9461,-1.612756978991832,0.5017,-0.0012,-0.0077
1788870447.0500462,0.8968,-0.9757,-1.6130459130709844,0.5017,-0.0007,-0.0046
1788870447.1171687,0.8954,-1.0088,-1.613334796253122,0.5016,-0.0006,-0.0039
1788870447.1746838,0.8942,-1.0384,-1.6136237174994907,0.5016,-0.0007,-0.0046
1788870447.2427182,0.8927,-1.072,-1.6139126767943137,0.5016,-0.0013,-0.0091
1788870447.3196824,0.8911,-1.1081,-1.6147797828112784,0.5016,-0.0018,-0.0116
1788870447.3925498,0.8894,-1.1467,-1.6156472306934389,0.5016,-0.0019,-0.0116
1788870447.452728,0.888,-1.1772,-1.6165150200099072,0.5016,-0.0024,-0.0147
1788870447.5171697,0.8866,-1.2093,-1.617389890932483,0.5016,-0.0026,-0.0162
1788870447.5757375,0.8851,-1.2394,-1.6185411871096493,0.5016,-0.0025,-0.0155
1788870447.6424425,0.8836,-1.272,-1.6194171515148947,0.5016,-0.0024,-0.0147
1788870447.7012537,0.8821,-1.3026,-1.6199967087479683,0.5016,-0.0019,-0.0116
1788870447.7672353,0.8805,-1.3346,-1.6208663273751704,0.5016,-0.0017,-0.0108
1788870447.823611,0.879,-1.3637,-1.621446261452362,0.5016,-0.0014,-0.0085
1788870447.8921545,0.8773,-1.3973,-1.6217362849389485,0.5016,-0.0012,-0.0077
1788870447.949344,0.8758,-1.4264,-1.6223164447249234,0.5016,-0.0011,-0.007
1788870448.0173945,0.8741,-1.4599,-1.622614095482683,0.5016,-0.0011,-0.007
1788870448.0750315,0.8725,-1.4895,-1.6228967548167048,0.5016,-0.0005,-0.0031
1788870448.1426058,0.8708,-1.5226,-1.6231869661854357,0.5016,-0.0005,-0.0031
1788870448.2017891,0.8692,-1.5532,-1.6231945667570493,0.5016,-0.0006,-0.0039
1788870448.2676556,0.8675,-1.5852,-1.623775188197632,0.5016,-0.0011,-0.007
1788870448.3294234,0.8658,-1.6173,-1.6246385855850594,0.5016,-0.002,-0.0124
1788870448.392881,0.8641,-1.6479,-1.6255179521666745,0.5016,-0.0024,-0.0147
1788870448.467465,0.862,-1.6855,-1.6269712842955248,0.5016,-0.003,-0.0186
1788870448.542206,0.8599,-1.723,-1.6284255494329734,0.5016,-0.0031,-0.0193
1788870448.617744,0.8577,-1.7606,-1.6298807454182251,0.5016,-0.0032,-0.0201
1788870448.6785142,0.8558,-1.7917,-1.6307631637375768,0.5016,-0.0029,-0.0178
1788870448.7421286,0.8539,-1.8232,-1.631928610735485,0.5016,-0.0029,-0.0178
1788870448.817012,0.8516,-1.8608,-1.6330993752095202,0.5016,-0.0024,-0.0147
1788870448.8782485,0.8496,-1.8923,-1.6339652136001555,0.5016,-0.0019,-0.0116
1788870448.9425738,0.8476,-1.9234,-1.634557971864013,0.5016,-0.0019,-0.0116
1788870449.0002167,0.8457,-1.9529,-1.6351416689032523,0.5016,-0.0015,-0.0093
1788870449.067238,0.8436,-1.986,-1.6360174908440168,0.5016,-0.0019,-0.0116
1788870449.124366,0.8417,-2.015,-1.6366015561808933,0.5016,-0.0017,-0.0108
1788870449.1921887,0.8394,-2.0486,-1.6374779298865327,0.5016,-0.0024,-0.0147
1788870449.2495935,0.8374,-2.0781,-1.638656853909674,0.5016,-0.0031,-0.0193
1788870449.3173828,0.8352,-2.1101,-1.6401280853639408,0.4782,-0.0037,-0.0229
1788870449.3750656,0.8332,-2.1382,-1.64188407246855,0.4766,-0.0044,-0.0272
1788870449.4425313,0.831,-2.1696,-1.6436476209619582,0.4765,-0.0049,-0.0301
1788870449.517442,0.8283,-2.2052,-1.646286414248143,0.4765,-0.0052,-0.0323
1788870449.5938094,0.8256,-2.2409,-1.6489510702329888,0.4765,-0.0062,-0.0382
1788870449.6677668,0.8227,-2.277,-1.652180389753095,0.4765,-0.0064,-0.0397
1788870449.7426379,0.8197,-2.3121,-1.6563272760212415,0.4764,-0.0095,-0.0588
1788870449.8182862,0.8166,-2.3464,-1.6622522835116367,0.4521,-0.0128,-0.0789
1788870449.8938081,0.8134,-2.3801,-1.6693939881647712,0.4508,-0.0155,-0.0962
1788870449.9684691,0.8097,-2.4151,-1.677161683074909,0.4509,-0.0145,-0.086
1788870450.0430005,0.8061,-2.4478,-1.6834293927448791,0.451,-0.0135,-0.0836
1788870450.117926,0.8021,-2.4823,-1.6876474511352813,0.4753,-0.0096,-0.0594
1788870450.1926067,0.7978,-2.5187,-1.6897363886440673,0.4783,-0.0012,-0.001
1788870450.2680328,0.7935,-2.5546,-1.6894327886464597,0.5006,0.0005,0.0031
1788870450.3420756,0.7892,-2.5911,-1.6873276123492131,0.4777,0.0049,0.0302
1788870450.4169068,0.785,-2.6272,-1.6837275478956037,0.4765,0.008,0.05
1788870450.5172994,0.7802,-2.6703,-1.6795256089916577,0.4765,0.0071,0.0441
1788870450.6182048,0.7753,-2.7167,-1.6753443675215505,0.4765,0.0054,0.0323
1788870450.6934865,0.7711,-2.7575,-1.6726550494550496,0.4829,0.0032,0.017
1788870450.7679868,0.7674,-2.7941,-1.6714482934946817,0.5008,0.0029,0.0178
1788870450.8427024,0.7637,-2.831,-1.6714525617559572,0.5017,-0.0001,-0.0008
1788870450.9176285,0.7599,-2.8685,-1.6726591525823835,0.5017,-0.0028,-0.017
1788870450.9780786,0.7567,-2.8989,-1.674446021394812,0.4785,-0.0046,-0.0293
1788870451.0429702,0.7536,-2.9283,-1.676245003863337,0.4766,-0.0048,-0.0294
1788870451.117444,0.7498,-2.9639,-1.6780457722512365,0.4765,-0.0043,-0.0265
1788870451.1927779,0.746,-2.9994,-1.6798277438307083,0.4765,-0.0034,-0.0213
1788870451.251473,0.7427,-3.0288,-1.6804349885714254,0.4994,-0.002,-0.0123
1788870451.3172193,0.7391,-3.0612,-1.6807329423903443,0.5016,-0.0005,-0.0031
1788870451.3922749,0.735,-3.0986,-1.6804352118989327,0.5017,0.0008,0.0046
1788870451.4491045,0.7319,-3.127,-1.679839404820142,0.5017,0.0015,0.0093
1788870451.517755,0.7282,-3.161,-1.6789459489469702,0.5017,0.002,0.0124
1788870451.5753214,0.725,-3.1904,-1.6783345009895556,0.5016,0.0023,0.0139
1788870451.6419961,0.7215,-3.2234,-1.677425855277506,0.5016,0.0023,0.0139
1788870451.697689,0.7186,-3.2508,-1.6768466593240052,0.5016,0.0011,0.0069
1788870451.767257,0.7149,-3.2857,-1.6765378122579755,0.5016,0.001,0.0062
1788870451.8242261,0.7118,-3.3147,-1.6762404259166714,0.5016,0.0005,0.0031
1788870451.8920784,0.7083,-3.3481,-1.6762404259166714,0.5016,0.0002,0.0015
1788870451.9481525,0.7054,-3.3756,-1.6762404259166714,0.5016,-0.0004,-0.0023
1788870452.0171402,0.7017,-3.4105,-1.6765378122579755,0.5016,-0.0006,-0.0039
1788870452.0925596,0.6977,-3.4479,-1.6768509800511446,0.5016,-0.0006,-0.0039
1788870452.149283,0.6946,-3.4769,-1.6771326874638322,0.5016,-0.0005,-0.0031
1788870452.217099,0.691,-3.5103,-1.6771484806024863,0.5016,-0.0004,-0.0023
1788870452.27394,0.688,-3.5388,-1.6774301762831836,0.5016,-0.0005,-0.0031
1788870452.342136,0.6843,-3.5727,-1.677446015303701,0.5016,-0.0004,-0.0023
1788870452.398389,0.6813,-3.6011,-1.677446015303701,0.5016,-0.0001,-0.0008
1788870452.4673264,0.6777,-3.6351,-1.677446015303701,0.5016,0.0,0.0
1788870452.5240195,0.6746,-3.664,-1.677446015303701,0.5016,0.0003,0.0015
1788870452.5922723,0.671,-3.6974,-1.677446015303701,0.5016,0.0001,0.0008
1788870452.6504567,0.6678,-3.7274,-1.6774301762831836,0.5016,0.0001,0.0008
1788870452.7171288,0.6643,-3.7603,-1.6774301762831836,0.5016,0.0001,0.0008
1788870452.7933228,0.6603,-3.7972,-1.6774301762831836,0.5016,0.0001,0.0008
1788870452.8672762,0.6563,-3.8347,-1.6774301762831836,0.5016,0.0,0.0
1788870452.930487,0.653,-3.8656,-1.6771326874638322,0.5016,0.0005,0.0031
1788870452.992995,0.6497,-3.8971,-1.6768352327812244,0.5016,0.0008,0.0046
1788870453.0678391,0.6457,-3.9345,-1.6768352327812244,0.5016,0.0001,0.0008
1788870453.1430678,0.6417,-3.972,-1.6765535136723058,0.5016,0.0003,0.0015
1788870453.217789,0.6377,-4.0094,-1.6765378122579755,0.5016,0.0002,0.0015
1788870453.292251,0.6338,-4.0468,-1.6765378122579755,0.5016,0.0001,0.0008
1788870453.367297,0.6298,-4.0843,-1.6762404259166714,0.5016,0.0004,0.0023
1788870453.4295914,0.6265,-4.1152,-1.675943073779866,0.5016,0.0006,0.0039
1788870453.4920633,0.6232,-4.1467,-1.675943073779866,0.5016,0.0005,0.0031
1788870453.5522888,0.62,-4.1771,-1.6756457558700821,0.5016,0.0003,0.0015
1788870453.6180077,0.6166,-4.2091,-1.6756457558700821,0.5016,0.0001,0.0008
1788870453.6926062,0.6127,-4.2465,-1.6756457558700821,0.5016,-0.0001,-0.0008
1788870453.755282,0.6093,-4.279,-1.675943073779866,0.5016,-0.0004,-0.0031
1788870453.8172288,0.6061,-4.3089,-1.675958683522507,0.5016,-0.0005,-0.0031
1788870453.8925126,0.6022,-4.3464,-1.6762404259166714,0.5016,-0.0005,-0.0031
1788870453.9509826,0.599,-4.3758,-1.6765378122579755,0.5016,0.0,0.0008
1788870454.0173836,0.5955,-4.4088,-1.6765378122579755,0.5016,0.0001,0.0008
1788870454.0750885,0.5925,-4.4377,-1.6762404259166714,0.5016,0.0005,0.0031
1788870454.1424365,0.5889,-4.4712,-1.6762404259166714,0.5016,-0.0001,-0.0008
1788870454.2017596,0.5857,-4.5016,-1.6765378122579755,0.5016,-0.0004,-0.0023
1788870454.2675989,0.5823,-4.5336,-1.6762560814885705,0.5016,0.0001,0.0008
1788870454.3257878,0.5792,-4.5635,-1.6765378122579755,0.5016,-0.0005,-0.0031
1788870454.3928561,0.5757,-4.596,-1.6768352327812244,0.5016,-0.0007,-0.0046
1788870454.4675121,0.5717,-4.6334,-1.6771484806024863,0.5016,-0.0007,-0.0046
1788870454.5263941,0.5685,-4.6633,-1.677446015303701,0.5016,-0.0006,-0.0034
1788870454.592625,0.565,-4.6957,-1.6777435841321262,0.5016,-0.0005,-0.0031
1788870454.667189,0.561,-4.7331,-1.6780252562414968,0.5016,-0.0005,-0.0031
1788870454.7426524,0.557,-4.7706,-1.6780411870650696,0.5016,-0.0004,-0.0023
1788870454.8179142,0.5529,-4.8085,-1.6783388240798072,0.5016,-0.0002,-0.0015
1788870454.8935268,0.5489,-4.8454,-1.6783388240798072,0.5016,-0.0001,-0.0008
1788870454.9681244,0.5449,-4.8828,-1.6780411870650696,0.5016,0.0006,0.0039
1788870455.0423884,0.5409,-4.9202,-1.6780411870650696,0.5016,0.0,0.0
1788870455.1177237,0.5368,-4.9576,-1.6780411870650696,0.5016,-0.0001,-0.0008
1788870455.1922982,0.5328,-4.995,-1.6780252562414968,0.5016,0.0003,0.0015
1788870455.252555,0.5296,-5.025,-1.6780411870650696,0.5016,-0.0005,-0.0031
1788870455.3175247,0.5261,-5.0574,-1.6780411870650696,0.5016,0.0,0.0
1788870455.3792977,0.5227,-5.0888,-1.6780411870650696,0.5016,0.0,0.0
1788870455.4420362,0.5194,-5.1197,-1.6783388240798072,0.5016,-0.0008,-0.0046
1788870455.5172884,0.5153,-5.1571,-1.6786364951535844,0.5016,-0.0005,-0.0031
1788870455.575789,0.5121,-5.1871,-1.6786525225767213,0.5016,-0.0004,-0.0023
1788870455.6417067,0.5086,-5.2195,-1.678934200263615,0.5016,-0.0003,-0.0015
1788870455.7007804,0.5053,-5.2494,-1.67895027364805,0.5016,-0.0005,-0.0031
1788870455.7674298,0.5018,-5.2818,-1.678934200263615,0.5016,0.0003,0.0015
1788870455.825458,0.4986,-5.3113,-1.678934200263615,0.5016,0.0002,0.0011
1788870455.8926263,0.495,-5.3442,-1.6786525225767213,0.5016,0.0001,0.0008
1788870455.9511957,0.4918,-5.3741,-1.6786525225767213,0.5016,0.0002,0.0018
1788870456.0172498,0.4883,-5.4065,-1.6786364951535844,0.5016,0.0005,0.0031
1788870456.0767064,0.485,-5.4365,-1.6786364951535844,0.5016,-0.0004,-0.0023
1788870456.1422112,0.4815,-5.4689,-1.678934200263615,0.5016,-0.0007,-0.0046
1788870456.2165525,0.4775,-5.5063,-1.6792319393870832,0.5016,-0.0004,-0.0023
1788870456.2780116,0.4741,-5.5372,-1.6792319393870832,0.5016,-0.0002,-0.0015
1788870456.3426225,0.4707,-5.5686,-1.6795297125011406,0.5016,-0.0006,-0.0039
1788870456.4032917,0.4672,-5.6001,-1.679827519582909,0.5016,-0.0005,-0.0031
1788870456.4675567,0.4638,-5.631,-1.6798437309294532,0.5016,-0.0005,-0.0031
1788870456.5425167,0.4597,-5.6684,-1.6804232355579087,0.5016,-0.0009,-0.0054
1788870456.6050155,0.4562,-5.7003,-1.6807374938308917,0.5016,-0.0009,-0.0054
1788870456.6665695,0.4529,-5.7308,-1.6810518829429224,0.5016,-0.0014,-0.0085
1788870456.7429507,0.4487,-5.7682,-1.6819296520353564,0.5016,-0.0014,-0.0085
1788870456.8175159,0.4445,-5.8056,-1.6825259340088259,0.5016,-0.0014,-0.0085
1788870456.8763223,0.4412,-5.835,-1.6825382338958117,0.5016,-0.0004,-0.0017
1788870456.9422832,0.4375,-5.868,-1.682836699401202,0.5016,-0.0002,-0.0015
1788870457.0033643,0.4341,-5.8984,-1.682836699401202,0.5016,-0.0004,-0.0023
1788870457.0678687,0.4305,-5.9303,-1.6831349710463683,0.5016,-0.0004,-0.0023
1788870457.129472,0.4269,-5.9622,-1.6834330470052594,0.5016,-0.0011,-0.007
1788870457.1924818,0.4234,-5.9927,-1.6840297575854835,0.5016,-0.0011,-0.007
1788870457.2672257,0.4192,-6.03,-1.6846266027535857,0.5016,-0.0016,-0.0101
1788870457.3263373,0.4157,-6.0604,-1.6852406333245713,0.5016,-0.0017,-0.0108
1788870457.39231,0.412,-6.0923,-1.685838073945262,0.5016,-0.0016,-0.0101
1788870457.4510946,0.4085,-6.1223,-1.6861539230380558,0.5016,-0.0009,-0.0054
1788870457.5172868,0.4048,-6.1546,-1.6864354155628103,0.5016,-0.0005,-0.0031
1788870457.5755074,0.4013,-6.184,-1.6864354155628103,0.5016,0.0,0.0
1788870457.64204,0.3975,-6.217,-1.6864354155628103,0.5016,0.0003,0.0015
1788870457.6996174,0.3942,-6.2459,-1.6864354155628103,0.5016,-0.0003,-0.0015
1788870457.7672575,0.3903,-6.2792,-1.6867341365907589,0.5016,-0.0005,-0.0031
1788870457.8250897,0.387,-6.3072,-1.6870502251124717,0.5016,-0.0014,-0.0085
1788870457.8919141,0.383,-6.3416,-1.6879293549444625,0.5016,-0.0016,-0.0101
1788870457.9508803,0.3795,-6.3715,-1.688245762549881,0.5016,-0.0014,-0.0085
1788870458.0172763,0.3756,-6.4039,-1.6891604299002307,0.5016,-0.0022,-0.0139
1788870458.0740113,0.3722,-6.4328,-1.6897586914001208,0.5016,-0.0016,-0.0093
1788870458.141481,0.3682,-6.4662,-1.6903570858382364,0.5016,-0.0015,-0.0093
1788870458.1988816,0.3647,-6.4951,-1.6912549263335053,0.5016,-0.0019,-0.0116
