time_s,x_m,y_m,yaw_rad,vx_mps,vy_mps,wz_radps
1788870437.9412394,0.8004,3.1583,-1.5707407162970446,0.0,0.0,0.0
1788870438.0696626,0.8004,3.1583,-1.5707407162970446,0.0,0.0,0.0
1788870438.1469662,0.8004,3.1581,-1.5707362941372027,0.0363,0.0003,0.0026
1788870438.2172163,0.8004,3.1469,-1.5681341398256312,0.2191,0.0084,0.0517
1788870438.2777221,0.8005,3.1327,-1.5605225662106592,0.2213,0.0293,0.1874
1788870438.3420162,0.8007,3.1195,-1.545105722626135,0.2115,0.048,0.2988
1788870438.403795,0.8013,3.1058,-1.5262120349305468,0.2118,0.0465,0.2866
1788870438.467671,0.8021,3.0929,-1.5088575644075286,0.212,0.0459,0.2845
1788870438.5435483,0.8034,3.077,-1.4897346615798168,0.2146,0.0415,0.2574
1788870438.6181328,0.8051,3.0592,-1.4715748879467383,0.2415,0.0395,0.2448
1788870438.6923056,0.8074,3.0385,-1.4543737135199175,0.293,0.0386,0.2398
1788870438.844763,0.8111,3.0104,-1.4413764339601616,0.0136,-0.0001,0.0001
1788870438.9425795,0.8111,3.0104,-1.4413757469118746,-0.0012,-0.0002,0.0001
1788870439.0028856,0.8126,2.9986,-1.4388779251312462,0.3647,0.0054,0.0224
1788870439.0790963,0.8169,2.9664,-1.4369939023362195,0.4759,0.0017,0.0049
1788870439.142438,0.8241,2.9132,-1.437015202069558,0.5026,-0.0029,-0.0186
1788870439.2173078,0.83,2.8694,-1.4386294118145453,0.5025,-0.003,-0.0185
1788870439.2923644,0.8347,2.8333,-1.4415702237117571,0.4782,-0.0063,-0.039
1788870439.3495405,0.8383,2.8054,-1.4447813248831145,0.4712,-0.0103,-0.0673
1788870439.417201,0.842,2.7754,-1.4490459669821087,0.4526,-0.0105,-0.0649
1788870439.4752707,0.8453,2.7475,-1.4530580535803737,0.4744,-0.0109,-0.0674
1788870439.5422282,0.8489,2.7168,-1.4570772939025665,0.4764,-0.0101,-0.0625
1788870439.599259,0.8519,2.6893,-1.4605643661496268,0.4765,-0.0096,-0.0595
1788870439.667498,0.8554,2.6575,-1.4637956534939742,0.4766,-0.0075,-0.0463
1788870439.7250655,0.8583,2.6296,-1.465668723000563,0.4766,-0.0057,-0.0353
1788870439.7922578,0.8616,2.5983,-1.467557938306056,0.4766,-0.0041,-0.0257
1788870439.8512685,0.8646,2.5689,-1.4686263251394676,0.4995,-0.0031,-0.0193
1788870439.917591,0.8679,2.5365,-1.4697130065871407,0.5016,-0.0024,-0.0147
