time_s,lap_count
1788870438.0694826,0
1788870438.1457067,0
1788870438.2127335,0
1788870438.2775204,0
1788870438.3361804,0
1788870438.4036436,0
1788870438.465077,0
1788870438.530586,0
1788870438.6065977,0
1788870438.6888013,0
1788870438.8444922,0
1788870438.9324071,0
1788870439.0028849,0
1788870439.078926,0
1788870439.1375782,0
1788870439.2134342,0
1788870439.276875,0
1788870439.3493857,0
1788870439.4059322,0
1788870439.475403,0
1788870439.5296588,0
1788870439.5991395,0
1788870439.6542413,0
1788870439.7249556,0
1788870439.7772007,0
1788870439.8511848,0
1788870439.9060123,0
1788870439.975985,0
1788870440.0307074,0
1788870440.1008418,0
1788870440.1549947,0
1788870440.226594,0
1788870440.2819998,0
1788870440.347713,0
1788870440.400234,0
1788870440.4760559,0
1788870440.528833,0
1788870440.600256,0
1788870440.6748092,0
1788870440.728727,0
1788870440.7995584,0
1788870440.851491,0
1788870440.9239087,0
1788870440.9760988,0
1788870441.049655,0
1788870441.1043315,0
1788870441.1736884,0
1788870441.225866,0
1788870441.3007457,0
1788870441.3522956,0
1788870441.4246747,0
1788870441.4786506,0
1788870441.5519204,0
1788870441.605717,0
1788870441.6750116,0
1788870441.7292376,0
1788870441.8000345,0
1788870441.8517303,0
1788870441.9239597,0
1788870441.9773579,0
1788870442.048673,0
1788870442.0999475,0
1788870442.172625,0
1788870442.2253888,0
1788870442.300094,0
1788870442.353926,0
1788870442.4251049,0
1788870442.4805202,0
1788870442.5513542,0
1788870442.604528,0
1788870442.6752276,0
1788870442.7277603,0
1788870442.7992694,0
1788870442.8526099,0
1788870442.924111,0
1788870442.9773748,0
1788870443.0499177,0
1788870443.103579,0
1788870443.1758294,0
1788870443.2278068,0
1788870443.2987437,0
1788870443.350568,0
1788870443.4246435,0
1788870443.4781687,0
1788870443.5510237,0
1788870443.6045668,0
1788870443.675343,0
1788870443.7293408,0
1788870443.800045,0
1788870443.8552413,0
1788870443.9247682,0
1788870443.9774563,0
1788870444.0499792,0
1788870444.1052012,0
1788870444.1754625,0
1788870444.2293382,0
1788870444.2997794,0
1788870444.3546522,0
1788870444.4233727,0
1788870444.4743824,0
1788870444.5494044,0
1788870444.605152,0
1788870444.6750393,0
1788870444.7305615,0
1788870444.802471,0
1788870444.860175,0
1788870444.9252493,0
1788870444.9779434,0
1788870445.0550568,0
1788870445.1289577,0
1788870445.2035599,0
1788870445.278656,0
1788870445.3536477,0
1788870445.4131575,0
1788870445.4776094,0
1788870445.5546293,0
1788870445.6118097,0
1788870445.677743,0
1788870445.7340937,0
1788870445.8021717,0
1788870445.8667805,0
1788870445.9311898,0
1788870446.014473,0
1788870446.0780764,0
1788870446.1366076,0
1788870446.2052023,0
1788870446.2778606,0
1788870446.3529396,0
1788870446.410974,0
1788870446.4798124,0
1788870446.5510595,0
1788870446.6049902,0
1788870446.675771,0
1788870446.7291439,0
1788870446.802021,0
1788870446.8554637,0
1788870446.9273863,0
1788870446.9818645,0
1788870447.0499241,0
1788870447.1018572,0
1788870447.1745877,0
1788870447.234022,0
1788870447.3194592,0
1788870447.381494,0
1788870447.4526868,0
1788870447.5063655,0
1788870447.575671,0
1788870447.6298447,0
1788870447.70112,0
1788870447.7537372,0
1788870447.8234565,0
1788870447.876849,0
1788870447.949247,0
1788870448.0008492,0
1788870448.074907,0
1788870448.126698,0
1788870448.2016537,0
1788870448.2565603,0
1788870448.329241,0
1788870448.3869162,0
1788870448.4541976,0
1788870448.5282488,0
1788870448.601698,0
1788870448.6783373,0
1788870448.7331357,0
1788870448.8021674,0
1788870448.878125,0
1788870448.934049,0
1788870449.0002162,0
1788870449.053149,0
1788870449.1242635,0
1788870449.1766703,0
1788870449.2494466,0
1788870449.302106,0
1788870449.3749208,0
1788870449.426862,0
1788870449.5072799,0
1788870449.5804417,0
1788870449.6575778,0
1788870449.7324147,0
1788870449.80667,0
1788870449.8830006,0
1788870449.9588702,0
1788870450.036023,0
1788870450.105665,0
1788870450.181222,0
1788870450.2603147,0
1788870450.334122,0
1788870450.4065936,0
1788870450.5122232,0
1788870450.6090107,0
1788870450.6838005,0
1788870450.7585354,0
1788870450.8332126,0
1788870450.903044,0
1788870450.9779243,0
1788870451.0355725,0
1788870451.1048708,0
1788870451.1775935,0
1788870451.2514307,0
1788870451.3037562,0
1788870451.375737,0
1788870451.4489553,0
1788870451.5010705,0
1788870451.575241,0
1788870451.6257536,0
1788870451.6975842,0
1788870451.7498899,0
1788870451.8240566,0
1788870451.8773515,0
1788870451.9480534,0
1788870451.9994268,0
1788870452.0748851,0
1788870452.1491628,0
1788870452.2009091,0
1788870452.2738588,0
1788870452.3256438,0
1788870452.3982408,0
1788870452.4515922,0
1788870452.5239081,0
1788870452.5774002,0
1788870452.6503146,0
1788870452.7066379,0
1788870452.7810588,0
1788870452.8532937,0
1788870452.930299,0
1788870452.986871,0
1788870453.0550866,0
1788870453.131922,0
1788870453.2042687,0
1788870453.278292,0
1788870453.3527842,0
1788870453.4294224,0
1788870453.4832096,0
1788870453.5521202,0
1788870453.6069825,0
1788870453.678545,0
1788870453.7551796,0
1788870453.8143075,0
1788870453.8760514,0
1788870453.9508555,0
1788870454.007849,0
1788870454.0749218,0
1788870454.1278028,0
1788870454.2016132,0
1788870454.2560978,0
1788870454.325658,0
1788870454.3834915,0
1788870454.4518673,0
1788870454.5262516,0
1788870454.5847008,0
1788870454.6570673,0
1788870454.7311335,0
1788870454.8059719,0
1788870454.8791866,0
1788870454.9569385,0
1788870455.02909,0
1788870455.105572,0
1788870455.1784284,0
1788870455.2524166,0
1788870455.3067706,0
1788870455.3791125,0
1788870455.433167,0
1788870455.5034041,0
1788870455.5755305,0
1788870455.6274326,0
1788870455.700663,0
1788870455.7527664,0
1788870455.8253155,0
1788870455.879415,0
1788870455.9510202,0
1788870456.0076249,0
1788870456.0765352,0
1788870456.130953,0
1788870456.2012892,0
1788870456.2777839,0
1788870456.3339212,0
1788870456.4031863,0
1788870456.4607143,0
1788870456.52975,0
1788870456.6046555,0
1788870456.6623242,0
1788870456.727924,0
1788870456.8026223,0
1788870456.8761687,0
1788870456.9313102,0
1788870457.0032513,0
1788870457.0568807,0
1788870457.1293187,0
1788870457.187883,0
1788870457.2517302,0
1788870457.3262074,0
1788870457.379397,0
1788870457.4509766,0
1788870457.5048478,0
1788870457.5753293,0
1788870457.627259,0
1788870457.6995077,0
1788870457.7526789,0
1788870457.8250477,0
1788870457.877729,0
1788870457.95085,0
1788870458.0053098,0
1788870458.0738766,0
1788870458.1292396,0
1788870458.1987488,0
1788870458.2514546,0
1788870458.323189,0
1788870458.3769083,0
1788870458.450895,0
1788870458.5030434,0
1788870458.5754771,0
1788870458.6320598,0
1788870458.7012346,0
1788870458.7556791,0
1788870458.8253288,0
1788870458.8991323,0
1788870458.952327,0
1788870459.0252674,0
1788870459.0790732,0
1788870459.1516204,0
1788870459.2261178,0
1788870459.2796295,0
1788870459.3512347,0
1788870459.4239874,0
1788870459.4798665,0
1788870459.55041,0
1788870459.603053,0
1788870459.6746826,0
1788870459.727707,0
1788870459.799411,0
1788870459.8517897,0
1788870459.9249873,0
1788870459.9775674,0
1788870460.0486927,0
