time_s,throttle_command,steering_command
1788870437.4148853,nan,0.0
1788870437.4149687,0.0,nan
1788870437.4995444,nan,0.0
1788870437.4995747,0.0,nan
1788870437.515493,nan,0.0
1788870437.5155332,0.0,nan
1788870437.540487,nan,0.0
1788870437.5405307,0.0,nan
1788870437.5655715,nan,0.0
1788870437.5656462,0.0,nan
1788870437.5909648,nan,0.0
1788870437.591078,0.0,nan
1788870437.6154845,nan,0.0
1788870437.6155274,0.0,nan
1788870437.6404903,nan,0.0
1788870437.6405227,0.0,nan
1788870437.665482,nan,0.0
1788870437.66552,0.0,nan
1788870437.690503,nan,0.0
1788870437.6905427,0.0,nan
1788870437.7154531,nan,0.0
1788870437.7154953,0.0,nan
1788870437.7405043,nan,0.0
1788870437.7405412,0.0,nan
1788870437.7655125,nan,0.0
1788870437.7655497,0.0,nan
1788870437.7905657,nan,0.0
1788870437.792279,0.0,nan
1788870437.8158054,nan,0.0
1788870437.8158789,0.0,nan
1788870437.8407323,nan,0.0
1788870437.8408687,0.0,nan
1788870437.8653495,nan,0.0
1788870437.8654416,0.0,nan
1788870437.8905723,nan,0.0
1788870437.890653,0.0,nan
1788870437.9155767,nan,0.0
1788870437.9156656,0.0,nan
1788870437.9403818,nan,0.0
1788870437.9404216,0.0,nan
1788870437.9654574,nan,0.0
1788870437.965498,0.0,nan
1788870437.9902866,nan,0.0
1788870437.990326,0.0,nan
1788870438.0152655,nan,0.0
1788870438.0153253,0.0,nan
1788870438.0403476,nan,0.0
1788870438.0403733,0.0,nan
1788870438.0652525,nan,0.0
1788870438.065343,0.0,nan
1788870438.090726,nan,0.15278838574886322
1788870438.0907571,0.026120223104953766,nan
1788870438.1155014,nan,0.15278838574886322
1788870438.1155286,0.009314050897955894,nan
1788870438.1405804,nan,0.15278838574886322
1788870438.1406178,0.009314050897955894,nan
1788870438.1655912,nan,0.6181925535202026
1788870438.165634,0.009314050897955894,nan
1788870438.1905818,nan,0.6181925535202026
1788870438.1906118,0.009314050897955894,nan
1788870438.2151842,nan,0.8536561727523804
1788870438.2152226,0.009314050897955894,nan
1788870438.2404895,nan,0.8536561727523804
1788870438.2405238,0.009314050897955894,nan
1788870438.2654827,nan,0.8536561727523804
1788870438.2655122,0.009314050897955894,nan
1788870438.2905486,nan,0.8355234265327454
1788870438.29062,0.009314050897955894,nan
1788870438.3154728,nan,0.8355234265327454
1788870438.315508,0.009314050897955894,nan
1788870438.3401983,nan,0.8151321411132812
1788870438.3402505,0.009314050897955894,nan
1788870438.3655648,nan,0.8151321411132812
1788870438.3656037,0.009314050897955894,nan
1788870438.3905606,nan,0.8151321411132812
1788870438.3905966,0.009314050897955894,nan
1788870438.4156418,nan,0.7369995713233948
1788870438.4156837,0.009314050897955894,nan
1788870438.4407945,nan,0.7369995713233948
1788870438.4408562,0.009314050897955894,nan
1788870438.4655828,nan,0.7369995713233948
1788870438.4656134,0.009314050897955894,nan
1788870438.490625,nan,0.6319016218185425
1788870438.490659,0.0103440647944808,nan
1788870438.5155416,nan,0.6319016218185425
1788870438.5155895,0.0103440647944808,nan
1788870438.5404644,nan,0.5168556571006775
1788870438.5405045,0.012084178626537323,nan
1788870438.5656521,nan,0.5168556571006775
1788870438.5656862,0.012084178626537323,nan
1788870438.5905247,nan,0.5168556571006775
1788870438.5905688,0.012084178626537323,nan
1788870438.6153822,nan,0.3780211806297302
1788870438.6154876,0.014184104278683662,nan
1788870438.6405416,nan,0.3780211806297302
1788870438.6406507,0.014184104278683662,nan
1788870438.6656168,nan,0.3780211806297302
1788870438.6656551,0.014184104278683662,nan
1788870438.691698,nan,0.3780211806297302
1788870438.6961467,0.014184104278683662,nan
1788870438.720566,nan,0.25179457664489746
1788870438.7206254,0.016093328595161438,nan
1788870438.742728,nan,0.25179457664489746
1788870438.7427778,0.016093328595161438,nan
1788870438.7679493,nan,0.25179457664489746
1788870438.7686079,0.016093328595161438,nan
1788870438.7982628,nan,0.25179457664489746
1788870438.7983131,0.016093328595161438,nan
1788870438.8154511,nan,0.0
1788870438.815481,0.0,nan
1788870438.8404727,nan,0.0
1788870438.8405166,0.0,nan
1788870438.8658953,nan,0.14535529911518097
1788870438.865933,0.017703263089060783,nan
1788870438.8905332,nan,0.14535529911518097
1788870438.8905783,0.017703263089060783,nan
1788870438.9155157,nan,0.14535529911518097
1788870438.9155557,0.017703263089060783,nan
1788870438.9405522,nan,0.037583667784929276
1788870438.9405816,0.019333351403474808,nan
1788870438.96568,nan,0.037583667784929276
1788870438.9657252,0.019333351403474808,nan
1788870438.9907413,nan,0.037583667784929276
1788870438.990778,0.019333351403474808,nan
1788870439.0182574,nan,0.00529972231015563
1788870439.019627,0.019821656867861748,nan
1788870439.040711,nan,0.00529972231015563
1788870439.0407455,0.019821656867861748,nan
1788870439.0655344,nan,0.00529972231015563
1788870439.065563,0.019821656867861748,nan
1788870439.0905976,nan,-0.02411150373518467
1788870439.0907059,0.019537122920155525,nan
1788870439.1156096,nan,-0.02411150373518467
1788870439.1156461,0.019537122920155525,nan
1788870439.1403642,nan,-0.05270816385746002
1788870439.1404119,0.01910458691418171,nan
1788870439.1655564,nan,-0.05270816385746002
1788870439.1656396,0.01910458691418171,nan
1788870439.190451,nan,-0.05270816385746002
1788870439.1905303,0.01910458691418171,nan
1788870439.215115,nan,-0.07111142575740814
1788870439.2151718,0.018826231360435486,nan
1788870439.2405846,nan,-0.07111142575740814
1788870439.2406268,0.018826231360435486,nan
1788870439.265511,nan,-0.07111142575740814
1788870439.265548,0.018826231360435486,nan
1788870439.2905204,nan,-0.09349501878023148
1788870439.2905505,0.01848766952753067,nan
1788870439.3154137,nan,-0.09349501878023148
1788870439.3154948,0.01848766952753067,nan
1788870439.3405552,nan,-0.09349501878023148
1788870439.34062,0.01848766952753067,nan
1788870439.3655992,nan,-0.09228694438934326
1788870439.3656719,0.018505942076444626,nan
1788870439.390561,nan,-0.09228694438934326
1788870439.390647,0.018505942076444626,nan
1788870439.415319,nan,-0.08468130975961685
1788870439.4153473,0.01862098090350628,nan
1788870439.4404304,nan,-0.08468130975961685
1788870439.4404666,0.01862098090350628,nan
1788870439.4655197,nan,-0.08468130975961685
1788870439.465554,0.01862098090350628,nan
1788870439.4904304,nan,-0.08087947219610214
1788870439.4904659,0.018678484484553337,nan
1788870439.515393,nan,-0.08087947219610214
1788870439.5154161,0.018678484484553337,nan
1788870439.5404274,nan,-0.06323827058076859
1788870439.5404568,0.01894531585276127,nan
1788870439.565567,nan,-0.06323827058076859
1788870439.565594,0.01894531585276127,nan
1788870439.5904818,nan,-0.06323827058076859
1788870439.5905113,0.01894531585276127,nan
1788870439.6154144,nan,-0.04784363508224487
1788870439.6154468,0.01917816512286663,nan
1788870439.6404703,nan,-0.04784363508224487
1788870439.6405067,0.01917816512286663,nan
1788870439.6653922,nan,-0.03488598391413689
1788870439.665478,0.01937415450811386,nan
1788870439.6904922,nan,-0.03488598391413689
1788870439.6905866,0.01937415450811386,nan
1788870439.7156289,nan,-0.03488598391413689
1788870439.7156618,0.01937415450811386,nan
1788870439.7403781,nan,-0.025087138637900352
1788870439.7404108,0.01952236518263817,nan
1788870439.7654824,nan,-0.025087138637900352
1788870439.7655466,0.01952236518263817,nan
1788870439.7904246,nan,-0.018988071009516716
1788870439.7904587,0.01961461640894413,nan
1788870439.8155007,nan,-0.018988071009516716
1788870439.8156269,0.01961461640894413,nan
1788870439.8404508,nan,-0.018988071009516716
1788870439.8404775,0.01961461640894413,nan
1788870439.8655975,nan,-0.03552856296300888
1788870439.8656805,0.019364435225725174,nan
1788870439.890569,nan,-0.03552856296300888
1788870439.8906446,0.019364435225725174,nan
1788870439.9156046,nan,-0.04154643043875694
1788870439.9156368,0.019273413345217705,nan
1788870439.9405408,nan,-0.04154643043875694
1788870439.940575,0.019273413345217705,nan
1788870439.9656677,nan,-0.04154643043875694
1788870439.9657001,0.019273413345217705,nan
1788870439.9905047,nan,-0.04753488674759865
1788870439.9905999,0.019182834774255753,nan
1788870440.0154634,nan,-0.04753488674759865
1788870440.0155385,0.019182834774255753,nan
1788870440.0403101,nan,-0.04867767170071602
1788870440.0403361,0.01916554942727089,nan
1788870440.065441,nan,-0.04867767170071602
1788870440.0654657,0.01916554942727089,nan
1788870440.0903988,nan,-0.04867767170071602
1788870440.0904248,0.01916554942727089,nan
1788870440.115401,nan,-0.06552162021398544
1788870440.1154354,0.018910778686404228,nan
1788870440.1405447,nan,-0.06552162021398544
1788870440.140574,0.018910778686404228,nan
1788870440.1653848,nan,-0.06631267070770264
1788870440.1654139,0.01889881305396557,nan
1788870440.1903849,nan,-0.06631267070770264
1788870440.1904123,0.01889881305396557,nan
1788870440.2154922,nan,-0.06631267070770264
1788870440.2155206,0.01889881305396557,nan
1788870440.240451,nan,-0.08024761825799942
