time_s,throttle_command,steering_command
1788870440.240486,0.01868804171681404,nan
1788870440.2654808,nan,-0.08024761825799942
1788870440.2655091,0.01868804171681404,nan
1788870440.2902942,nan,-0.07419715821743011
1788870440.2903202,0.018779557198286057,nan
1788870440.315321,nan,-0.07419715821743011
1788870440.3154628,0.018779557198286057,nan
1788870440.3403506,nan,-0.07419715821743011
1788870440.3403757,0.018779557198286057,nan
1788870440.36546,nan,-0.07507799565792084
1788870440.3654842,0.018766233697533607,nan
1788870440.3904874,nan,-0.07507799565792084
1788870440.390547,0.018766233697533607,nan
1788870440.415359,nan,-0.05757869407534599
1788870440.415418,0.019030917435884476,nan
1788870440.4403687,nan,-0.05757869407534599
1788870440.4403987,0.019030917435884476,nan
1788870440.465648,nan,-0.05757869407534599
1788870440.465676,0.019030917435884476,nan
1788870440.490477,nan,-0.05074124038219452
1788870440.4905071,0.019134337082505226,nan
1788870440.515585,nan,-0.05074124038219452
1788870440.5156145,0.019134337082505226,nan
1788870440.5403326,nan,-0.12157519161701202
1788870440.540365,0.018062947317957878,nan
1788870440.5654187,nan,-0.12157519161701202
1788870440.5654507,0.018062947317957878,nan
1788870440.5905864,nan,-0.12157519161701202
1788870440.5906508,0.018062947317957878,nan
1788870440.6153228,nan,-0.14363932609558105
1788870440.6153476,0.017729217186570168,nan
1788870440.6403155,nan,-0.14363932609558105
1788870440.6403499,0.017729217186570168,nan
1788870440.6654804,nan,-0.14363932609558105
1788870440.6655488,0.017729217186570168,nan
1788870440.690885,nan,-0.13353486359119415
1788870440.6909137,0.017882050946354866,nan
1788870440.7153955,nan,-0.13353486359119415
1788870440.7154193,0.017882050946354866,nan
1788870440.7402906,nan,-0.12088857591152191
1788870440.7403147,0.01807333156466484,nan
1788870440.7653515,nan,-0.12088857591152191
1788870440.765415,0.01807333156466484,nan
1788870440.7904577,nan,-0.12088857591152191
1788870440.7904823,0.01807333156466484,nan
1788870440.8153708,nan,-0.10053995251655579
1788870440.8153996,0.018381113186478615,nan
1788870440.840389,nan,-0.10053995251655579
1788870440.8404138,0.018381113186478615,nan
1788870440.8653908,nan,-0.07736436277627945
1788870440.8654628,0.018731651827692986,nan
1788870440.89065,nan,-0.07736436277627945
1788870440.8906765,0.018731651827692986,nan
1788870440.91536,nan,-0.07736436277627945
1788870440.9153852,0.018731651827692986,nan
1788870440.9409146,nan,-0.03848578780889511
1788870440.9409373,0.019319705665111542,nan
1788870440.9654016,nan,-0.03848578780889511
1788870440.9654357,0.019319705665111542,nan
1788870440.9903812,nan,-0.019357891753315926
1788870440.990411,0.01960902288556099,nan
1788870441.0153956,nan,-0.019357891753315926
1788870441.0154283,0.01960902288556099,nan
1788870441.040522,nan,-0.019357891753315926
1788870441.0405462,0.01960902288556099,nan
1788870441.065546,nan,-0.0006243232055567205
1788870441.0655763,0.01989237405359745,nan
1788870441.09048,nan,-0.0006243232055567205
1788870441.0905044,0.01989237405359745,nan
1788870441.1154401,nan,0.012817631475627422
1788870441.1154609,0.019707946106791496,nan
1788870441.1403956,nan,0.012817631475627422
1788870441.140422,0.019707946106791496,nan
1788870441.1655016,nan,0.012817631475627422
1788870441.1655297,0.019707946106791496,nan
1788870441.1905186,nan,0.001522111939266324
1788870441.1905484,0.019878795370459557,nan
1788870441.215395,nan,0.001522111939266324
1788870441.2154226,0.019878795370459557,nan
1788870441.240379,nan,-0.005556197836995125
1788870441.2404027,0.01981777884066105,nan
1788870441.2654374,nan,-0.005556197836995125
1788870441.265465,0.01981777884066105,nan
1788870441.2904072,nan,-0.005556197836995125
1788870441.2904387,0.01981777884066105,nan
1788870441.3153863,nan,-0.003248913213610649
1788870441.3154092,0.01985267736017704,nan
1788870441.3403943,nan,-0.003248913213610649
1788870441.3404152,0.01985267736017704,nan
1788870441.3653069,nan,-0.009158509783446789
1788870441.3653293,0.019763292744755745,nan
1788870441.3904757,nan,-0.009158509783446789
1788870441.390506,0.019763292744755745,nan
1788870441.4155302,nan,-0.009158509783446789
1788870441.4155638,0.019763292744755745,nan
1788870441.4405167,nan,-0.014280913397669792
1788870441.4406064,0.019685814157128334,nan
1788870441.4655545,nan,-0.014280913397669792
1788870441.4655862,0.019685814157128334,nan
1788870441.4904814,nan,-0.02075536549091339
1788870441.4905272,0.019587885588407516,nan
1788870441.5155034,nan,-0.02075536549091339
1788870441.5155277,0.019587885588407516,nan
1788870441.5405514,nan,-0.02075536549091339
1788870441.5405784,0.019587885588407516,nan
1788870441.5653582,nan,-0.026067323982715607
1788870441.565391,0.01950754038989544,nan
1788870441.5904727,nan,-0.026067323982715607
1788870441.5905073,0.01950754038989544,nan
1788870441.6152768,nan,-0.06754811853170395
1788870441.615328,0.018880126997828484,nan
1788870441.6405737,nan,-0.06754811853170395
1788870441.6406064,0.018880126997828484,nan
1788870441.6654365,nan,-0.06754811853170395
1788870441.665462,0.018880126997828484,nan
1788870441.6904619,nan,-0.07731015235185623
1788870441.6904855,0.018732473254203796,nan
1788870441.7153678,nan,-0.07731015235185623
1788870441.7153902,0.018732473254203796,nan
1788870441.7403429,nan,-0.056376975029706955
1788870441.7403686,0.01904909498989582,nan
1788870441.7654228,nan,-0.056376975029706955
1788870441.7654555,0.01904909498989582,nan
1788870441.7904546,nan,-0.056376975029706955
1788870441.7904809,0.01904909498989582,nan
1788870441.8154492,nan,-0.06414420902729034
1788870441.8155074,0.018931612372398376,nan
1788870441.8403728,nan,-0.06414420902729034
1788870441.8403966,0.018931612372398376,nan
1788870441.8654995,nan,-0.027790404856204987
1788870441.8655226,0.01948147639632225,nan
1788870441.8905125,nan,-0.027790404856204987
1788870441.890544,0.01948147639632225,nan
1788870441.9153545,nan,-0.027790404856204987
1788870441.9154832,0.01948147639632225,nan
1788870441.9403398,nan,-0.011865892447531223
1788870441.9403675,0.019722342491149902,nan
1788870441.96552,nan,-0.011865892447531223
1788870441.9655445,0.019722342491149902,nan
1788870441.9903398,nan,-0.02947780303657055
1788870441.9903665,0.019455954432487488,nan
1788870442.0153518,nan,-0.02947780303657055
1788870442.0153737,0.019455954432487488,nan
1788870442.0404298,nan,-0.02947780303657055
1788870442.0404656,0.019455954432487488,nan
1788870442.065396,nan,-0.025483744218945503
1788870442.0654218,0.019516367465257645,nan
1788870442.0904145,nan,-0.025483744218945503
1788870442.0904374,0.019516367465257645,nan
1788870442.115401,nan,-0.024505069479346275
1788870442.1154282,0.019531169906258583,nan
1788870442.1403255,nan,-0.024505069479346275
1788870442.140358,0.019531169906258583,nan
1788870442.1654153,nan,-0.024505069479346275
1788870442.1654487,0.019531169906258583,nan
1788870442.1905217,nan,0.002630613511428237
1788870442.1905565,0.01986202970147133,nan
1788870442.2153795,nan,0.002630613511428237
1788870442.2154086,0.01986202970147133,nan
1788870442.2403824,nan,-0.021331094205379486
1788870442.240411,0.019579177722334862,nan
1788870442.2655613,nan,-0.021331094205379486
1788870442.2655866,0.019579177722334862,nan
1788870442.2904503,nan,-0.021331094205379486
1788870442.290482,0.019579177722334862,nan
1788870442.3154016,nan,-0.021848592907190323
1788870442.315438,0.019571349024772644,nan
1788870442.3404553,nan,-0.021848592907190323
1788870442.3404887,0.019571349024772644,nan
1788870442.3654027,nan,-0.02712608128786087
1788870442.3654356,0.01949152536690235,nan
1788870442.3905087,nan,-0.02712608128786087
1788870442.3905401,0.01949152536690235,nan
1788870442.415395,nan,-0.02712608128786087
1788870442.4154346,0.01949152536690235,nan
1788870442.4403493,nan,-0.026874655857682228
1788870442.4403763,0.01949532888829708,nan
1788870442.4655802,nan,-0.026874655857682228
1788870442.4656126,0.01949532888829708,nan
1788870442.490319,nan,-0.02345656044781208
1788870442.4903517,0.019547028467059135,nan
1788870442.5155728,nan,-0.02345656044781208
1788870442.5156002,0.019547028467059135,nan
1788870442.54044,nan,-0.02345656044781208
1788870442.5404735,0.019547028467059135,nan
1788870442.5654016,nan,0.0015024695312604308
1788870442.5654263,0.019879091531038284,nan
1788870442.5904534,nan,0.0015024695312604308
1788870442.5904875,0.019879091531038284,nan
1788870442.615383,nan,-0.020401012152433395
1788870442.615456,0.019593244418501854,nan
1788870442.6404579,nan,-0.020401012152433395
1788870442.6404815,0.019593244418501854,nan
1788870442.66545,nan,-0.020401012152433395
1788870442.6654766,0.019593244418501854,nan
1788870442.6909347,nan,-0.021422753110527992
1788870442.6909683,0.019577790051698685,nan
1788870442.715442,nan,-0.021422753110527992
1788870442.715518,0.019577790051698685,nan
1788870442.7403982,nan,-0.027283627539873123
1788870442.7404444,0.019489143043756485,nan
1788870442.7654235,nan,-0.027283627539873123
1788870442.7654564,0.019489143043756485,nan
1788870442.790475,nan,-0.027283627539873123
1788870442.7905037,0.019489143043756485,nan
1788870442.8155031,nan,-0.027036407962441444
1788870442.815594,0.01949288137257099,nan
1788870442.8404686,nan,-0.027036407962441444
1788870442.8404925,0.01949288137257099,nan
1788870442.8654902,nan,-0.024310428649187088
1788870442.865523,0.019534112885594368,nan
1788870442.8904266,nan,-0.024310428649187088
1788870442.8904598,0.019534112885594368,nan
1788870442.9153075,nan,-0.024310428649187088
1788870442.915335,0.019534112885594368,nan
1788870442.940402,nan,-0.0008836562628857791
1788870442.9404356,0.01988845318555832,nan
1788870442.9654653,nan,-0.0008836562628857791
1788870442.9654953,0.01988845318555832,nan
1788870442.9905207,nan,0.01007984671741724
1788870442.9905496,0.0197493564337492,nan
1788870443.0153704,nan,0.01007984671741724
1788870443.0153947,0.0197493564337492,nan
1788870443.040426,nan,0.01007984671741724
1788870443.0404491,0.0197493564337492,nan
1788870443.0654356,nan,0.018210802227258682
1788870443.065473,0.019626373425126076,nan
1788870443.0904167,nan,0.018210802227258682
1788870443.0904994,0.019626373425126076,nan
1788870443.1153407,nan,0.016818741336464882
1788870443.1153705,0.019647428765892982,nan
1788870443.1404,nan,0.016818741336464882
1788870443.1404326,0.019647428765892982,nan
1788870443.1653728,nan,0.016818741336464882
1788870443.165481,0.019647428765892982,nan
1788870443.19047,nan,0.004372087772935629
1788870443.1904943,0.019835688173770905,nan
1788870443.2154133,nan,0.004372087772935629
1788870443.2154374,0.019835688173770905,nan
1788870443.2403355,nan,-0.007855420932173729
1788870443.2403662,0.019783001393079758,nan
1788870443.2654939,nan,-0.007855420932173729
1788870443.2655194,0.019783001393079758,nan
1788870443.2903538,nan,-0.007855420932173729
1788870443.2903836,0.019783001393079758,nan
1788870443.3154879,nan,-0.012002917006611824
1788870443.3155155,0.01972026936709881,nan
1788870443.340444,nan,-0.012002917006611824
1788870443.3404737,0.01972026936709881,nan
1788870443.3654013,nan,-0.018540311604738235
1788870443.3654356,0.019621387124061584,nan
1788870443.3904042,nan,-0.018540311604738235
1788870443.3904326,0.019621387124061584,nan
1788870443.4153476,nan,-0.018540311604738235
1788870443.4154136,0.019621387124061584,nan
1788870443.4403956,nan,-0.02521955780684948
1788870443.4404202,0.019520360976457596,nan
1788870443.4653656,nan,-0.02521955780684948
1788870443.4654016,0.019520360976457596,nan
1788870443.490369,nan,-0.02938363328576088
1788870443.4903996,0.01945737935602665,nan
1788870443.5153856,nan,-0.02938363328576088
1788870443.5154164,0.01945737935602665,nan
1788870443.5404923,nan,-0.02938363328576088
1788870443.5405145,0.01945737935602665,nan
1788870443.5653775,nan,-0.029446400701999664
1788870443.5654106,0.01945642940700054,nan
1788870443.5904598,nan,-0.029446400701999664
1788870443.5904882,0.01945642940700054,nan
1788870443.615356,nan,-0.02717752940952778
1788870443.6153812,0.019490746781229973,nan
1788870443.6411889,nan,-0.02717752940952778
1788870443.641214,0.019490746781229973,nan
1788870443.6654513,nan,-0.02717752940952778
1788870443.6654837,0.019490746781229973,nan
1788870443.6904817,nan,-0.021162742748856544
1788870443.6905682,0.01958172395825386,nan
1788870443.7155898,nan,-0.021162742748856544
1788870443.7156208,0.01958172395825386,nan
1788870443.7403426,nan,-0.014873475767672062
1788870443.740375,0.019676851108670235,nan
1788870443.7654269,nan,-0.014873475767672062
1788870443.765454,0.019676851108670235,nan
1788870443.7904694,nan,-0.014873475767672062
1788870443.790502,0.019676851108670235,nan
1788870443.8154507,nan,-0.0245620459318161
1788870443.81548,0.01953030750155449,nan
1788870443.840446,nan,-0.0245620459318161
1788870443.8404756,0.01953030750155449,nan
1788870443.865488,nan,-0.026271680369973183
1788870443.8655162,0.019504448398947716,nan
1788870443.890572,nan,-0.026271680369973183
1788870443.8906095,0.019504448398947716,nan
1788870443.9154108,nan,-0.026271680369973183
1788870443.9154348,0.019504448398947716,nan
1788870443.9404671,nan,-0.027376528829336166
1788870443.9404998,0.019487738609313965,nan
1788870443.9654634,nan,-0.027376528829336166
1788870443.9655352,0.019487738609313965,nan
1788870443.9904106,nan,-0.024861576035618782
1788870443.990448,0.01952577754855156,nan
1788870444.0153763,nan,-0.024861576035618782
1788870444.0154073,0.01952577754855156,nan
1788870444.0405264,nan,-0.024861576035618782
1788870444.040559,0.01952577754855156,nan
1788870444.0653794,nan,-0.019190434366464615
1788870444.0654104,0.019611556082963943,nan
1788870444.0904155,nan,-0.019190434366464615
1788870444.0904496,0.019611556082963943,nan
1788870444.1154044,nan,-0.014611460268497467
1788870444.1154294,0.019680814817547798,nan
1788870444.1403823,nan,-0.014611460268497467
1788870444.140414,0.019680814817547798,nan
1788870444.165394,nan,-0.014611460268497467
1788870444.1654522,0.019680814817547798,nan
1788870444.1904087,nan,-0.0090275714173913
1788870444.1904426,0.019765272736549377,nan
1788870444.2154245,nan,-0.0090275714173913
1788870444.2154574,0.019765272736549377,nan
1788870444.240361,nan,-0.0067500099539756775
1788870444.2404127,0.019799722358584404,nan
1788870444.265411,nan,-0.0067500099539756775
1788870444.2654355,0.019799722358584404,nan
1788870444.2904096,nan,-0.0067500099539756775
1788870444.2904398,0.019799722358584404,nan
1788870444.3153212,nan,-0.01991676539182663
1788870444.3153527,0.01960057020187378,nan
1788870444.3403869,nan,-0.01991676539182663
1788870444.3404188,0.01960057020187378,nan
1788870444.365322,nan,-0.025613704696297646
1788870444.3653476,0.019514400511980057,nan
1788870444.3903964,nan,-0.025613704696297646
1788870444.390428,0.019514400511980057,nan
1788870444.4154096,nan,-0.025613704696297646
1788870444.4154634,0.019514400511980057,nan
1788870444.4404278,nan,-0.01675577089190483
1788870444.4404585,0.01964838057756424,nan
1788870444.4653854,nan,-0.01675577089190483
1788870444.465411,0.01964838057756424,nan
1788870444.4904435,nan,-0.013057399541139603
1788870444.4904668,0.019704319536685944,nan
1788870444.5154402,nan,-0.013057399541139603
1788870444.5154622,0.019704319536685944,nan
1788870444.5404425,nan,-0.013057399541139603
1788870444.5404642,0.019704319536685944,nan
1788870444.5654542,nan,-0.021346012130379677
1788870444.5654795,0.019578952342271805,nan
1788870444.5906007,nan,-0.021346012130379677
1788870444.5906358,0.019578952342271805,nan
1788870444.6154034,nan,-0.023090757429599762
1788870444.615481,0.01955256052315235,nan
1788870444.640437,nan,-0.023090757429599762
1788870444.6404698,0.01955256052315235,nan
1788870444.665494,nan,-0.023090757429599762
1788870444.6655338,0.01955256052315235,nan
1788870444.690407,nan,-0.024913528934121132
1788870444.6904328,0.019524989649653435,nan
1788870444.7154093,nan,-0.024913528934121132
1788870444.7154326,0.019524989649653435,nan
1788870444.740261,nan,-0.02413380704820156
1788870444.740286,0.019536783918738365,nan
1788870444.7655153,nan,-0.02413380704820156
1788870444.7655437,0.019536783918738365,nan
1788870444.7906985,nan,-0.02413380704820156
1788870444.790724,0.019536783918738365,nan
1788870444.8153775,nan,-0.020874710753560066
1788870444.8154008,0.019586078822612762,nan
1788870444.84041,nan,-0.020874710753560066
1788870444.840448,0.019586078822612762,nan
1788870444.8657093,nan,-0.016850920394062996
1788870444.8657668,0.019646940752863884,nan
1788870444.890513,nan,-0.016850920394062996
1788870444.8905394,0.019646940752863884,nan
1788870444.9154828,nan,-0.016850920394062996
1788870444.9155085,0.019646940752863884,nan
1788870444.9404826,nan,-0.012812305241823196
1788870444.940521,0.019708026200532913,nan
1788870444.9655986,nan,-0.012812305241823196
1788870444.965624,0.019708026200532913,nan
1788870444.9904678,nan,-0.010109095834195614
1788870444.9905038,0.019748913124203682,nan
1788870445.0155153,nan,-0.010109095834195614
1788870445.0155485,0.019748913124203682,nan
1788870445.0406475,nan,-0.010109095834195614
1788870445.040684,0.019748913124203682,nan
1788870445.0656168,nan,-0.008395557291805744
1788870445.065684,0.01977483183145523,nan
1788870445.0906684,nan,-0.008395557291805744
1788870445.0907013,0.01977483183145523,nan
1788870445.1155643,nan,-0.008395557291805744
1788870445.1155994,0.01977483183145523,nan
1788870445.1404655,nan,-0.00896877609193325
1788870445.1404989,0.01976616121828556,nan
1788870445.16558,nan,-0.00896877609193325
1788870445.165614,0.01976616121828556,nan
1788870445.191612,nan,-0.00896877609193325
1788870445.1916442,0.01976616121828556,nan
1788870445.215884,nan,-0.011870748363435268
1788870445.215929,0.019722267985343933,nan
1788870445.2406104,nan,-0.011870748363435268
1788870445.2406378,0.019722267985343933,nan
1788870445.2656422,nan,-0.011870748363435268
1788870445.2656834,0.019722267985343933,nan
1788870445.2904806,nan,-0.016574649140238762
1788870445.2905111,0.019651120528578758,nan
1788870445.315478,nan,-0.016574649140238762
1788870445.3155084,0.019651120528578758,nan
1788870445.340549,nan,-0.016574649140238762
1788870445.3405838,0.019651120528578758,nan
1788870445.365556,nan,-0.019936777651309967
1788870445.3656008,0.019600266590714455,nan
1788870445.3905156,nan,-0.019936777651309967
1788870445.3906229,0.019600266590714455,nan
1788870445.4157586,nan,-0.02219158224761486
1788870445.4157877,0.019566161558032036,nan
1788870445.4406278,nan,-0.02219158224761486
1788870445.4406636,0.019566161558032036,nan
1788870445.465629,nan,-0.02219158224761486
1788870445.4656568,0.019566161558032036,nan
1788870445.4904816,nan,-0.02296954207122326
1788870445.4905255,0.019554395228624344,nan
1788870445.5155373,nan,-0.02296954207122326
1788870445.515626,0.019554395228624344,nan
1788870445.540519,nan,-0.02296954207122326
1788870445.5406013,0.019554395228624344,nan
1788870445.5654585,nan,-0.02184935100376606
1788870445.5654976,0.01957133784890175,nan
1788870445.5907543,nan,-0.02184935100376606
1788870445.590791,0.01957133784890175,nan
1788870445.615412,nan,-0.020158184692263603
1788870445.6154487,0.019596917554736137,nan
1788870445.6405902,nan,-0.020158184692263603
1788870445.640619,0.019596917554736137,nan
1788870445.6655798,nan,-0.020158184692263603
1788870445.665616,0.019596917554736137,nan
1788870445.690502,nan,-0.027226613834500313
1788870445.6905377,0.01949000544846058,nan
1788870445.7155714,nan,-0.027226613834500313
1788870445.7155995,0.01949000544846058,nan
1788870445.7404282,nan,-0.027853259816765785
1788870445.7404604,0.019480526447296143,nan
1788870445.7655158,nan,-0.027853259816765785
1788870445.7655456,0.019480526447296143,nan
1788870445.7905486,nan,-0.027853259816765785
1788870445.790577,0.019480526447296143,nan
1788870445.8155367,nan,-0.026280410587787628
1788870445.8155687,0.01950431615114212,nan
1788870445.8410332,nan,-0.026280410587787628
1788870445.8417125,0.01950431615114212,nan
