scan_index,time_s,valid_beams,min_range_m,max_range_m
0,1788870437.9412394,670,0.8398265242576599,9.78433895111084
1,1788870438.0696626,670,0.8398265242576599,9.784366607666016
2,1788870438.1469662,670,0.8398284316062927,9.784300804138184
3,1788870438.2172163,671,0.8404583930969238,9.87443733215332
4,1788870438.2777221,670,0.8418300151824951,9.811043739318848
5,1788870438.3420162,670,0.8470569252967834,9.749404907226562
6,1788870438.403795,671,0.8518317341804504,9.879420280456543
7,1788870438.467671,670,0.8594772219657898,9.850274085998535
8,1788870438.5435483,671,0.8671436309814453,9.947460174560547
9,1788870438.6181328,671,0.8750753998756409,9.943184852600098
10,1788870438.6923056,670,0.8837129473686218,9.81539249420166
11,1788870438.844763,670,0.8924022316932678,9.760293006896973
12,1788870438.9425795,670,0.8923859000205994,9.759815216064453
13,1788870439.0028856,671,0.8943105340003967,9.906132698059082
14,1788870439.0790963,671,0.8992891907691956,9.960540771484375
15,1788870439.142438,671,0.9058291912078857,9.870656967163086
16,1788870439.2173078,671,0.9115325212478638,9.913058280944824
17,1788870439.2923644,670,0.9149625897407532,9.777060508728027
18,1788870439.3495405,671,0.9128006100654602,9.9049654006958
19,1788870439.417201,671,0.9099127054214478,9.895512580871582
20,1788870439.4752707,671,0.9080762267112732,9.90739631652832
21,1788870439.5422282,671,0.9053177237510681,9.920438766479492
22,1788870439.599259,671,0.9035156965255737,9.945036888122559
23,1788870439.667498,671,0.9006907343864441,9.855402946472168
24,1788870439.7250655,671,0.8987018465995789,9.93352222442627
25,1788870439.7922578,672,0.8955926299095154,9.953344345092773
26,1788870439.8512685,672,0.8933759927749634,9.954062461853027
27,1788870439.917591,672,0.8899295330047607,9.945804595947266
28,1788870439.9761524,672,0.8878600001335144,9.957815170288086
29,1788870440.0429223,672,0.885001540184021,9.929217338562012
30,1788870440.1010206,672,0.8832125067710876,9.882539749145508
31,1788870440.1672192,673,0.8806357383728027,9.959844589233398
32,1788870440.226702,673,0.8791289329528809,9.970597267150879
33,1788870440.2925265,673,0.8770177960395813,9.911230087280273
34,1788870440.3478475,673,0.8758184313774109,9.975057601928711
35,1788870440.4169652,673,0.8740861415863037,9.930893898010254
36,1788870440.4761918,673,0.8730084300041199,9.858196258544922
37,1788870440.542528,674,0.8713015913963318,9.928991317749023
38,1788870440.6170878,674,0.8695490956306458,9.971973419189453
39,1788870440.6749256,674,0.869048535823822,9.9384183883667
40,1788870440.7421656,674,0.8689868450164795,9.884324073791504
41,1788870440.7997987,674,0.8690437078475952,9.865966796875
42,1788870440.8671758,674,0.869148313999176,9.888971328735352
43,1788870440.9240062,675,0.8691254258155823,9.978513717651367
44,1788870440.9923747,675,0.868889331817627,9.944683074951172
45,1788870441.0497715,675,0.8683919310569763,9.966747283935547
46,1788870441.117181,676,0.8679648041725159,9.968839645385742
47,1788870441.1738622,676,0.8688735365867615,9.94505500793457
48,1788870441.2425804,675,0.8701624274253845,9.885637283325195
49,1788870441.3009396,675,0.8711035251617432,9.856941223144531
50,1788870441.3670835,676,0.8726568222045898,9.963850975036621
51,1788870441.4248786,676,0.8736851215362549,9.94153881072998
52,1788870441.4927802,676,0.8753235936164856,9.916970252990723
53,1788870441.552012,677,0.8764994144439697,9.955556869506836
54,1788870441.6171966,677,0.8784050941467285,9.903952598571777
55,1788870441.6751387,677,0.8797802925109863,9.90916633605957
56,1788870441.7420855,678,0.8824745416641235,9.978527069091797
57,1788870441.8001955,677,0.8845280408859253,9.90868091583252
58,1788870441.867367,678,0.8874282240867615,9.97536849975586
