stamp_s,dt_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_raw_mps,wheel_mapped_mps,wheel_packet_mps,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded,sensor_outlier,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad,gt_speed_mps,gt_x_m,gt_y_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_longitudinal_accel_mps2
1789001813.6041057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0003,-0.0001,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,
1789001813.6301277,0.026021957397460938,7.80658721923828e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.6798596,0.04973196983337402,1.4919590950012206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,0.0,0.0,0.0003,-0.0003,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.7296977,0.04983806610107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.779782,0.05008435249328613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.8300543,0.050272226333618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0002,0.0004,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.8792975,0.04924321174621582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0003,-0.0001,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.9295616,0.05026412010192871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001813.9802697,0.05070805549621582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001814.029462,0.04919242858886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0002,0.0001,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001814.0796556,0.05019354820251465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001814.1300154,0.05035972595214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001814.1794746,0.049459218978881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001814.2296703,0.05019569396972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0001,-0.0004,0.0,0.0,0.0,0.8014,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789001814.2794964,0.04982614517211914,0.030837401247024537,0.027035114604183043,0.027035114604183043,0.0,0.0013470554113567358,6.000704488479926e-07,0.027530666603037723,0.027035114604183043,0.11041893730680523,True,False,False,False,False,False,0.0916,0.0949,0.6189,0.0292,0.0301,0.0008909364887232929,0.1395825562167422,0.8014,3.1535,-1.5698497798083213,0.1395,0.0048,2.801405238988955
1789001814.3294208,0.049924373626708984,0.07180729287261567,0.095083721310133,0.095083721310133,0.0,0.006094037831812508,1.1627279190323689e-05,0.09682660011215173,0.095083721310133,0.27653827173134415,True,False,False,False,False,False,0.324,0.3305,0.8968,0.0542,0.0663,0.0037550419158531856,0.3085821122489118,0.8015,3.1409,-1.5669856743811914,0.3084,0.0106,3.385111194299625
