# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,-2.439863,3.732356,-2.724988,1.169118,2.615868,2.415077,1.100000,3.412500
0.110220,-2.537968,3.682120,-2.602961,1.082496,2.718516,2.596748,1.062500,3.175000
0.202200,-2.614651,3.631327,-2.505953,1.015450,2.806786,2.699999,1.050000,2.925000
0.278066,-2.673928,3.583976,-2.428415,0.964127,2.880567,2.762256,0.512500,2.675000
0.348533,-2.725745,3.536222,-2.358524,0.919318,2.949244,2.806340,0.550000,2.512500
0.429615,-2.781287,3.477150,-2.283666,0.873215,3.026806,2.844561,0.587500,2.337500
0.533723,-2.845791,3.395433,-2.195263,0.819798,3.123860,2.880239,0.625000,2.137500
0.664042,-2.916052,3.285677,-2.092971,0.761067,3.242153,2.911069,0.700000,1.825000
0.816258,-2.983977,3.149457,-1.981888,0.701742,3.376417,2.934589,0.725000,1.600000
0.984780,-3.041468,2.991044,-1.852793,0.644505,3.523155,2.951046,0.762500,1.412500
1.174335,-3.083117,2.806122,-1.755141,0.592240,3.675329,2.961788,0.812500,1.262500
1.359922,-3.107560,2.622151,-1.650492,0.547598,3.822205,2.968244,0.825000,1.175000
1.541946,-3.113356,2.440219,-1.554170,0.509806,3.961345,2.972107,0.825000,1.137500
1.722439,-3.102734,2.260039,-1.469488,0.427704,4.094740,2.974507,0.812500,1.100000
1.902869,-3.079035,2.081172,-1.408718,0.246330,4.223894,2.976041,0.800000,1.112500
2.083751,-3.048001,1.902972,-1.388046,-0.016943,4.349519,2.977041,0.775000,1.100000
2.264672,-3.017397,1.724658,-1.413620,-0.265687,4.471680,2.977699,0.762500,1.100000
2.445232,-2.994287,1.545584,-1.471354,-0.373533,4.590414,2.978137,0.762500,1.112500
2.625737,-2.982363,1.365473,-1.538023,-0.364204,4.686761,1.961130,0.775000,1.100000
2.806897,-2.982425,1.184313,-1.604477,-0.356610,4.704969,-1.017050,0.775000,1.075000
2.991262,-2.992976,1.000250,-1.657913,-0.374816,4.619938,-3.154345,0.787500,1.062500
3.184561,-3.017526,0.808516,-1.741213,-0.403489,4.452759,-4.708147,0.837500,1.025000
3.376044,-3.057569,0.621268,-1.823125,-0.449176,4.220235,-5.795172,0.900000,0.975000
3.565306,-3.113039,0.440317,-1.914620,-0.516432,3.935847,-6.428253,0.987500,0.912500
3.752134,-3.185126,0.267956,-2.020158,-0.610808,3.619033,-6.363536,1.050000,0.875000
3.936488,-3.275384,0.107208,-2.145225,-0.743267,3.280745,-6.269981,1.150000,0.800000
4.118645,-3.385665,-0.037772,-2.297060,-0.920860,2.947462,-5.141473,1.225000,0.750000
4.299515,-3.517489,-0.161612,-2.477207,-1.065607,2.739974,-1.493150,1.425000,0.725000
4.480876,-3.670611,-0.258800,-2.673212,-1.088646,2.710826,0.598072,1.787500,1.275000
4.665392,-3.842821,-0.325057,-2.870468,-1.028496,2.788969,1.722524,2.425000,1.512500
4.840973,-4.014456,-0.362073,-3.031783,-0.945485,2.908825,2.283726,3.087500,1.887500
4.980706,-4.153946,-0.370305,3.128480,-0.876670,3.020834,2.536848,3.687500,1.900000
5.078241,-4.251302,-0.364387,3.043206,-0.830380,3.103892,2.654082,4.312500,1.600000
5.143914,-4.316292,-0.354945,2.982996,-0.800030,3.162219,2.713872,4.837500,1.562500
5.207388,-4.378730,-0.343526,2.938132,-0.773727,3.215518,2.757263,5.000000,1.537500
5.260844,-4.430802,-0.331437,2.891029,-0.751200,3.263376,2.790262,5.000000,0.712500
5.316683,-4.485037,-0.318153,2.841453,-0.728604,3.313593,2.818489,4.862500,0.737500
5.419213,-4.582227,-0.285494,2.767141,-0.691681,3.400887,2.856738,3.937500,0.850000
5.588119,-4.735406,-0.214325,2.644341,-0.637662,3.542010,2.900173,2.912500,0.925000
5.813123,-4.923390,-0.090675,2.552028,-0.579015,3.717063,2.934012,2.200000,1.087500
6.035684,-5.100689,0.043855,2.430955,-0.528777,3.889635,2.953375,1.650000,1.162500
6.245051,-5.252056,0.188501,2.324366,-0.488683,4.046053,2.963516,1.300000,1.212500
6.445693,-5.382370,0.341065,2.229523,-0.455511,4.190787,2.969260,1.062500,1.287500
6.640492,-5.494943,0.500043,2.143430,-0.427316,4.326837,2.972699,0.887500,1.312500
6.831299,-5.591946,0.664352,2.064167,-0.402872,4.456167,2.974842,0.750000,1.362500
7.019385,-5.674885,0.833164,1.990382,-0.381358,4.580136,2.976218,0.662500,1.375000
7.205677,-5.744856,1.005816,1.921082,-0.362197,4.699725,2.977122,0.587500,1.387500
7.390878,-5.802801,1.181719,1.856836,-0.331192,4.815686,2.977727,0.550000,1.425000
7.575556,-5.850083,1.360242,1.802542,-0.256377,4.928603,2.978139,0.512500,1.425000
7.760093,-5.889249,1.540575,1.766762,-0.131431,5.038907,2.978423,0.475000,1.425000
7.944641,-5.923938,1.721833,1.753010,-0.017684,5.146852,2.978620,0.462500,1.437500
8.129208,-5.957516,1.903320,1.754446,0.033206,5.252596,2.978759,0.437500,1.437500
8.313836,-5.991847,2.084729,1.761193,0.039740,5.356294,2.978857,0.412500,1.450000
8.498624,-6.027438,2.266056,1.768024,0.034383,5.458105,2.978926,0.412500,1.462500
8.683637,-6.064109,2.447399,1.772643,0.015977,5.558166,2.978976,0.375000,1.475000
8.868903,-6.101042,2.628946,1.770375,-0.039795,5.656585,2.979013,0.362500,1.487500
9.054318,-6.136344,2.810969,1.754364,-0.132638,5.753406,2.979039,0.350000,1.500000
9.239703,-6.167307,2.993750,1.722842,-0.207460,5.848622,2.979058,0.312500,1.500000
9.425012,-6.191711,3.177445,1.682815,-0.226476,5.942329,2.979072,0.312500,1.487500
9.612300,-6.208665,3.363964,1.639674,-0.219643,6.035123,2.979082,0.312500,1.475000
9.799947,-6.217772,3.551390,1.599003,-0.213101,6.127045,2.979090,0.312500,1.475000
9.987688,-6.219365,3.739125,1.559555,-0.206935,6.217666,2.979096,0.337500,1.450000
10.175540,-6.213656,3.926890,1.521242,-0.201112,6.307045,2.979100,0.362500,1.425000
10.363513,-6.200846,4.114425,1.483977,-0.195604,6.395232,2.979103,0.375000,1.387500
10.551629,-6.181134,4.301506,1.447632,-0.190386,6.482272,2.979105,0.425000,1.350000
10.739866,-6.154709,4.487880,1.412245,-0.185436,6.568218,2.979106,0.475000,1.312500
10.928217,-6.121766,4.673326,1.377732,-0.181128,6.645872,2.465415,0.512500,1.287500
11.116682,-6.082473,4.857650,1.343805,-0.178961,6.685985,0.366256,0.587500,1.225000
11.305256,-6.036934,5.040643,1.309998,-0.179854,6.669362,-1.540441,0.662500,1.187500
11.493958,-5.985160,5.222103,1.275753,-0.183408,6.604440,-3.017964,0.725000,1.150000
11.682843,-5.927062,5.401831,1.240558,-0.189308,6.500713,-4.168054,0.812500,1.125000
11.871985,-5.862467,5.579601,1.204017,-0.197479,6.364793,-5.064941,0.925000,1.100000
12.061507,-5.791114,5.755179,1.165626,-0.208031,6.201270,-5.764144,1.050000,1.037500
12.251579,-5.712641,5.928295,1.124834,-0.221248,6.013197,-6.308082,1.175000,1.000000
12.442442,-5.626560,6.098644,1.081057,-0.237603,5.802556,-6.717468,1.325000,0.975000
12.634438,-5.532231,6.265870,1.033504,-0.257633,5.572427,-6.903757,1.387500,0.925000
12.828040,-5.428818,6.429539,0.981265,-0.281789,5.328234,-6.836224,1.500000,0.887500
13.023849,-5.315328,6.589105,0.923570,-0.310976,5.072025,-6.765368,1.612500,0.850000
13.219055,-5.195633,6.743308,0.873344,-0.345643,4.810956,-6.693168,1.737500,0.762500
13.389397,-5.079968,6.868359,0.795322,-0.382752,4.571787,-6.160518,1.800000,0.712500
13.543646,-4.968611,6.975094,0.733190,-0.412954,4.401434,-3.655795,1.837500,0.675000
13.682835,-4.862490,7.065161,0.674259,-0.430521,4.310699,-1.948708,1.912500,0.637500
13.808897,-4.761824,7.141041,0.619031,-0.438774,4.269968,-0.769890,1.987500,0.612500
13.925448,-4.665111,7.206085,0.567279,-0.440822,4.260037,0.070494,2.062500,0.575000
14.037119,-4.569413,7.263638,0.517719,-0.438765,4.270012,0.696864,2.175000,0.537500
14.148415,-4.471335,7.316245,0.468813,-0.433767,4.294539,1.184064,2.212500,0.500000
14.262823,-4.367983,7.365314,0.419372,-0.426445,4.331254,1.573586,2.212500,0.437500
14.382476,-4.257428,7.411078,0.367750,-0.417162,4.379178,1.889004,2.200000,0.387500
14.514373,-4.133166,7.455302,0.318289,-0.406083,4.438515,2.146590,2.212500,0.362500
14.648031,-4.005139,7.493690,0.264278,-0.394046,4.505796,2.348202,2.187500,0.337500
14.780460,-3.876463,7.524991,0.212806,-0.381970,4.576467,2.497409,2.100000,0.337500
14.912441,-3.746806,7.549651,0.163072,-0.370055,4.649557,2.609388,2.012500,0.337500
15.044888,-3.615634,7.567978,0.114695,-0.358401,4.724546,2.694372,1.950000,0.325000
15.178703,-3.482371,7.580125,0.067352,-0.347046,4.801217,2.759466,1.875000,0.362500
15.314684,-3.346520,7.586090,0.020793,-0.336001,4.879494,2.809654,1.825000,0.362500
15.453450,-3.207755,7.585752,-0.025128,-0.325271,4.959319,2.848496,1.775000,0.362500
