bag_time,time,finite_count,min_finite,max_finite,angle_min,angle_max
1788882755.733411,1788882755.6781573,1031,0.8598076105117798,9.804460525512695,-2.3561899662017822,2.3561899662017822
1788882755.8004565,1788882755.7526221,1031,0.8598076105117798,9.804462432861328,-2.3561899662017822,2.3561899662017822
1788882755.851027,1788882755.8026314,1031,0.8598076105117798,9.804487228393555,-2.3561899662017822,2.3561899662017822
1788882755.900992,1788882755.8532672,1031,0.8598095178604126,9.804450035095215,-2.3561899662017822,2.3561899662017822
1788882755.9510753,1788882755.9031782,1031,0.8598142862319946,9.804394721984863,-2.3561899662017822,2.3561899662017822
1788882756.0026727,1788882755.953292,1031,0.8598179817199707,9.80437183380127,-2.3561899662017822,2.3561899662017822
1788882756.0504313,1788882756.002841,1031,0.8598238229751587,9.804339408874512,-2.3561899662017822,2.3561899662017822
1788882756.1014078,1788882756.0525765,1031,0.8598238229751587,9.804353713989258,-2.3561899662017822,2.3561899662017822
1788882756.1507072,1788882756.1025696,1031,0.8598238229751587,9.804339408874512,-2.3561899662017822,2.3561899662017822
1788882756.2007487,1788882756.1529796,1031,0.8598238229751587,9.804339408874512,-2.3561899662017822,2.3561899662017822
1788882756.2514427,1788882756.20294,1031,0.8598238229751587,9.804339408874512,-2.3561899662017822,2.3561899662017822
1788882756.2995563,1788882756.2525637,1031,0.8598238229751587,9.804367065429688,-2.3561899662017822,2.3561899662017822
1788882756.350052,1788882756.3027365,1031,0.8598238229751587,9.8043794631958,-2.3561899662017822,2.3561899662017822
1788882756.4010756,1788882756.3532176,1031,0.8598256707191467,9.804301261901855,-2.3561899662017822,2.3561899662017822
1788882756.4510145,1788882756.4022758,1031,0.8598315119743347,9.80429458618164,-2.3561899662017822,2.3561899662017822
1788882756.5002446,1788882756.4531825,1031,0.8598371148109436,9.804221153259277,-2.3561899662017822,2.3561899662017822
1788882756.5495226,1788882756.502419,1031,0.8598418831825256,9.804235458374023,-2.3561899662017822,2.3561899662017822
1788882756.6019356,1788882756.552698,1031,0.8598477244377136,9.804173469543457,-2.3561899662017822,2.3561899662017822
1788882756.6515183,1788882756.6031241,1031,0.8598514199256897,9.80415153503418,-2.3561899662017822,2.3561899662017822
1788882756.7004368,1788882756.652718,1031,0.8598514199256897,9.804205894470215,-2.3561899662017822,2.3561899662017822
1788882756.7512212,1788882756.7025647,1031,0.8598514199256897,9.804178237915039,-2.3561899662017822,2.3561899662017822
1788882756.7995348,1788882756.7524009,1031,0.8598514199256897,9.804178237915039,-2.3561899662017822,2.3561899662017822
1788882756.8517666,1788882756.8027272,1031,0.8598514199256897,9.804205894470215,-2.3561899662017822,2.3561899662017822
1788882756.9013214,1788882756.8529956,1031,0.8598552942276001,9.804129600524902,-2.3561899662017822,2.3561899662017822
1788882756.9514346,1788882756.9025667,1031,0.8598620295524597,9.804144859313965,-2.3561899662017822,2.3561899662017822
