# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
0.0000000,-2.4423444,3.7399030,-2.72666535,1.28107848,2.2525208,2.4635663,1.351991,3.326234
0.0514129,-2.4887201,3.7177087,-2.66240974,1.21905500,2.3091120,2.5605521,1.290027,3.386451
0.0997443,-2.5309695,3.6942372,-2.60475354,1.16424937,2.3628365,2.6335027,1.222231,3.347064
0.1443335,-2.5687103,3.6704921,-2.55387340,1.11679139,2.4125178,2.6883048,1.149164,3.221872
0.1851832,-2.6021990,3.6470998,-2.50898665,1.07585430,2.4579890,2.7300798,1.073043,3.066802
0.2224484,-2.6318137,3.6244798,-2.46934459,1.04053230,2.4993513,2.7624004,0.996391,2.868415
0.2566868,-2.6582217,3.6026878,-2.43398948,1.00974171,2.5371814,2.7879923,0.926765,2.672099
0.2887790,-2.6822710,3.5814384,-2.40171476,0.98223447,2.5724578,2.8089337,0.869290,2.500912
0.3199633,-2.7049849,3.5600715,-2.37128132,0.95676667,2.6064755,2.8268110,0.824960,2.331708
0.3516699,-2.7274203,3.5376671,-2.34111327,0.93203761,2.6408264,2.8428439,0.796428,2.183000
0.3854115,-2.7505592,3.5131092,-2.30981320,0.90694695,2.6771069,2.8578556,0.782802,2.031928
0.4224902,-2.7750993,3.4853133,-2.27640435,0.88076778,2.7166014,2.8722440,0.798826,1.885861
0.4639580,-2.8014274,3.4532756,-2.24035586,0.85314024,2.7602374,2.8860973,0.868338,1.767627
0.5104127,-2.8295376,3.4162911,-2.20137736,0.82406850,2.8085036,2.8992834,0.866793,1.672213
0.5621248,-2.8591240,3.3738790,-2.15959076,0.79383987,2.8614766,2.9115702,0.862353,1.591794
0.6189493,-2.8895948,3.3259150,-2.11541825,0.76296464,2.9188007,2.9227130,0.874602,1.522675
0.6805161,-2.9202240,3.2725079,-2.06950853,0.73201477,2.9798659,2.9325441,0.894447,1.462860
0.7461924,-2.9502338,3.2140887,-2.02240632,0.70154118,3.0438978,2.9410016,0.916832,1.408931
0.8156766,-2.9789823,3.1508307,-1.97494952,0.67190544,3.1103020,2.9481396,0.933203,1.361514
0.8873667,-3.0056101,3.0842692,-1.92779912,0.64374671,3.1775993,2.9540108,0.658900,1.318711
0.9633079,-3.0302549,3.0124381,-1.87975819,0.61635037,3.2474524,2.9589031,0.674022,1.280467
1.0460587,-3.0532043,2.9329333,-1.82985652,0.58900742,3.3219742,2.9630776,0.701713,1.245415
1.1319325,-3.0730420,2.8493823,-1.78364368,0.56322400,3.3971600,2.9664269,0.763411,1.213783
1.2155833,-3.0888699,2.7672426,-1.73645991,0.53992611,3.4696803,2.9689906,0.808364,1.186377
1.2982746,-3.1007192,2.6854047,-1.69293639,0.51876446,3.5397396,2.9709711,0.828166,1.162519
1.3801071,-3.1090051,2.6039928,-1.65121143,0.49937140,3.6078194,2.9725224,0.841402,1.141811
1.4612789,-3.1139208,2.5229699,-1.61145320,0.48013135,3.6741226,2.9737476,0.848122,1.124424
1.5419724,-3.1156665,2.4422953,-1.57331191,0.46497240,3.7388927,2.9747236,0.850113,1.110686
1.6223308,-3.1143944,2.3619470,-1.53655797,0.44959026,3.8023143,2.9755066,0.848780,1.100067
1.7024837,-3.1102719,2.2819002,-1.50208837,0.41036658,3.8645497,2.9761388,0.844637,1.091768
1.7825465,-3.1035780,2.2021177,-1.47209289,0.33867435,3.9257400,2.9766519,0.838538,1.086055
1.8626079,-3.0947614,2.1225432,-1.44880594,0.24329456,3.9859943,2.9770705,0.832375,1.082892
1.9427025,-3.0844195,2.0431191,-1.43383187,0.13030197,4.0453830,2.9774132,0.827693,1.081326
2.0228398,-3.0732649,1.9637619,-1.42846872,0.00389952,4.1039451,2.9776947,0.823734,1.080252
2.1029817,-3.0620981,1.8844019,-1.43353587,-0.13060271,4.1616935,2.9779265,0.819087,1.079032
2.1831018,-3.0517406,1.8049540,-1.44878957,-0.25007735,4.2186399,2.9781178,0.814481,1.095073
2.2631884,-3.0429063,1.7253562,-1.47173994,-0.32307198,4.2748100,2.9782761,0.812553,1.151336
2.3432677,-3.0360532,1.6455706,-1.49848561,-0.34484935,4.3302502,2.9784075,0.813370,1.187569
2.4233894,-3.0313587,1.5655866,-1.52584513,-0.33804141,4.3850204,2.9785166,0.814598,1.195273
2.5036015,-3.0288267,1.4854145,-1.55258206,-0.32856642,4.4391770,2.9786072,0.817894,1.202629
2.5839582,-3.0284137,1.4050588,-1.57872146,-0.32211099,4.4921448,2.9075181,0.825213,1.210346
2.6644970,-3.0300899,1.3245374,-1.60444028,-0.31584751,4.5364671,2.0576453,0.834314,1.214920
2.7452746,-3.0338257,1.2438463,-1.62971438,-0.31264622,4.5596333,0.5496769,0.844722,1.214348
2.8263171,-3.0396497,1.1630134,-1.65553116,-0.31286799,4.5580175,-0.7309130,0.857913,1.070314
2.9076509,-3.0474828,1.0820576,-1.67919268,-0.31605320,4.5349915,-1.8272300,0.873044,0.975833
2.9905202,-3.0573522,0.9997781,-1.70398708,-0.32205603,4.4925286,-2.7778169,0.887391,0.954953
3.0748531,-3.0697146,0.9163562,-1.73536811,-0.33084760,4.4324375,-3.5990215,0.900589,0.933001
3.1585040,-3.0845593,0.8340331,-1.76251135,-0.34237122,4.3572044,-4.2974547,0.915109,0.910116
3.2415047,-3.1015450,0.7527890,-1.79181215,-0.35670109,4.2687864,-4.8889309,0.932911,0.886339
3.3238378,-3.1207881,0.6727362,-1.82182649,-0.37408404,4.1684244,-5.3909653,0.954507,0.861942
3.4054957,-3.1423014,0.5939632,-1.85326644,-0.39489387,4.0571069,-5.8171073,0.980227,0.836917
3.4864871,-3.1661471,0.5165617,-1.88627018,-0.41966939,3.9355259,-6.1752384,1.010477,0.811206
3.5668323,-3.1923969,0.4406256,-1.92119023,-0.44900850,3.8047785,-6.4149040,1.022433,0.784830
3.6465624,-3.2211467,0.3662593,-1.95838384,-0.48304747,3.6682682,-6.3771514,1.031668,0.758398
3.7257179,-3.2525116,0.2935831,-1.99819619,-0.52211333,3.5283712,-6.3384623,1.065939,0.734311
3.8043440,-3.2866251,0.2227428,-2.04106541,-0.56740752,3.3845912,-6.2986993,1.095179,0.893648
3.8824910,-3.3236419,0.1539191,-2.08752194,-0.62059540,3.2363270,-6.2576962,1.125054,1.012088
3.9602133,-3.3637407,0.0873395,-2.13825674,-0.68392616,3.0828390,-6.2152483,1.158402,0.986122
4.0375722,-3.4071282,0.0232933,-2.19416310,-0.76066970,2.9232006,-6.1710995,1.190026,0.989844
4.1146378,-3.4540457,-0.0378448,-2.25646955,-0.85562976,2.7562181,-6.1249199,1.218278,1.863384
4.1915070,-3.5047847,-0.0955893,-2.32683404,-0.97405944,2.5832352,-5.8840923,1.250961,3.105192
4.2683289,-3.5596716,-0.1493389,-2.40631840,-1.09420010,2.4372959,-3.7069450,1.293172,3.450299
4.3453028,-3.6189717,-0.1984153,-2.49392623,-1.18088341,2.3461359,-1.9896219,1.344095,3.492198
4.4226827,-3.6827997,-0.2421603,-2.58715090,-1.22654331,2.3020524,-0.6740877,1.403477,3.530545
4.5007380,-3.7510636,-0.2800111,-2.68313358,-1.23303983,2.2959801,0.3103505,1.473587,3.568427
4.5798435,-3.8236383,-0.3114847,-2.78005013,-1.20853552,2.3191399,1.0362227,1.554472,3.601731
4.6600572,-3.8998770,-0.3364227,-2.87407508,-1.16357814,2.3635179,1.5638114,1.646522,3.636225
4.7377559,-3.9754776,-0.3543568,-2.95924912,-1.11033045,2.4195274,1.9310134,1.755896,3.741017
4.8074531,-4.0445020,-0.3640173,-3.03834434,-1.05823267,2.4783697,2.1771531,1.884904,3.975066
4.8711146,-4.1079848,-0.3687850,-3.10310315,-1.01113458,2.5354332,2.3451454,2.038074,4.381865
4.9266569,-4.1635234,-0.3694182,3.12474151,-0.97084116,2.5875133,2.4609885,2.242481,3.660397
4.9735182,-4.2103492,-0.3675926,3.07997097,-0.93803282,2.6323738,2.5405452,2.514798,3.274665
5.0120193,-4.2487244,-0.3644814,3.04416530,-0.91198304,2.6697051,2.5958324,2.795170,3.260114
5.0438023,-4.2802990,-0.3608479,3.01511119,-0.89099078,2.7007838,2.6356824,3.131882,3.068928
5.0714428,-4.3076600,-0.3569275,2.98992376,-0.87340164,2.7280333,2.6667004,3.076593,1.723117
5.0979637,-4.3338211,-0.3525731,2.96625408,-0.85688347,2.7542016,2.6934961,2.568299,0.877221
5.1262061,-4.3615663,-0.3472971,2.94126117,-0.83974980,2.7821575,2.7192795,2.561639,1.311672
5.1553769,-4.3900817,-0.3411483,2.91937141,-0.82325233,2.8098954,2.7425040,2.557385,1.205314
5.1795014,-4.4135515,-0.3355667,2.89922672,-0.80955376,2.8335692,2.7605502,2.696379,1.018347
5.2006283,-4.4340290,-0.3303684,2.88132557,-0.79776513,2.8544282,2.7751792,3.219028,2.061668
5.2224035,-4.4550643,-0.3247404,2.86289967,-0.78587133,2.8759474,2.7891314,2.672959,3.409472
5.2491295,-4.4807369,-0.3173111,2.84131463,-0.77178706,2.9020702,2.8046631,2.297425,3.031277
5.2849580,-4.5148607,-0.3063910,2.81373935,-0.75369326,2.9366984,2.8231605,2.059341,2.819712
5.3329247,-4.5600197,-0.2902209,2.77804523,-0.73064456,2.9826589,2.8445639,1.874286,2.691578
5.3945459,-4.6170490,-0.2668793,2.73489402,-0.70294510,3.0408568,2.8673721,1.735076,2.632041
5.4688591,-4.6846408,-0.2359956,2.68118966,-0.67167657,3.1108321,2.8896223,1.616410,2.630360
5.5585024,-4.7636363,-0.1936209,2.61947274,-0.63734322,3.1935224,2.9101351,1.504344,2.670681
5.6613273,-4.8504591,-0.1385321,2.56385230,-0.60234429,3.2849914,2.9274445,1.408427,2.745458
5.7627030,-4.9338489,-0.0808852,2.50251956,-0.57078061,3.3745980,2.9402160,1.325956,2.825119
5.8600022,-5.0103448,-0.0207561,2.44871308,-0.54343052,3.4584747,2.9492375,1.252273,2.894124
5.9545966,-5.0816075,0.0414511,2.39831690,-0.51917069,3.5383562,2.9558552,1.183007,2.959514
6.0469267,-5.1481149,0.1054949,2.35139693,-0.49745560,3.6147596,2.9607956,1.115249,2.736538
6.1374219,-5.2103744,0.1711694,2.30723422,-0.47783904,3.6882113,2.9645455,1.051230,1.258697
6.2263970,-5.2687560,0.2383123,2.26550780,-0.45998520,3.7591061,2.9674305,0.994241,1.006941
6.3141064,-5.3235660,0.3067870,2.22586510,-0.44363227,3.8277628,2.9696760,0.944411,1.092565
6.4007548,-5.3750519,0.3764803,2.18807041,-0.42857014,3.8944435,2.9714411,0.897736,1.081188
6.4865091,-5.4234208,0.4472916,2.15190828,-0.41463162,3.9593630,2.9728408,0.852693,1.118101
6.5715087,-5.4688464,0.5191349,2.11720913,-0.40167625,4.0227026,2.9739592,0.812412,1.152419
6.6558677,-5.5114761,0.5919301,2.08382862,-0.38959287,4.0846134,2.9748590,0.776079,1.183857
6.7396913,-5.5514411,0.6656133,2.05164135,-0.37827836,4.1452310,2.9755872,0.740500,1.212384
6.8230618,-5.5888506,0.7401194,2.02054190,-0.36766271,4.2046662,2.9761798,0.707721,1.237723
6.9060490,-5.6238016,0.8153875,1.99044826,-0.35753209,4.2630153,2.9766645,0.679444,1.260089
6.9887242,-5.6563839,0.8913717,1.96127181,-0.34823308,4.3203695,2.9770626,0.652762,1.280206
7.0711417,-5.6866723,0.9680219,1.93293371,-0.33930770,4.3768021,2.9773911,0.627106,1.298399
7.1533493,-5.7147499,1.0452859,1.90574469,-0.32220087,4.4323821,2.9776631,0.605207,1.314201
7.2354052,-5.7407569,1.1231115,1.88084612,-0.28448619,4.4871743,2.9778891,0.586170,1.327448
7.3173501,-5.7649433,1.2014057,1.85996872,-0.22510227,4.5412376,2.9780775,0.567400,1.338841
7.3992446,-5.7876852,1.2800792,1.84441167,-0.15481374,4.5946331,2.9782351,0.550168,1.349201
7.4811239,-5.8094200,1.3590210,1.83452653,-0.08655780,4.6474062,2.9783673,0.535540,1.358642
7.5630094,-5.8305782,1.4381258,1.82976826,-0.02973070,4.6995941,2.9784784,0.520910,1.367121
7.6449320,-5.8515279,1.5173244,1.82901599,0.01133112,4.7512334,2.9785720,0.505286,1.375221
7.7269107,-5.8725389,1.5965649,1.83095950,0.03616933,4.8023526,2.9786511,0.490685,1.383763
7.8089572,-5.8937791,1.6758143,1.83434665,0.04625177,4.8529786,2.9787180,0.476675,1.393024
7.8910913,-5.9153208,1.7550731,1.83801425,0.04330020,4.9031323,2.9787747,0.461086,1.402788
7.9733069,-5.9371484,1.8343383,1.84097831,0.02841384,4.9528345,2.9788229,0.444944,1.412807
8.0556303,-5.9591692,1.9136619,1.84221453,0.00211814,5.0020984,2.9788639,0.430003,1.422665
8.1380103,-5.9812031,1.9930405,1.84088299,-0.03484127,5.0509251,2.9788988,0.414869,1.432087
8.2204586,-6.0030120,2.0725522,1.83612470,-0.08030835,5.0993174,2.9789286,0.398729,1.441242
8.3029230,-6.0242922,2.1522235,1.82747458,-0.12965019,5.1472695,2.9789540,0.383780,1.450245
8.3853839,-6.0447237,2.2321132,1.81488415,-0.17556388,5.1947738,2.9789757,0.370740,1.458538
8.4678030,-6.0640075,2.3122446,1.79901775,-0.20964283,5.2418286,2.9789942,0.357916,1.465365
8.5501814,-6.0819230,2.3926513,1.78104502,-0.22640158,5.2884365,2.9790102,0.345817,1.470611
8.6324940,-6.0983493,2.4733082,1.76234528,-0.22840022,5.3346101,2.9790238,0.336428,1.474643
8.7147935,-6.1132625,2.5542452,1.74368423,-0.22453634,5.3803678,2.9790356,0.328867,1.477461
8.7970369,-6.1266696,2.6353884,1.72539581,-0.22067772,5.4257218,2.9790457,0.321550,1.478605
8.8792828,-6.1386014,2.7167643,1.70737508,-0.21718371,5.4706909,2.9790544,0.315875,1.477947
8.9615100,-6.1490755,2.7983217,1.68966982,-0.21368327,5.5152905,2.9790619,0.312918,1.475964
9.0437480,-6.1581159,2.8800612,1.67222800,-0.21029815,5.5595328,2.9790683,0.310857,1.473047
9.1259874,-6.1657411,2.9619463,1.65507348,-0.20701545,5.6034306,2.9790739,0.309156,1.469073
9.2082467,-6.1719724,3.0439693,1.63816794,-0.20383450,5.6469940,2.9790788,0.309787,1.463763
9.2905242,-6.1768287,3.1261034,1.62155452,-0.20074742,5.6902443,2.9790830,0.312591,1.456890
9.3729938,-6.1803428,3.2084981,1.60533387,-0.19774272,5.7333178,2.9790866,0.315560,1.448230
9.4563016,-6.1825452,3.2917767,1.58870257,-0.19480628,5.7763657,2.9790898,0.319544,1.437980
9.5396890,-6.1833644,3.3751601,1.57263726,-0.19194712,5.8192303,2.9790925,0.326285,1.426655
9.6230920,-6.1828557,3.4585616,1.55672862,-0.18917127,5.8617690,2.9790949,0.334209,1.414400
9.7065191,-6.1810285,3.5419687,1.54106194,-0.18647363,5.9040182,2.9790969,0.342109,1.400786
9.7899643,-6.1779035,3.6253553,1.52561136,-0.18385122,5.9459756,2.9790986,0.352040,1.385554
9.8734310,-6.1734982,3.7087057,1.51036872,-0.18130102,5.9876487,2.9791001,0.364364,1.369103
9.9569083,-6.1678307,3.7919904,1.49534188,-0.17882014,6.0290408,2.9791013,0.376767,1.351902
10.0404052,-6.1609195,3.8752007,1.48051201,-0.17640575,6.0701594,2.9791024,0.389795,1.333916
10.1239253,-6.1527810,3.9583233,1.46587047,-0.17405512,6.1110112,2.9791032,0.405518,1.314838
10.2074479,-6.1434335,4.0413213,1.45143220,-0.17176611,6.1515951,2.9791039,0.422262,1.294480
10.2909766,-6.1328960,4.1241827,1.43718105,-0.16953640,6.1919157,2.9791044,0.438187,1.272554
10.3745241,-6.1211840,4.2069051,1.42310228,-0.16736341,6.2319828,2.9791047,0.455675,1.249067
10.4580757,-6.1083148,4.2894597,1.40920665,-0.16524530,6.2717968,2.9791047,0.476399,1.224580
10.5416215,-6.0943079,4.3718230,1.39549351,-0.16318018,6.3113580,2.9791045,0.497835,1.199637
10.6251771,-6.0791787,4.4539975,1.38193458,-0.16116597,6.3506749,2.9791038,0.519022,1.174576
10.7087238,-6.0629444,4.5359517,1.36855795,-0.15920092,6.3897481,2.9791023,0.542568,1.150333
10.7922654,-6.0456238,4.6176781,1.35533597,-0.15726777,6.4289005,3.0285757,0.568147,1.128268
10.8758010,-6.0272313,4.6991637,1.34226863,-0.15559438,6.4633785,2.2904170,0.593160,1.108348
10.9593244,-6.0077833,4.7803914,1.32931777,-0.15453197,6.4855589,1.1462145,0.619130,1.089744
11.0428365,-5.9872903,4.8613500,1.31642641,-0.15414043,6.4937903,0.1323784,0.648005,1.072698
11.1263309,-5.9657600,4.9420208,1.30355250,-0.15433473,6.4897021,-0.7679090,0.677233,1.057574
11.2098165,-5.9431946,5.0223988,1.29063322,-0.15505319,6.4746486,-1.5688168,0.706034,1.042647
11.2932879,-5.9195928,5.1024641,1.27764354,-0.15625181,6.4497678,-2.2822937,0.737483,1.025762
11.3767480,-5.8949522,5.1822039,1.26453278,-0.15789989,6.4160190,-2.9185350,0.770865,1.007636
11.4602030,-5.8692635,5.2616067,1.25126862,-0.15997784,6.3742150,-3.4863797,0.803323,0.989892
11.5436541,-5.8425176,5.3406558,1.23781412,-0.16247457,6.3250487,-3.9934300,0.837131,0.971887
11.6271080,-5.8147008,5.4193372,1.22413321,-0.16538712,6.2691085,-4.4463418,0.874142,0.953353
11.7105690,-5.7857972,5.4976336,1.21019066,-0.16871906,6.2068965,-4.8509334,0.911001,0.936401
11.7940472,-5.7557876,5.5755312,1.19594966,-0.17248102,6.1388353,-5.2123394,0.947757,0.921973
11.8775508,-5.7246483,5.6530115,1.18136928,-0.17668971,6.0652815,-5.5350910,0.987832,0.908626
11.9610896,-5.6923553,5.7300563,1.16641547,-0.18136883,5.9865322,-5.8231986,1.029306,0.894923
12.0446773,-5.6588776,5.8066470,1.15103675,-0.18654907,5.9028269,-6.0802413,1.070037,0.880443
12.1283277,-5.6241825,5.8827629,1.13519327,-0.19226933,5.8143564,-6.3094031,1.113163,0.865371
12.2120575,-5.5882320,5.9583820,1.11882969,-0.19857725,5.7212622,-6.5135324,1.159050,0.849677
12.2958874,-5.5509826,6.0334815,1.10188942,-0.20553157,5.6236383,-6.6951826,1.204617,0.832656
12.3798392,-5.5123874,6.1080356,1.08431765,-0.21320162,5.5215545,-6.8542319,1.251461,0.813626
12.4639381,-5.4723904,6.1820145,1.06602539,-0.22158581,5.4160876,-6.8605184,1.301640,0.792549
12.5482206,-5.4309299,6.2553941,1.04697473,-0.23066030,5.3084801,-6.8307591,1.352304,0.769761
12.6327146,-5.3879396,6.3281337,1.02706534,-0.24049079,5.1988518,-6.8004410,1.402542,0.745862
12.7174633,-5.3433425,6.4001994,1.00623165,-0.25117979,5.0870299,-6.7695163,1.454027,0.722386
12.8025301,-5.2970393,6.4715602,0.98434032,-0.26285377,4.9727836,-6.7379210,1.503057,0.701872
12.8879406,-5.2489758,6.5421637,0.96146546,-0.27565023,4.8559864,-6.7056202,1.544717,0.685826
12.9738291,-5.1988864,6.6119340,0.93670199,-0.28979671,4.7359809,-6.6724322,1.580878,0.673320
13.0600998,-5.1472093,6.6810143,0.91286227,-0.30532890,4.6139479,-6.6386834,1.616043,0.661418
