fixed_step,fixed_time_s,speed_mps,body_vx_mps,body_vy_mps,applied_steering_rad,applied_throttle_norm,recovered_front_force_n,recovered_rear_force_n,front_proxy_n,rear_proxy_n,front_load_n,rear_load_n,max_abs_forward_slip,max_abs_sideways_slip,front_forward_curve_demand,rear_forward_curve_demand,front_sideways_curve_demand,rear_sideways_curve_demand,front_combined_curve_demand,rear_combined_curve_demand,wheel0_load_n,wheel0_sideways_slip,wheel0_forward_slip,wheel0_sideways_curve,wheel0_forward_curve,wheel1_load_n,wheel1_sideways_slip,wheel1_forward_slip,wheel1_sideways_curve,wheel1_forward_curve,wheel2_load_n,wheel2_sideways_slip,wheel2_forward_slip,wheel2_sideways_curve,wheel2_forward_curve,wheel3_load_n,wheel3_sideways_slip,wheel3_forward_slip,wheel3_sideways_curve,wheel3_forward_curve
4516,4.51500034,6.891606682,-0.09817167181,0.04437006484,0.041887898,0.35,3.561193859,6.950972906,4.372454126,10.02714492,11.25333472,22.8140565,0.226850331,0.004477371,0.5815268824,0.5798387533,0.3885474159,0.4395160906,0.69938731,0.7275901138,2.18887472,0.00399464462,0.226850331,0.399464462,0.5232631526,9.06446,0.00385911181,0.198595181,0.385911181,0.5955963366,7.904091,0.004477371,0.224227935,0.4477371,0.5299764864,14.9099655,0.00435157958,0.194425076,0.435157958,0.6062718054
4517,4.51600027,6.896345433,-0.09816588222,0.04416617692,0.041887898,0.35,3.564901957,6.961304635,4.356421039,10.0351362,11.201798,22.79093933,0.22631973,0.00448549446,0.5831288127,0.5813168664,0.3889037313,0.4403125321,0.7009174876,0.7292492201,2.156687,0.00399858272,0.22631973,0.399858272,0.5246214912,9.045111,0.00386291766,0.198015973,0.386291766,0.5970791091,7.88753033,0.00448549446,0.2236745,0.448549446,0.53139328,14.903409,0.004359532,0.193852112,0.4359532,0.6077385933
4518,4.517,6.901109397,-0.09817509269,0.0439860939,0.041887898,0.35,3.566973979,6.969070618,4.37854447,10.09466464,11.23248323,22.85428092,0.225799188,0.00449957838,0.5845096084,0.5827152836,0.3898109065,0.4416968828,0.7025695874,0.7311998618,2.17077923,0.00400750153,0.225799188,0.400750153,0.5259540787,9.061704,0.00387190352,0.197446525,0.387190352,0.598536896,7.91563272,0.00449957838,0.223131344,0.449957838,0.5327837594,14.9386482,0.004373196,0.193291873,0.4373196,0.6091728051
4519,4.518,6.905874724,-0.0981629636,0.04378062708,0.041887898,0.35,3.571023568,6.979222657,4.359901269,10.10185086,11.172107,22.8281326,0.225265056,0.00450794026,0.5861484045,0.5842006066,0.3902487927,0.4425176179,0.7041761657,0.7328793836,2.132641,0.004012179,0.225265056,0.4012179,0.5273214566,9.039466,0.003876609,0.196864381,0.3876609,0.6000271846,7.896018,0.00450794026,0.2225747,0.450794026,0.534208768,14.9321146,0.004381411,0.192720309,0.4381411,0.610636009
4520,4.519,6.910649817,-0.09814970901,0.04356823627,0.041887898,0.35,3.575116866,6.98757614,4.362733248,10.13281448,11.15479173,22.8303024,0.224743232,0.004521398,0.5876391424,0.5856313757,0.3911084451,0.4438318121,0.7058934604,0.7348134359,2.12125373,0.004021158,0.224743232,0.4021158,0.5286573261,9.033538,0.003885237,0.196293265,0.3885237,0.6014892416,7.894293,0.004521398,0.22202915,0.4521398,0.535605376,14.9360094,0.004394407,0.19215931,0.4394407,0.6120721664
4521,4.52,6.915449501,-0.09815557186,0.04337927905,0.041887898,0.35,3.578027476,6.994359487,4.384565275,10.19419753,11.18088249,22.89371059,0.224217415,0.004536179,0.5890342641,0.5870265873,0.3921484086,0.4452837601,0.7076310753,0.7368024438,2.13379049,0.00403158739,0.224217415,0.403158739,0.5300034176,9.047092,0.00389551581,0.195719957,0.389551581,0.6029569101,7.92391729,0.004536179,0.221481681,0.4536179,0.5370068966,14.9697933,0.00440872274,0.191600248,0.440872274,0.6135033651
4522,4.52100039,6.920253787,-0.09814578535,0.0431699193,0.041887898,0.35,3.581940248,7.003878807,4.373259958,10.20251992,11.13827178,22.87068461,0.2236785,0.0045444225,0.590657631,0.5885110501,0.392633619,0.4460959561,0.7092514334,0.7384760376,2.10303378,0.00403652759,0.2236785,0.403652759,0.53138304,9.035238,0.00390068814,0.195135027,0.390068814,0.6044543309,7.90735531,0.0045444225,0.220919639,0.45444225,0.5384457242,14.9633293,0.00441685366,0.191028118,0.441685366,0.6149680179
4523,4.52200031,6.925071152,-0.09813371206,0.04296126289,0.041887898,0.35,3.585655165,7.01181286,4.378844589,10.23902512,11.12843757,22.887859,0.223150015,0.00455729431,0.5921388603,0.5899540023,0.3934824239,0.4473561776,0.7109548845,0.7403872463,2.09761357,0.00404548831,0.223150015,0.404548831,0.5327359616,9.030824,0.00390912,0.194556043,0.390912,0.6059365299,7.910139,0.00455729431,0.220368028,0.455729431,0.5398578483,14.97772,0.00442934036,0.1904644,0.442934036,0.616411136
4524,4.52300024,6.92990337,-0.09812501218,0.04275513488,0.041887898,0.35,3.588980962,7.019801658,4.385762872,10.27596009,11.12278868,22.90985965,0.22261557,0.004568982,0.5936419081,0.5913969007,0.3943042521,0.4485387624,0.7126616016,0.7422515177,2.09063768,0.004053758,0.22261557,0.4053758,0.5341041408,9.032151,0.00391741563,0.193975434,0.391741563,0.607422889,7.91764545,0.004568982,0.219812319,0.4568982,0.5412804634,14.9922142,0.00444124,0.189896777,0.444124,0.6178642509
4525,4.524,6.934749799,-0.098116443,0.04254791596,0.041887898,0.35,3.592126225,7.028203066,4.389208505,10.31015611,11.10842857,22.92718841,0.222078428,0.004581014,0.5951926927,0.592858777,0.3951241598,0.4496912542,0.714407057,0.7441127291,2.07622957,0.004061859,0.222078428,0.4061859,0.5354792243,9.032199,0.003925814,0.19339101,0.3925814,0.6089190144,7.92049551,0.004581014,0.219252586,0.4581014,0.5427133798,15.0066929,0.004452524,0.189326018,0.4452524,0.6193253939
