stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,turn_mode,reset_epoch,timing_degraded
1789473781.5444767,0,0,0,0,0,0,0,0,0,0
1789473781.5694788,0,0,0,0,0,0,1,0,0,0
1789473781.5944784,9.9998474121093748e-06,0,0,0,0,0,1,0,0,0
1789473781.619478,1.249980926513672e-05,0,0,0,0,0,1,0,0,0
1789473781.6444769,0,0,0,0,0,0,0,0,0,0
1789473781.669477,0,0,0,0,0,0,0,0,0,0
1789473781.6944788,0,0,0,0,0,0,0,0,0,0
1789473781.7194784,0,0,0,0,0,0,0,0,0,0
1789473781.744478,0,0,0,0,0,0,0,0,0,0
1789473781.7694769,0,0,0,0,0,0,0,0,0,0
1789473781.794477,0,0,0,0,0,0,0,0,0,0
1789473781.8194788,0,0,0,0,0,0,0,0,0,0
1789473781.8444784,0,0,0,0,0,0,0,0,0,0
1789473781.869478,0,0,0,0,0,0,0,0,0,0
1789473781.8944769,0,0,0,0,0,0,0,0,0,0
1789473781.9194767,0,0,0,0,0,0,0,0,0,0
1789473781.9444788,0,0,0,0,0,0,0,0,0,0
1789473781.9694784,0,0,0,0,0,0,0,0,0,0
1789473781.994478,0,0,0,0,0,0,0,0,0,0
1789473782.0174787,0,0,0,0,0,0,0,0,0,0
1789473782.0444767,0,0,0,0,0,0,0,0,0,0
1789473782.0694788,0,0,0,0,0,0,0,0,0,0
1789473782.0944784,0,0,0,0,0,0,0,0,0,0
1789473782.119478,0,0,0,0,0,0,0,0,0,0
1789473782.1444769,0,0,0,0,0,0,0,0,0,0
1789473782.169477,0,0,0,0,0,0,0,0,0,0
1789473782.1944788,0,0,0,0,0,0,0,0,0,0
1789473782.2194784,0,0,0,0,0,0,0,0,0,0
1789473782.244478,0,0,0,0,0,0,0,0,0,0
1789473782.2694769,0,0,0,0,0,0,0,0,0,0
1789473782.294477,0,0,0,0,0,0,0,0,0,0
1789473782.3194788,0,0,0,0,0,0,0,0,0,0
1789473782.3444784,0,0,0,0,0,0,0,0,0,0
1789473782.369478,0,0,0,0,0,0,0,0,0,0
1789473782.3934782,0,0,0,0,0,0,0,0,0,0
1789473782.4194767,0,0,0,0,0,0,0,0,0,0
1789473782.4444788,0,0,0,0,0,0,0,0,0,0
1789473782.4694784,0,0,0,0,0,0,0,0,0,0
1789473782.494478,0,0,0,0,0,0,0,0,0,0
1789473782.5194769,0,0,0,0,0,0,0,0,0,0
1789473782.5444767,0,0,0,0,0,0,0,0,0,0
1789473782.5694788,0,0,0,0,0,0,0,0,0,0
1789473782.5944784,0,0,0,0,0,0,0,0,0,0
1789473782.6184785,0,0,0,0,0,0,0,0,0,0
1789473782.6434782,0,0,0,0,0,0,0,0,0,0
1789473782.669477,0,0,0,0,0,0,0,0,0,0
1789473782.6934769,0,0,0,0,0,0,0,0,0,0
1789473782.7194784,0,0,0,0,0,0,0,0,0,0
1789473782.744478,0,0,0,0,0,0,0,0,0,0
1789473782.7694769,0,0,0,0,0,0,0,0,0,0
1789473782.794477,0.027260103988647463,0.0095798242055554674,0.0095798242055554674,0,0.00011974825936650662,1.0440920560454595e-09,1,0,0,0
1789473782.8194788,0.044137262817539727,0.037636188770298014,0.037636188770298014,0,0.0007099900449861902,1.8325567495343349e-07,1,0,0,0
1789473782.8434768,0.07565625515079881,0.066168007434512247,0.066168007434512247,0,0.0019555370751668253,1.4713541156151773e-06,1,0,0,0
1789473782.869478,0.10565865274777518,0.14856048378410591,0.14856048378410591,0,0.0047471312464723182,7.5692581340821466e-06,1,0,0,0
1789473782.8944769,0.18911620456638589,0.18712384795942827,0.18712384795942827,0,0.008942976045262568,2.2131844748213975e-05,1,0,0,0
