fixed_step,fixed_time_s,speed_mps,body_vx_mps,body_vy_mps,applied_steering_rad,applied_throttle_norm,recovered_front_force_n,recovered_rear_force_n,front_proxy_n,rear_proxy_n,front_load_n,rear_load_n,max_abs_forward_slip,max_abs_sideways_slip,front_forward_curve_demand,rear_forward_curve_demand,front_sideways_curve_demand,rear_sideways_curve_demand,front_combined_curve_demand,rear_combined_curve_demand,runtime_body_yaw_inertia_kgm2,wheel0_load_n,wheel0_sideways_slip,wheel0_forward_slip,wheel0_sideways_curve,wheel0_forward_curve,wheel0_omega_radps,wheel0_domega_radps2,wheel0_effective_inertia_kgm2,wheel0_forward_force_from_torque_n,wheel0_motor_torque_nm,wheel0_brake_torque_nm,wheel0_steer_angle_deg,wheel0_sprung_mass_kg,wheel0_world_pose_y_m,wheel1_load_n,wheel1_sideways_slip,wheel1_forward_slip,wheel1_sideways_curve,wheel1_forward_curve,wheel1_omega_radps,wheel1_domega_radps2,wheel1_effective_inertia_kgm2,wheel1_forward_force_from_torque_n,wheel1_motor_torque_nm,wheel1_brake_torque_nm,wheel1_steer_angle_deg,wheel1_sprung_mass_kg,wheel1_world_pose_y_m,wheel2_load_n,wheel2_sideways_slip,wheel2_forward_slip,wheel2_sideways_curve,wheel2_forward_curve,wheel2_omega_radps,wheel2_domega_radps2,wheel2_effective_inertia_kgm2,wheel2_forward_force_from_torque_n,wheel2_motor_torque_nm,wheel2_brake_torque_nm,wheel2_steer_angle_deg,wheel2_sprung_mass_kg,wheel2_world_pose_y_m,wheel3_load_n,wheel3_sideways_slip,wheel3_forward_slip,wheel3_sideways_curve,wheel3_forward_curve,wheel3_omega_radps,wheel3_domega_radps2,wheel3_effective_inertia_kgm2,wheel3_forward_force_from_torque_n,wheel3_motor_torque_nm,wheel3_brake_torque_nm,wheel3_steer_angle_deg,wheel3_sprung_mass_kg,wheel3_world_pose_y_m
6545,6.544,5.825383902,-0.2066762137,0.04258917389,0.104719758,0.25,7.780049476,8.996183595,13.50743078,13.21018658,13.8872918,20.12543135,0.102551147,0.0165768489,0.2115396966,0.252019612,0.9726468615,0.6563927178,0.9953848303,0.7031111469,0.0958164,1.205491,0.0165768489,0.101928093,0.9634619506,0.4892548464,106.6503465,0.1048780955,0.000366,1.480931884,26.75,0,-6.23696661,0.817195237,0.0588161573,12.6818008,0.0147664091,0.03857104,0.9735199494,0.185140992,106.3078658,3.554306845,0.000366,2.910723237,26.75,0,-5.780321,0.8160153,0.0587932058,4.21518135,0.00690671569,0.102551147,0.690671569,0.4922455056,106.254087,1.791064851,0.000366,3.149537714,26.75,0,0,0.918995857,0.0588279068,15.91025,0.00647311052,0.03924487,0.647311052,0.188375376,106.0933903,5.464382947,0.000366,3.807668711,26.75,0,0,0.917793632,0.0588045567
6546,6.545,5.82694528,-0.2067368294,0.04278783284,0.104719758,0.25,7.789514704,8.994238517,13.53718769,13.2218117,13.9183908,20.13000633,0.102335729,0.0165821854,0.210666251,0.2510532567,0.972611553,0.6568210402,0.9951650629,0.7031654262,0.09580702,1.216064,0.0165821854,0.101697378,0.9634323033,0.4881474144,106.6501591,0.107167831,0.000366,1.481711952,26.75,0,-6.23696661,0.8171939,0.05881558,12.7023268,0.01477174,0.0383544676,0.9734903333,0.1841014445,106.3111896,3.531900775,0.000366,2.896778311,26.75,0,-5.780321,0.816019952,0.0587927,4.21685743,0.006910957,0.102335729,0.6910957,0.4912114992,106.2554358,1.782093808,0.000366,3.143878151,26.75,0,0,0.9189912,0.0588274226,15.9131489,0.00647738529,0.0390444249,0.647738529,0.1874132395,106.0986316,5.414076885,0.000366,3.785772204,26.75,0,0,0.9177949,0.05880408
6547,6.54600048,5.828491987,-0.2067937901,0.04298378068,0.104719758,0.25,7.799493395,8.993814642,13.54268163,13.21016043,13.92422565,20.110757,0.102113813,0.01658514,0.2096289735,0.2498767108,0.9725985468,0.6568703721,0.994933284,0.702792328,0.09579715,1.21774185,0.01658514,0.101462588,0.9634158889,0.4870204224,106.6502062,0.1088217016,0.000366,1.481502015,26.75,0,-6.23696661,0.817193747,0.058815036,12.7064838,0.0147738559,0.0381343365,0.9734785783,0.1830448152,106.3147752,3.509195308,0.000366,2.881725923,26.75,0,-5.780321,0.81602,0.058792185,4.200677,0.006912144,0.102113813,0.6912144,0.4901463024,106.257437,1.772431408,0.000366,3.135458453,26.75,0,0,0.91899097,0.0588269122,15.91008,0.00647802651,0.0388415121,0.647802651,0.1864392581,106.1039042,5.363944475,0.000366,3.763741502,26.75,0,0,0.9177952,0.05880364
6548,6.54700041,5.830025536,-0.2068517269,0.04318399691,0.104719758,0.25,7.809015163,8.992796121,13.55821748,13.20927861,13.9404779,20.10490944,0.101899378,0.0165883452,0.2086305544,0.2488331977,0.972579102,0.6570175633,0.9947043872,0.7025596336,0.09578645,1.2209487,0.0165883452,0.101232193,0.9633980822,0.4859145264,106.6502512,0.1115726876,0.000366,1.481294147,26.75,0,-6.23696661,0.817194,0.0588145,12.7195292,0.01477713,0.0379195921,0.9734603889,0.1820140421,106.3181975,3.486844035,0.000366,2.867363553,26.75,0,-5.780321,0.816024542,0.0587917119,4.19495344,0.00691395625,0.101899378,0.691395625,0.4891170144,106.2590538,1.763622561,0.000366,3.128661941,26.75,0,0,0.9189865,0.0588264652,15.909956,0.00647953153,0.0386412367,0.647953153,0.1854779362,106.109069,5.31448566,0.000366,3.74216366,26.75,0,0,0.917795,0.05880324
6549,6.54800034,5.831546269,-0.2069107424,0.04338519622,0.104719758,0.25,7.818811879,8.991707583,13.57388276,13.20307942,13.95682696,20.09155275,0.101683736,0.01659154,0.2076968694,0.2477705053,0.9725622303,0.657145796,0.9944924743,0.7023039374,0.09577581,1.22717166,0.01659154,0.101003438,0.9633803333,0.4848165024,106.650136,0.1141754576,0.000366,1.481766101,26.75,0,-6.23696661,0.817195654,0.0588138625,12.7296553,0.01477947,0.037704546,0.9734473889,0.1809818208,106.3216406,3.46466357,0.000366,2.852911378,26.75,0,-5.780321,0.8160156,0.05879107,4.18621635,0.00691574533,0.101683736,0.691574533,0.4880819328,106.2607063,1.75482695,0.000366,3.121714479,26.75,0,0,0.9189953,0.05882583,15.9053364,0.006480843,0.0384419933,0.6480843,0.1845215678,106.1142903,5.265617269,0.000366,3.720342543,26.75,0,0,0.917793334,0.05880262
6550,6.54900026,5.833058174,-0.2069852255,0.04360589253,0.104719758,0.25,7.827502364,8.989013396,13.60975998,13.2253908,13.99400587,20.12007423,0.101470463,0.0165942647,0.2068641586,0.246859789,0.9725421091,0.6573231615,0.9942992176,0.7021491965,0.09576405,1.23941207,0.0165942647,0.100775585,0.9633651961,0.483722808,106.6496114,0.1155924632,0.000366,1.483980387,26.75,0,-6.23696661,0.817195356,0.05881356,12.7545938,0.0147819044,0.0374918245,0.9734338644,0.1799607576,106.3246828,3.441932376,0.000366,2.840162096,26.75,0,-5.780321,0.8160152,0.0587908067,4.19551373,0.00691772671,0.101470463,0.691772671,0.4870582224,106.2612519,1.744608587,0.000366,3.119466046,26.75,0,0,0.918995559,0.0588256419,15.9245605,0.00648247031,0.03824514,0.648247031,0.183576672,106.1188603,5.216530567,0.000366,3.701282767,26.75,0,0,0.9177937,0.05880244
6551,6.55,5.834547957,-0.2070304974,0.04379778576,0.104719758,0.25,7.838463651,8.991700498,13.57095257,13.17135325,13.95378993,20.04868414,0.101248808,0.0165933464,0.2053922946,0.2454745139,0.9725639155,0.6569684654,0.9940153743,0.7013310927,0.09575247,1.21590543,0.0165933464,0.100545056,0.9633702978,0.4826162688,106.6509288,0.1177599053,0.000366,1.478384846,26.75,0,-6.23696661,0.8171949,0.0588128529,12.7378845,0.01478053,0.03727701,0.9734415,0.178929648,106.3286391,3.419488599,0.000366,2.823537289,26.75,0,-5.780321,0.816019058,0.05879017,4.15407944,0.006914531,0.101248808,0.6914531,0.4859942784,106.2643715,1.73507597,0.000366,3.10630653,26.75,0,0,0.9189922,0.05882499,15.8946047,0.00647955853,0.0380446464,0.647955853,0.1826143027,106.1245298,5.168128209,0.000366,3.677559603,26.75,0,0,0.9177937,0.0588018857
6552,6.551,5.836029139,-0.207090901,0.04400647005,0.104719758,0.25,7.84702653,8.989251879,13.61524812,13.19188726,13.99995685,20.06351188,0.101052739,0.0165989436,0.2047873089,0.2446320387,0.9725207205,0.6575063895,0.993848275,0.7015407946,0.09575247,1.23705685,0.0165989436,0.100333922,0.9633392022,0.4816028256,106.6505005,0.1196545079,0.000366,1.48018794,26.75,0,-6.23696661,0.8171949,0.05881244,12.7629,0.0147860833,0.03707431,0.9734106483,0.177956688,106.3318215,3.396967494,0.000366,2.810192109,26.75,0,-5.780321,0.816019058,0.0587897748,4.16169548,0.00692043174,0.101052739,0.692043174,0.4850531472,106.265714,1.72537235,0.000366,3.100678135,26.75,0,0,0.9189922,0.0588246025,15.9018164,0.006484677,0.03785645,0.6484677,0.18171096,106.1294925,5.120074506,0.000366,3.65682944,26.75,0,0,0.9177937,0.0588015
6553,6.55200052,5.837494456,-0.2071424296,0.0442065367,0.104719758,0.25,7.85650124,8.990039094,13.60374253,13.1763264,13.98807891,20.0396607,0.100842394,0.01660029,0.2035485853,0.2434733636,0.9725240057,0.6575124496,0.9935969848,0.7011432808,0.09572871,1.22550571,0.01660029,0.100109339,0.9633317222,0.4805248272,106.6511906,0.1222305746,0.000366,1.477247794,26.75,0,-6.23696661,0.8171935,0.0588117763,12.7625732,0.0147867976,0.03686508,0.97340668,0.176952384,106.3353757,3.374762704,0.000366,2.795269733,26.75,0,-5.780321,0.816026032,0.05878921,4.142566,0.006920793,0.100842394,0.6920793,0.4840434912,106.2678545,1.716358684,0.000366,3.091664255,26.75,0,0,0.91898483,0.0588240065,15.8970947,0.006485048,0.037663348,0.6485048,0.1807840704,106.1345326,5.072773374,0.000366,3.63576625,26.75,0,0,0.9177954,0.0588009879
6554,6.55300045,5.838951636,-0.2072092114,0.04442363458,0.104719758,0.25,7.865188204,8.987398279,13.64393426,13.19569328,14.02989865,20.05597303,0.100642838,0.0166049842,0.2029197755,0.2426205711,0.9724898665,0.65794331,0.9934349378,0.7012518383,0.0957171,1.24522865,0.0166049842,0.09989708,0.9633056433,0.479505984,106.6505706,0.1242634146,0.000366,1.479862052,26.75,0,-6.23696661,0.81719625,0.0588114038,12.78467,0.014790806,0.03666255,0.9733844111,0.17598024,106.3384628,3.352464923,0.000366,2.78232696,26.75,0,-5.780321,0.8160117,0.05878883,4.15017033,0.006925748,0.100642838,0.6925748,0.4830856224,106.268775,1.706853454,0.000366,3.087822852,26.75,0,0,0.9189994,0.0588236749,15.9058027,0.006489072,0.0374745838,0.6489072,0.1798780022,106.1391927,5.025749509,0.000366,3.616312071,26.75,0,0,0.9177925,0.0588006675
6555,6.55400038,5.840389628,-0.2072558409,0.04462258203,0.104719758,0.25,7.875169393,8.989027679,13.62235349,13.16005722,14.00754665,20.00837993,0.100432009,0.0166049059,0.201621475,0.2413831581,0.9725010263,0.6577272754,0.9931814866,0.7006218651,0.09570558,1.22929025,0.0166049059,0.09967365,0.9633060783,0.47843352,106.6514272,0.1256175474,0.000366,1.476223958,26.75,0,-6.23696661,0.8171949,0.0588107929,12.7782564,0.0147905927,0.0364566,0.9733855961,0.17499168,106.3420997,3.329936169,0.000366,2.767056049,26.75,0,-5.780321,0.816014946,0.0587882958,4.12076473,0.00692393538,0.100432009,0.692393538,0.4820736432,106.2713123,1.696569669,0.000366,3.077135123,26.75,0,0,0.9189962,0.0588231422,15.8876152,0.006487359,0.0372823663,0.6487359,0.1789553582,106.1444527,4.978826517,0.000366,3.594314706,26.75,0,0,0.9177938,0.0588001944
6556,6.55500031,5.84181752,-0.2073128006,0.04483143156,0.104719758,0.25,7.883605391,8.987714562,13.64810956,13.17210407,14.03444223,20.01418212,0.100238912,0.0166094061,0.2008509148,0.2404770593,0.972472531,0.6581385135,0.9929974388,0.7006964528,0.09569474,1.24010873,0.0166094061,0.09946668,0.9632810772,0.477440064,106.6513885,0.127434724,0.000366,1.476376865,26.75,0,-6.23696661,0.8171947,0.0588102378,12.7943335,0.0147945834,0.0362587757,0.9733634256,0.1740421234,106.3453335,3.307457723,0.000366,2.753493178,26.75,0,-5.780321,0.8160174,0.05878781,4.12092972,0.00692869443,0.100238912,0.692869443,0.4811467776,106.2728465,1.686824975,0.000366,3.070694961,26.75,0,0,0.9189934,0.0588226244,15.8932524,0.006491332,0.03709881,0.6491332,0.178074288,106.1491955,4.932350369,0.000366,3.574506585,26.75,0,0,0.9177944,0.058799766
6557,6.556,5.843233091,-0.207367661,0.04503955668,0.104719758,0.25,7.892826899,8.987086208,13.65676695,13.16693442,14.04353188,20.00063708,0.100038819,0.0166119169,0.1999416848,0.2394801475,0.9724595681,0.6583257509,0.9928012333,0.7005308954,0.09568391,1.24353838,0.0166119169,0.0992533043,0.9632671283,0.4764158606,106.6513885,0.12950327,0.000366,1.476364033,26.75,0,-6.23696661,0.8171945,0.05880977,12.7999935,0.0147965271,0.03605871,0.9733526272,0.173081808,106.3486824,3.285275184,0.000366,2.73944037,26.75,0,-5.780321,0.816019952,0.05878733,4.11218548,0.006930908,0.100038819,0.6930908,0.4801863312,106.2744445,1.677373066,0.000366,3.063982309,26.75,0,0,0.9189909,0.05882217,15.8884516,0.00649328,0.03691282,0.649328,0.177181536,106.1540398,4.886507755,0.000366,3.554264118,26.75,0,0,0.9177946,0.0587993339
6558,6.557,5.844636023,-0.2074249075,0.04525071853,0.104719758,0.25,7.90161575,8.986371651,13.66979372,13.1666353,14.05711665,19.99451351,0.09984107,0.0166146383,0.1989780343,0.2384967252,0.9724464882,0.6585124112,0.9925947968,0.7003708187,0.09568391,1.24401665,0.0166146383,0.09904243,0.9632520094,0.475403664,106.6515676,0.1307517364,0.000366,1.475597514,26.75,0,-6.23696661,0.8171945,0.0588092022,12.8131,0.0147989485,0.0358625054,0.973339175,0.1721400259,106.3518471,3.262783271,0.000366,2.726170443,26.75,0,-5.780321,0.816019952,0.0587868243,4.10493851,0.00693291752,0.09984107,0.693291752,0.479237136,106.2759724,1.667071775,0.000366,3.057572224,26.75,0,0,0.9189909,0.058821667,15.889575,0.0064952746,0.0367298871,0.64952746,0.1763034581,106.1587187,4.840701152,0.000366,3.534722517,26.75,0,0,0.9177946,0.0587988757
6559,6.558,5.846025703,-0.2074774824,0.0454604106,0.104719758,0.25,7.910497485,8.986126291,13.67709039,13.15798737,14.06474455,19.9794604,0.09964466,0.016616635,0.1980580582,0.2374747298,0.972437881,0.6585757124,0.9924023513,0.7000830067,0.0956653,1.24600565,0.016616635,0.09883474,0.9632409167,0.474406752,106.6517404,0.1325839541,0.000366,1.474853997,26.75,0,-6.23696661,0.8171954,0.0588085428,12.8187389,0.0148002682,0.0356659256,0.9733318433,0.1711964429,106.3551447,3.240587984,0.000366,2.712335141,26.75,0,-5.780321,0.8160118,0.0587861873,4.093249,0.00693429168,0.09964466,0.693429168,0.478294368,106.2777358,1.657396054,0.000366,3.05015987,26.75,0,0,0.918999553,0.0588210225,15.8862114,0.00649595354,0.03654688,0.649595354,0.175425024,106.1634478,4.795528231,0.000366,3.514963996,26.75,0,0,0.917793155,0.05879826
6560,6.55900049,5.847409877,-0.2075532237,0.04569494556,0.104719758,0.25,7.918053783,8.982921028,13.72758154,13.18712698,14.11708087,20.01518435,0.09945201,0.01661933,0.1974845809,0.2367142224,0.9724093574,0.6588561338,0.992260106,0.7000893001,0.09565711,1.26741087,0.01661933,0.0986281857,0.9632259444,0.4734152914,106.6508136,0.133587053,0.000366,1.478774765,26.75,0,-6.23696661,0.8171963,0.05880828,12.84967,0.0148032727,0.0354726054,0.9733151517,0.1702685059,106.3578485,3.217984024,0.000366,2.701018311,26.75,0,-5.780321,0.816013157,0.0587859266,4.10848045,0.00693761744,0.09945201,0.693761744,0.477369648,106.2779725,1.646882382,0.000366,3.049222266,26.75,0,0,0.9189979,0.05882083,15.9067039,0.006498405,0.03636589,0.6498405,0.174556272,106.1675518,4.750395895,0.000366,3.497854278,26.75,0,0,0.9177927,0.0587980635
6561,6.56000042,5.848771761,-0.207596335,0.04589803626,0.104719758,0.25,7.928314052,8.986153371,13.6820021,13.13087001,14.06974447,19.94206335,0.09924663,0.0166173242,0.1959900894,0.2353837017,0.9724414062,0.6584509224,0.9919951631,0.699258968,0.0956497,1.23820817,0.0166173242,0.09841389,0.9632370878,0.472386672,106.6522702,0.1351336958,0.000366,1.472592917,26.75,0,-6.23696661,0.817194164,0.0588077,12.8315363,0.0148006724,0.0352747031,0.9733295978,0.1693185749,106.3615305,3.195714727,0.000366,2.685554988,26.75,0,-5.780321,0.8160195,0.05878544,4.06553745,0.006933651,0.09924663,0.6933651,0.476383824,106.2810021,1.636852955,0.000366,3.036447438,26.75,0,0,0.9189918,0.05882031,15.8765259,0.00649510371,0.0361813046,0.649510371,0.1736702621,106.1727417,4.705877819,0.000366,3.476139292,26.75,0,0,0.9177946,0.0587976165
