stamp_s,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad
1789473784.367477,38.2194,38.5467,0.2351,-0.1186,-0.0755,0.19559585868619056
1789473784.3934782,39.0703,39.3943,0.4581,-0.2535,-0.1174,0.1927409616254594
1789473784.4174783,39.859,40.1797,0.2676,-0.2068,-0.109,0.1901417967112416
1789473784.442478,40.6804,40.9978,0.1528,-0.3023,-0.1449,0.18676793778046763
1789473784.4684768,41.5443,41.8585,0.4113,-0.271,-0.1398,0.1831364733376395
1789473784.4934785,42.3755,42.6864,0.2355,-0.2262,-0.1224,0.18001180725919252
1789473784.5184782,43.2067,43.5143,0.1355,-0.2801,-0.1378,0.17662509843260787
1789473784.5434768,44.0478,44.3521,0.4094,-0.2263,-0.1204,0.17349038175921527
1789473784.5684767,44.8888,45.1931,0.235,-0.2208,-0.1148,0.17060903968671148
1789473784.591478,45.6742,45.972,0.4881,-0.2937,-0.137,0.16746484966044672
1789473784.617477,46.561,46.8556,0.2749,-0.2862,-0.1407,0.16377697139231784
1789473784.6434782,47.4479,47.7391,0.1566,-0.2665,-0.135,0.16038420888463856
1789473784.6684768,48.3085,48.5998,0.4187,-0.2862,-0.1389,0.15696463399087723
1789473784.6924782,49.1398,49.4245,0.2482,-0.2642,-0.1332,0.15353936548713887
1789473784.717477,50.0135,50.2917,0.472,-0.3894,-0.1749,0.14930506431066637
1789473784.742477,50.8873,51.1622,0.274,-0.3643,-0.1756,0.14509671451525086
1789473784.7674787,51.761,52.0326,0.1603,-0.3196,-0.1603,0.1411265905178516
1789473784.793477,52.6806,52.9489,0.4088,-0.3623,-0.1708,0.1366045556649511
1789473784.817478,53.5314,53.7965,0.2459,-0.2382,-0.13,0.13343109326614117
1789473784.8424768,54.4183,54.6768,0.1427,-0.2945,-0.14,0.1299664830381262
1789473784.8684785,55.3477,55.6029,0.4007,-0.3242,-0.1505,0.12596702567677093
1789473784.8934782,56.2443,56.4963,0.2336,-0.3629,-0.1672,0.12197571552204667
1789473784.9174783,57.1115,57.3602,0.4676,-0.4793,-0.2105,0.11715807529480735
1789473784.942478,58.018,58.2602,0.2751,-0.4503,-0.2113,0.11178506378801092
1789473784.9674768,58.9278,59.1634,0.1617,-0.4413,-0.2086,0.10640882092881565
1789473784.9924767,59.8441,60.0764,0.4173,-0.4077,-0.1933,0.10156334511433648
1789473785.0174787,60.7604,60.9894,0.2458,-0.3503,-0.171,0.09725323346315329
1789473785.0424786,61.6865,61.909,0.4674,-0.308,-0.1488,0.09347635094962103
1789473785.067478,62.6126,62.8351,0.2756,-0.3213,-0.1495,0.0896799632732792
1789473785.0924768,63.5518,63.7678,0.4846,-0.3412,-0.1539,0.08588453594994871
1789473785.117477,64.4877,64.7005,0.2887,-0.3519,-0.158,0.08208176339155451
1789473785.1424787,65.4368,65.6429,0.4903,-0.4557,-0.193,0.0774563481009003
1789473785.1674783,66.3858,66.5887,0.2916,-0.4519,-0.2007,0.07226523653169692
1789473785.193477,67.3806,67.5802,0.4811,-0.4744,-0.2089,0.06707076970251213
1789473785.217477,68.3035,68.4965,0.2923,-0.5154,-0.2236,0.061583965974222124
1789473785.242477,69.2721,69.4587,0.4906,-0.5141,-0.225,0.05608628587154474
1789473785.2674787,70.2441,70.424,0.2932,-0.5226,-0.2295,0.05029763916833718
1789473785.2924783,71.2225,71.3993,0.4887,-0.562,-0.2415,0.04449206471224998
1789473785.317478,72.2141,72.3843,0.6065,-0.6086,-0.2576,0.038114911286373676
1789473785.3424768,73.2057,73.3693,0.3629,-0.6673,-0.2804,0.0311563938136441
1789473785.367477,74.207,74.3641,0.5295,-0.7265,-0.3038,0.023619583123914767
1789473785.392479,75.2117,75.359,0.3167,-0.7188,-0.3052,0.016052805855518493
1789473785.4174783,76.2229,76.3669,0.5008,-0.7154,-0.3035,0.008460934043804436
1789473785.4414785,77.1981,77.3323,0.3084,-0.7087,-0.3012,0.0011222729240276674
1789473785.466478,78.2126,78.3402,0.1846,-0.7241,-0.3058,-0.00653060314620002
1789473785.4924767,79.2761,79.3972,0.4113,-0.6833,-0.2889,-0.013920494200224232
1789473785.5174787,80.3037,80.415,0.2479,-0.6933,-0.29,-0.021345231831217948
1789473785.5424786,81.3378,81.4425,0.4571,-0.6831,-0.2842,-0.02850035792970851
1789473785.567478,82.3719,82.4734,0.278,-0.6672,-0.2779,-0.03540153794124423
1789473785.5924768,83.4158,83.5107,0.4758,-0.6422,-0.2683,-0.04203817560041333
