bag_time,time,value
1788892289.271858,1788892289.271858,"{""packet_sequence"":845,""bridge_arrival_monotonic_ns"":14991410238467,""request_monotonic_ns"":14991362452212,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.3217077,1788892289.3217077,"{""packet_sequence"":846,""bridge_arrival_monotonic_ns"":14991460081767,""request_monotonic_ns"":14991412577543,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.3711247,1788892289.3711247,"{""packet_sequence"":847,""bridge_arrival_monotonic_ns"":14991509502431,""request_monotonic_ns"":14991461967970,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.422042,1788892289.422042,"{""packet_sequence"":848,""bridge_arrival_monotonic_ns"":14991560379649,""request_monotonic_ns"":14991511343359,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.4719677,1788892289.4719677,"{""packet_sequence"":849,""bridge_arrival_monotonic_ns"":14991610290577,""request_monotonic_ns"":14991562423149,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.520789,1788892289.520789,"{""packet_sequence"":850,""bridge_arrival_monotonic_ns"":14991659149032,""request_monotonic_ns"":14991612458260,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.5727298,1788892289.5727298,"{""packet_sequence"":851,""bridge_arrival_monotonic_ns"":14991711073964,""request_monotonic_ns"":14991661327005,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.6227438,1788892289.6227438,"{""packet_sequence"":852,""bridge_arrival_monotonic_ns"":14991761097163,""request_monotonic_ns"":14991713121451,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.671887,1788892289.671887,"{""packet_sequence"":853,""bridge_arrival_monotonic_ns"":14991810218373,""request_monotonic_ns"":14991763050984,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.7228067,1788892289.7228067,"{""packet_sequence"":854,""bridge_arrival_monotonic_ns"":14991861104107,""request_monotonic_ns"":14991812018404,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.7750432,1788892289.7750432,"{""packet_sequence"":855,""bridge_arrival_monotonic_ns"":14991913363048,""request_monotonic_ns"":14991863618243,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.8461618,1788892289.8461618,"{""packet_sequence"":856,""bridge_arrival_monotonic_ns"":14991984488853,""request_monotonic_ns"":14991935729675,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.8977456,1788892289.8977456,"{""packet_sequence"":857,""bridge_arrival_monotonic_ns"":14992036100494,""request_monotonic_ns"":14991986353916,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.9478474,1788892289.9478474,"{""packet_sequence"":858,""bridge_arrival_monotonic_ns"":14992086146707,""request_monotonic_ns"":14992038247770,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.9990022,1788892289.9990022,"{""packet_sequence"":859,""bridge_arrival_monotonic_ns"":14992137304874,""request_monotonic_ns"":14992088227868,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.0486178,1788892290.0486178,"{""packet_sequence"":860,""bridge_arrival_monotonic_ns"":14992186942587,""request_monotonic_ns"":14992139790808,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.0977318,1788892290.0977318,"{""packet_sequence"":861,""bridge_arrival_monotonic_ns"":14992236052966,""request_monotonic_ns"":14992188998440,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.1477373,1788892290.1477373,"{""packet_sequence"":862,""bridge_arrival_monotonic_ns"":14992286058852,""request_monotonic_ns"":14992238157721,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.1982021,1788892290.1982021,"{""packet_sequence"":863,""bridge_arrival_monotonic_ns"":14992336496431,""request_monotonic_ns"":14992288484963,""simulation_time_s"":null,""simulation_frame"":null}"
