simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,steering_k_rad,throttle_k_norm,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps,steering_k1_rad,throttle_k1_norm
49.533,49.6330032,49534.0,49634.0,100.0,0.10000319999999618,-6.2634,25.8444,1.1842112422242137,0.4961,0.1148,6.9745,0.0,0.0,-6.2543,25.896,1.1840424610495373,0.507,0.1063,6.9718,0.0,0.0
49.6330032,49.733,49634.0,49734.0,100.0,0.09999679999999955,-6.2543,25.896,1.1840424610495373,0.507,0.1063,6.9718,0.0,0.0,-6.2452,25.9459,1.1842136483032217,0.4931,0.1044,6.9747,0.0,0.0
49.733,49.833004,49734.0,49834.0,100.0,0.10000400000000553,-6.2452,25.9459,1.1842136483032217,0.4931,0.1044,6.9747,0.0,0.0,-6.2359,25.996,1.1842064900279488,0.5004,0.1067,6.9689,0.0,0.0
49.833004,49.9330025,49834.0,49934.0,100.0,0.0999984999999981,-6.2359,25.996,1.1842064900279488,0.5004,0.1067,6.9689,0.0,0.0,-6.2269,26.0467,1.1842112756724859,0.4951,0.1073,6.9733,0.0,0.0
49.9330025,50.033,49934.0,50034.0,100.0,0.09999750000000063,-6.2269,26.0467,1.1842112756724859,0.4951,0.1073,6.9733,0.0,0.0,-6.2185,26.0964,1.1842112756724859,0.4863,0.1017,6.9762,0.0,0.0
50.033,50.1330032,50034.0,50134.0,100.0,0.10000319999999618,-6.2185,26.0964,1.1842112756724859,0.4863,0.1017,6.9762,0.0,0.0,-6.2088,26.1446,1.1842064900279483,0.4786,0.0835,6.9685,0.0,0.0
50.1330032,50.233,50134.0,50234.0,100.0,0.09999679999999955,-6.2088,26.1446,1.1842064900279483,0.4786,0.0835,6.9685,0.0,0.0,-6.1975,26.1914,1.1842064900279483,0.4704,0.0588,6.9787,0.0,0.0
50.233,50.333004,50234.0,50334.0,100.0,0.10000400000000553,-6.1975,26.1914,1.1842064900279483,0.4704,0.0588,6.9787,0.0,0.0,-6.1846,26.2372,1.1842040911390022,0.4686,0.0446,6.9761,0.0,0.0
50.333004,50.4330025,50334.0,50434.0,100.0,0.0999984999999981,-6.1846,26.2372,1.1842040911390022,0.4686,0.0446,6.9761,0.0,0.0,-6.1702,26.282,1.1842040911390022,0.4679,0.0288,6.9686,0.0,0.0
50.4330025,50.533,50434.0,50534.0,100.0,0.09999750000000063,-6.1702,26.282,1.1842040911390022,0.4679,0.0288,6.9686,0.0,0.0,-6.1542,26.3262,1.1842040911390022,0.4668,0.008,6.9786,0.0,0.0
50.533,50.6330032,50534.0,50634.0,100.0,0.10000319999999618,-6.1542,26.3262,1.1842040911390022,0.4668,0.008,6.9786,0.0,0.0,-6.137,26.3699,1.184201677055096,0.4659,-0.0009,6.9759,0.0,0.0
50.6330032,50.733,50634.0,50734.0,100.0,0.09999679999999955,-6.137,26.3699,1.184201677055096,0.4659,-0.0009,6.9759,0.0,0.0,-6.1187,26.4127,1.1841968879439688,0.4644,-0.0116,6.9685,0.0,0.0
50.733,50.833004,50734.0,50834.0,100.0,0.10000400000000553,-6.1187,26.4127,1.1841968879439688,0.4644,-0.0116,6.9685,0.0,0.0,-6.0994,26.4551,1.184201677055096,0.4622,-0.0274,6.9787,0.0,0.0
50.833004,50.9330025,50834.0,50934.0,100.0,0.0999984999999981,-6.0994,26.4551,1.184201677055096,0.4622,-0.0274,6.9787,0.0,0.0,-6.0793,26.4972,1.184201677055096,0.4613,-0.0305,6.9758,0.0,0.0
50.9330025,51.033,50934.0,51034.0,100.0,0.09999750000000063,-6.0793,26.4972,1.184201677055096,0.4613,-0.0305,6.9758,0.0,0.0,-6.0588,26.5386,1.184480035124915,0.4599,-0.0342,6.9683,0.0,0.0
51.033,51.1330032,51034.0,51134.0,100.0,0.10000319999999618,-6.0588,26.5386,1.184480035124915,0.4599,-0.0342,6.9683,0.0,0.0,-6.0379,26.5798,1.184480035124915,0.4573,-0.0434,6.9787,0.0,0.0
51.1330032,51.233,51134.0,51234.0,100.0,0.09999679999999955,-6.0379,26.5798,1.184480035124915,0.4573,-0.0434,6.9787,0.0,0.0,-6.0168,26.6209,1.1844776090638642,0.4561,-0.0413,6.9757,0.0,0.0
51.233,51.333004,51234.0,51334.0,100.0,0.10000400000000553,-6.0168,26.6209,1.1844776090638642,0.4561,-0.0413,6.9757,0.0,0.0,-5.9957,26.6616,1.1844776090638642,0.4546,-0.0411,6.9682,0.0,0.0
