simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,throttle_k_norm,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps,steering_k1_rad,throttle_k1_norm
0.605,0.630000055,606.0,631.0,25.0,0.02500005500000002,0.0084,0.0428,-1.5645390688281127,-0.0154,0.0088,-0.0711,0.0,0.0077,0.0488,-1.566384321627859,-0.0397,0.0089,-0.0724,0.0,0.0
0.630000055,0.656,631.0,657.0,26.0,0.025999945000000024,0.0077,0.0488,-1.566384321627859,-0.0397,0.0089,-0.0724,0.0,-0.0581,0.0482,-1.7053057535365441,-0.0433,0.0015,-6.9686,0.0,0.0
0.656,0.681000054,657.0,682.0,25.0,0.02500005399999994,-0.0581,0.0482,-1.7053057535365441,-0.0433,0.0015,-6.9686,0.0,-0.1461,0.0586,-1.8808945056270134,-0.0449,-0.0117,-6.9689,0.0,0.0
0.681000054,0.70600003,682.0,707.0,25.0,0.024999976000000035,-0.1461,0.0586,-1.8808945056270134,-0.0449,-0.0117,-6.9689,0.0,-0.2319,0.0843,-2.0569782474602745,-0.0504,-0.0307,-6.9688,0.0,0.0
0.70600003,0.731,707.0,732.0,25.0,0.024999969999999982,-0.2319,0.0843,-2.0569782474602745,-0.0504,-0.0307,-6.9688,0.0,-0.3131,0.1245,-2.2333681078197656,-0.0576,-0.0562,-6.9684,0.0,0.0
0.731,0.755000055,732.0,756.0,24.0,0.02400005500000002,-0.3131,0.1245,-2.2333681078197656,-0.0576,-0.0562,-6.9684,0.0,-0.3844,0.176,-2.402833991199619,-0.0643,-0.0871,-6.9682,0.0,0.0
0.755000055,0.780000031,756.0,781.0,25.0,0.024999976000000035,-0.3844,0.176,-2.402833991199619,-0.0643,-0.0871,-6.9682,0.0,-0.4494,0.2415,-2.5795482617861514,-0.0687,-0.1259,-6.9684,0.0,0.0
0.780000031,0.805000067,781.0,806.0,25.0,0.025000036000000003,-0.4494,0.2415,-2.5795482617861514,-0.0687,-0.1259,-6.9684,0.0,-0.5032,0.3174,-2.75568642593362,-0.0687,-0.1706,-6.9682,0.0,0.0
0.805000067,0.830000043,806.0,831.0,25.0,0.024999975999999924,-0.5032,0.3174,-2.75568642593362,-0.0687,-0.1706,-6.9682,0.0,-0.544,0.4014,-2.9317027176023687,-0.0623,-0.2199,-6.9677,0.0,0.0
0.830000043,0.855,831.0,856.0,25.0,0.024999957000000017,-0.544,0.4014,-2.9317027176023687,-0.0623,-0.2199,-6.9677,0.0,-0.5706,0.4914,-3.107147738485431,-0.048,-0.2721,-6.9678,0.0,0.0
0.855,0.880000055,856.0,881.0,25.0,0.02500005500000002,-0.5706,0.4914,-3.107147738485431,-0.048,-0.2721,-6.9678,0.0,-0.5821,0.5846,-3.2819196929537324,-0.0248,-0.3252,-6.9677,0.0,0.0
0.880000055,0.906,881.0,907.0,26.0,0.025999945000000024,-0.5821,0.5846,-3.2819196929537324,-0.0248,-0.3252,-6.9677,0.0,-0.5778,0.6821,-3.463267562145717,0.0095,-0.3787,-6.9608,0.0,0.0
0.906,0.931000054,907.0,932.0,25.0,0.02500005399999994,-0.5778,0.6821,-3.463267562145717,0.0095,-0.3787,-6.9608,0.0,-0.5663,0.7412,-3.5619813832976495,0.0296,-0.4325,6.8212,0.0,0.0
